log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h)
BPI12,chronos2,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,15.0,,,,,0.3989006505367925,0.5407025318996906,,,,,27.22853799421691,9.316917592740499,2.5468668428679506,0.4470668653493423,,,,,,,,,0.3989006505367925,BPI12,Chronos-2,nan ± nan,nan ± nan,27.2285 ± 9.3169,2.5469 ± 0.4471,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00397 ± 0.00154
BPI12,rnn,32.0,128.0,25.0,,5.0,512.0,5e-05,1.0,lstm,sum,0.01,5.0,1337885.0,1337885.0,2.7546615608733998,0.01381124091491081,1.8896221347994282,0.006070046838818223,0.7757220474692594,0.014225151692271235,0.7689040296105681,0.04197192708460611,1.7737840006052852,0.08886338963637945,1.335187236486178,0.030167654767178476,0.7799113525879325,0.009514468614811873,0.7580436687180409,0.02850398510360652,1.7033100950349767,0.11381749766833657,1.3204611614461554,0.01397277117253777,2.7546615608733998,BPI12,RNN,0.7757 ± 0.0142,0.7689 ± 0.042,1.7738 ± 0.0889,1.3352 ± 0.0302,0.7799 ± 0.0095,0.758 ± 0.0285,1.7033 ± 0.1138,1.3205 ± 0.014,0.01943 ± 0.00025
BPI12,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,25.0,,,2.549437617490781,0.023905860974780483,1.847478688127461,0.01555146741271403,0.62948,0.013174691647245461,,,2.1601030826804,0.10462654278261779,1.6706655546678664,0.33959563611780613,,,,,,,,,2.549437617490781,BPI12,SAP-RPT,0.6295 ± 0.0132,nan ± nan,2.1601 ± 0.1046,1.6707 ± 0.3396,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00314 ± 0.00158
BPI12,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,6.0,,,2.5531990186631317,0.02552005859021752,1.8439693702627515,0.019536334783126018,0.636,0.013685759021698425,,,2.231397261119193,0.0840591298346265,1.6632413331299005,0.368287546844728,,,,,,,,,2.5531990186631317,BPI12,TabPFN,0.636 ± 0.0137,nan ± nan,2.2314 ± 0.0841,1.6632 ± 0.3683,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.12128 ± 0.00152
BPI12,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,15.0,,,2.5542705914267856,0.03204068440004913,1.8382385831911183,0.020742885398429216,0.6420999999999999,0.01627574883069902,,,2.307276683116782,0.07303560090415918,1.6877608321772977,0.3790799321264727,,,,,,,,,2.5542705914267856,BPI12,TabPFN-3,0.6421 ± 0.0163,nan ± nan,2.3073 ± 0.073,1.6878 ± 0.3791,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.07032 ± 0.00073
BPI12,transformer,32.0,128.0,25.0,,5.0,128.0,0.0005,2.0,lstm,sum,0.1,10.0,537245.0,537245.0,2.680365433237062,0.021608805214164955,1.8303215757888611,0.0065737137195058404,0.7622748069774092,0.013881893624276154,0.6928156610758331,0.04013225099688812,2.7385802215973514,0.11060548552938668,1.4265766041736314,0.024370120227884966,0.7761974549613955,0.011348732918715345,0.6637470031691375,0.02984007934483867,2.428210313099604,0.0898277400087275,1.3583553731356275,0.029166125961902087,2.680365433237062,BPI12,Transformer,0.7623 ± 0.0139,0.6928 ± 0.0401,2.7386 ± 0.1106,1.4266 ± 0.0244,0.7762 ± 0.0113,0.6637 ± 0.0298,2.4282 ± 0.0898,1.3584 ± 0.0292,0.01877 ± 0.00162
BPI17,chronos2,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,15.0,,,,,0.8264346148547566,0.023986157843321542,,,,,20.43791363545713,0.40476530205893235,1.7387006373192428,0.13630741002251656,,,,,,,,,0.8264346148547566,BPI17,Chronos-2,nan ± nan,nan ± nan,20.4379 ± 0.4048,1.7387 ± 0.1363,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00434 ± 0.00004
BPI17,rnn,256.0,32.0,25.0,,5.0,512.0,0.0001,1.0,lstm,sum,0.01,5.0,1137982.0,1137982.0,2.937897198685744,0.002999923261702622,1.9861228304018443,0.0021040221222446294,0.853501400560224,0.0013044490673743434,0.4192780922617988,0.006831461900013697,0.6724594545180361,0.03252224363256439,0.7628720628876551,0.0158525915430104,0.8535319212430735,0.0013133253293614857,0.4192780922617988,0.006831461900013697,0.6097410395567124,0.013809822104006084,0.7628720628876551,0.0158525915430104,2.937897198685744,BPI17,RNN,0.8535 ± 0.0013,0.4193 ± 0.0068,0.6725 ± 0.0325,0.7629 ± 0.0159,0.8535 ± 0.0013,0.4193 ± 0.0068,0.6097 ± 0.0138,0.7629 ± 0.0159,0.04166 ± 0.00022
BPI17,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,25.0,,,2.6500430899712,0.0438651408287134,1.928413074133379,0.023128889025203766,0.64712,0.023190461401188203,,,1.3049489673315215,0.2539973362017005,1.128745060998211,0.17958312827651535,,,,,,,,,2.6500430899712,BPI17,SAP-RPT,0.6471 ± 0.0232,nan ± nan,1.3049 ± 0.254,1.1287 ± 0.1796,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00253 ± 0.00096
BPI17,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.6555595746125173,0.03339583490814563,1.9095302746441931,0.016898769460325876,0.669,0.01940360791193228,,,1.601086188018281,0.058943933179267397,1.1678579183809719,0.23659073201271721,,,,,,,,,2.6555595746125173,BPI17,TabPFN,0.669 ± 0.0194,nan ± nan,1.6011 ± 0.0589,1.1679 ± 0.2366,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.12188 ± 0.00312
BPI17,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,15.0,,,2.6390733218426474,0.030431110851006433,1.8904791976741329,0.016533282783815224,0.6712999999999999,0.015648824693430326,,,1.8952278609646507,0.055985656294176483,1.2115079376939548,0.2288606812067801,,,,,,,,,2.6390733218426474,BPI17,TabPFN-3,0.6713 ± 0.0156,nan ± nan,1.8952 ± 0.056,1.2115 ± 0.2289,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.07015 ± 0.00011
BPI17,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,1.0,lstm,sum,0.1,5.0,339230.0,339230.0,2.905958849669996,0.008132525703769827,1.9517914523190831,0.003903468126315902,0.8556473436832359,0.005785023578712535,0.4141087585308886,0.013645842291006158,1.1559762054898097,0.08029803665518526,0.8836000441871,0.02962587706853067,0.8595967200439498,0.002436612803299876,0.40703006627207294,0.014157565392309484,1.134263850866088,0.08467231040806894,0.8432907420035678,0.04013331843940433,2.905958849669996,BPI17,Transformer,0.8556 ± 0.0058,0.4141 ± 0.0136,1.156 ± 0.0803,0.8836 ± 0.0296,0.8596 ± 0.0024,0.407 ± 0.0142,1.1343 ± 0.0847,0.8433 ± 0.0401,0.01953 ± 0.00030
