log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k
BPI12,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315729437.0,153629.0,1.9187577059163048,0.0354355010664866,1.855271682125063,0.0266835298424555,0.0569309408064054,0.0335742385251415,3.4445115619023463,0.3472176447569535,1.9736895550255449,0.3396870389670591,1.7583854689397298,0.1474721218683584,0.0733736059479553,0.0279334907695577,3.3620872461015168,0.3649131717246844,1.5616004494136833,0.2029041264008209,1.650360540321168,0.1311941335446375,,BPI12,GPT-Neo-1.3B,0.0569 ± 0.0336,3.4445 ± 0.3472,1.9737 ± 0.3397,1.7584 ± 0.1475,0.0734 ± 0.0279,3.3621 ± 0.3649,1.5616 ± 0.2029,1.6504 ± 0.1312,0.07263 ± 0.00036,FewShot-Freezing,,,8.0
BPI12,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,5.0,1366061085.0,50485277.0,1.8233621332718766,0.17725963889200097,1.7828119154010722,0.16205392686080577,0.03636331140977981,0.019546651062195566,3.551809720063093,0.41661834153060784,3.1796902733611265,2.616622077157002,1.845259083630991,0.3139959502182072,0.10022161853016871,0.050435792944674304,3.1158648265645543,0.05939406627713801,1.4986354365207686,0.40387021962532327,1.563937548384782,0.03253907378464616,,BPI12,GPT-Neo-1.3B,0.0364 ± 0.0195,3.5518 ± 0.4166,3.1797 ± 2.6166,1.8453 ± 0.314,0.1002 ± 0.0504,3.1159 ± 0.0594,1.4986 ± 0.4039,1.5639 ± 0.0325,0.07842 ± 0.00021,FewShot-LoRA,512.0,256.0,8.0
BPI12,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315729437.0,153629.0,2.4724853895043064,0.0859243969748486,1.8484871729914691,0.0073947661267689,0.5595689162138976,0.0754963538366766,1.560148537475994,0.3804271968697617,2.347982159245644,0.1437118081378585,1.5310011611070933,0.0338064312199763,0.5736095224478124,0.0768805221313498,1.4783064119417668,0.3745832579373414,2.28575092461317,0.1485843080228009,1.4952053709473507,0.0342406701788324,,BPI12,GPT-Neo-1.3B,0.5596 ± 0.0755,1.5601 ± 0.3804,2.348 ± 0.1437,1.531 ± 0.0338,0.5736 ± 0.0769,1.4783 ± 0.3746,2.2858 ± 0.1486,1.4952 ± 0.0342,0.40460 ± 0.00102,Freezing,,,
BPI12,gptneo-1b3,8.0,2048.0,10.0,"-1,-2",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315729437.0,100857885.0,2.4333457156304017,0.1070958058236044,1.8430656051796053,0.0063304740130629,0.5293322848155563,0.0981100708013642,1.661602870984046,0.3844399341902898,2.4660271214574694,0.1110234491068566,1.5124422545859992,0.0677412224485708,0.5662961109522449,0.071042558714487,1.450835726327271,0.2137264661035751,2.345910387164252,0.1543985261356341,1.4892233970325774,0.0517786903521186,,BPI12,GPT-Neo-1.3B,0.5293 ± 0.0981,1.6616 ± 0.3844,2.466 ± 0.111,1.5124 ± 0.0677,0.5663 ± 0.071,1.4508 ± 0.2137,2.3459 ± 0.1544,1.4892 ± 0.0518,0.44785 ± 0.00081,"Freezing-[-1, -2]",,,
BPI12,gptneo-1b3,8.0,2048.0,10.0,-1,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315729437.0,50505757.0,2.404227563442196,0.1203104354165392,1.8377801230640944,0.0065860003873602,0.5079603946239633,0.1093905944714424,1.742829772258166,0.38697752151435,2.560276196536392,0.0950389166405173,1.5131212970335517,0.0365635967214709,0.5473620245925078,0.0859090604088532,1.4897476143024977,0.2105627587739271,2.333513718986074,0.080772665823433,1.4919730967033895,0.0326516617472506,,BPI12,GPT-Neo-1.3B,0.508 ± 0.1094,1.7428 ± 0.387,2.5603 ± 0.095,1.5131 ± 0.0366,0.5474 ± 0.0859,1.4897 ± 0.2106,2.3335 ± 0.0808,1.492 ± 0.0327,0.42557 ± 0.00100,Freezing-[-1],,,
BPI12,gptneo-1b3,8.0,2048.0,10.0,"0,1",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315729437.0,100857885.0,2.5654866837089507,0.0722731322339356,1.830572280970516,0.0132196024771454,0.6590327423505862,0.0630567836200032,1.0689256276331325,0.206507058757055,2.7115769737100104,0.1969058918241794,1.493527186829864,0.052040456931787,0.6960144409493851,0.0296000661375392,0.9548829089182256,0.0649413180455741,2.35996403890937,0.2426275525653816,1.450968605660108,0.0184653221703757,,BPI12,GPT-Neo-1.3B,0.659 ± 0.0631,1.0689 ± 0.2065,2.7116 ± 0.1969,1.4935 ± 0.052,0.696 ± 0.0296,0.9549 ± 0.0649,2.36 ± 0.2426,1.451 ± 0.0185,0.44728 ± 0.00091,"Freezing-[0, 1]",,,
BPI12,gptneo-1b3,8.0,2048.0,10.0,0,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315729437.0,50505757.0,2.607580208420281,0.0570657801968237,1.8415585708186049,0.0086197214285846,0.6869280812124678,0.047893023164813,0.93948782492543,0.1226485104140624,2.552834107603516,0.1125857285521827,1.45863044156329,0.0536077194559346,0.7252108950529025,0.0193502151994913,0.8442176539820536,0.0777242031197157,2.276244050831408,0.0815284149235518,1.4036057029314413,0.0216872755902195,,BPI12,GPT-Neo-1.3B,0.6869 ± 0.0479,0.9395 ± 0.1226,2.5528 ± 0.1126,1.4586 ± 0.0536,0.7252 ± 0.0194,0.8442 ± 0.0777,2.2762 ± 0.0815,1.4036 ± 0.0217,0.42623 ± 0.00079,Freezing-[0],,,
BPI12,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1366061085.0,50485277.0,2.6169608978066763,0.030285112354867715,1.8194055166115721,0.009415268043259937,0.7152058907635116,0.02713220638538263,0.8868793945279092,0.098732858515972,2.780067687394622,0.1271183308940126,1.6126714798941617,0.05553991643131614,0.7259293680297397,0.03673834105423843,0.8727570753012994,0.11138711664158345,2.3990188481101073,0.20662950704442493,1.4540666061670573,0.06208344827525297,,BPI12,GPT-Neo-1.3B,0.7152 ± 0.0271,0.8869 ± 0.0987,2.7801 ± 0.1271,1.6127 ± 0.0555,0.7259 ± 0.0367,0.8728 ± 0.1114,2.399 ± 0.2066,1.4541 ± 0.0621,0.45739 ± 0.00169,LoRA,512.0,256.0,
BPI12,gptneo-1b3,8.0,2048.0,0.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315729437.0,153629.0,1.7023406365493412,0.1582359556631428,1.6680883980588443,0.1373371328533179,0.0307156133828996,0.043639214194483,4.258276310027037,0.6761609749000467,4.035981562992727,1.856745159776883,2.9317647228573,1.1785887993230717,0.0307156133828996,0.043639214194483,4.258276310027037,0.6761609749000467,4.035981562992727,1.856745159776883,2.9317647228573,1.1785887993230717,,BPI12,GPT-Neo-1.3B,0.0307 ± 0.0436,4.2583 ± 0.6762,4.036 ± 1.8567,2.9318 ± 1.1786,0.0307 ± 0.0436,4.2583 ± 0.6762,4.036 ± 1.8567,2.9318 ± 1.1786,0.00672 ± 0.00002,ZeroShot,,,
BPI12,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124497437.0,57629.0,1.906033547090348,0.06803224149862,1.864510729872204,0.0504287518458109,0.0372354875607663,0.0315496534926084,3.5796903999662413,0.3214348651537868,1.9014852951365195,0.8402341101069595,1.6738092136850955,0.088697953154871,0.0386545610523305,0.0323361330677956,3.5796903999662413,0.3214348651537868,1.8621711606890057,0.8650874072063655,1.578796678908065,0.0815698722418418,,BPI12,GPT2,0.0372 ± 0.0315,3.5797 ± 0.3214,1.9015 ± 0.8402,1.6738 ± 0.0887,0.0387 ± 0.0323,3.5797 ± 0.3214,1.8622 ± 0.8651,1.5788 ± 0.0816,0.00966 ± 0.00005,FewShot-Freezing,,,8.0
