log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI12,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1366061085.0,50485277.0,2.6169608978066763,0.0302851123548677,1.819405516611572,0.0094152680432599,0.7152058907635116,0.0271322063853826,0.8868793945279092,0.098732858515972,2.780067687394622,0.1271183308940126,1.6126714798941617,0.0555399164313161,0.7259293680297397,0.0367383410542384,0.8727570753012994,0.1113871166415834,2.399018848110108,0.2066295070444249,1.4540666061670573,0.0620834482752529,,BPI12,GPT-Neo-1.3B,0.7152 ± 0.0271,0.8869 ± 0.0987,2.7801 ± 0.1271,1.6127 ± 0.0555,0.7259 ± 0.0367,0.8728 ± 0.1114,2.399 ± 0.2066,1.4541 ± 0.0621,0.45739 ± 0.00169,LoRA,512.0,256.0,,1.4e+09 (4%)
BPI12,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,,sum,0.1,10.0,162246173.0,37806365.0,2.5535999381974124,0.1125284217104141,1.8350104560615408,0.011142927484395,0.6443934086359737,0.0938146517667233,1.014415274180785,0.424277810103024,2.629028867580051,0.132474381978558,1.4960278378241965,0.0662725987098384,0.7503449385187303,0.0167014055493013,0.7673812015728334,0.0349126813256469,2.360052679678589,0.0529502234743441,1.4249106991337557,0.0394670457576008,,BPI12,GPT2,0.6444 ± 0.0938,1.0144 ± 0.4243,2.629 ± 0.1325,1.496 ± 0.0663,0.7503 ± 0.0167,0.7674 ± 0.0349,2.3601 ± 0.053,1.4249 ± 0.0395,0.13659 ± 0.07217,LoRA,512.0,256.0,,1.6e+08 (23%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,6.0,2946782237.0,332440349.0,2.5613944427341053,0.0670012982410162,1.852808649786913,0.0189958162435743,0.6354226241540368,0.048927588315652,1.106421230357137,0.1702263354641998,2.338086739936037,0.2469488760852259,1.4699259076365372,0.0881567855454379,0.6586151224859402,0.0531104483581033,1.0286001790147663,0.134050089822606,2.0590903205787665,0.1172824068794631,1.4005934605502903,0.0659189674237508,,BPI12,Gemma-2-2B,0.6354 ± 0.0489,1.1064 ± 0.1702,2.3381 ± 0.2469,1.4699 ± 0.0882,0.6586 ± 0.0531,1.0286 ± 0.1341,2.0591 ± 0.1173,1.4006 ± 0.0659,0.94224 ± 0.01156,LoRA,512.0,256.0,,2.9e+09 (11%)
BPI12,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1416323101.0,180508701.0,2.356965002947277,0.113014086611672,1.822079208602896,0.0074072716425926,0.4796575636259651,0.1051784232493308,1.8530949940724408,0.5401254071075964,2.6797739134658016,0.1250912648654038,1.6597404769583703,0.0391169963430368,0.654836288247069,0.0567845303226443,1.1285075032901926,0.2004749265561043,2.3596927144091966,0.2540782061735344,1.4816027326179653,0.0320841088788373,,BPI12,Llama3.2-1B,0.4797 ± 0.1052,1.8531 ± 0.5401,2.6798 ± 0.1251,1.6597 ± 0.0391,0.6548 ± 0.0568,1.1285 ± 0.2005,2.3597 ± 0.2541,1.4816 ± 0.0321,0.48493 ± 0.00813,LoRA,512.0,256.0,,1.4e+09 (13%)
BPI12,majority,,,,,,,,,,,,1.0,1.0,1.0,2.1531671133638914,,1.9011084259501168,,0.22603302830998,,6.200418674097015,,1.3884333616534337,,1.5433643597482032,,0.22603302830998,,6.200418674097015,,1.3884333616534337,,1.5433643597482032,,,BPI12,Majority,0.226 ± nan,6.2004 ± nan,1.3884 ± nan,1.5434 ± nan,0.226 ± nan,6.2004 ± nan,1.3884 ± nan,1.5434 ± nan,0.00989 ± nan,,,,,1.e+00 (100%)
BPI12,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,10.0,634871325.0,140838557.0,2.552968967326771,0.0808869518816596,1.8422021336300485,0.0054825654874082,0.6373784672576495,0.0722723677414201,1.0954683495293964,0.2579905251676318,2.565950127216859,0.0727407560459787,1.4363885196999968,0.0496110346213671,0.7081069488132685,0.0405856571897262,0.890711770283177,0.1591411779247071,2.297777874489069,0.1155927793626867,1.4053841152467537,0.0397863659517752,,BPI12,Qwen2.5-0.5B,0.6374 ± 0.0723,1.0955 ± 0.258,2.566 ± 0.0727,1.4364 ± 0.0496,0.7081 ± 0.0406,0.8907 ± 0.1591,2.2978 ± 0.1156,1.4054 ± 0.0398,0.35070 ± 0.00335,LoRA,512.0,256.0,,6.3e+08 (22%)
BPI12,rnn,32.0,128.0,25.0,,5.0,512.0,5e-05,1.0,lstm,sum,0.01,5.0,1337885.0,1337885.0,2.757562226794533,0.0138135600222918,1.892522800720562,0.0060741224121076,0.7757220474692594,0.0142251516922712,0.7689040296105681,0.0419719270846061,1.7737840006052852,0.0888633896363794,1.335187236486178,0.0301676547671784,0.7799113525879325,0.0095144686148118,0.7580436687180409,0.0285039851036065,1.7033100950349769,0.1138174976683365,1.3204611614461554,0.0139727711725377,2.757562226794533,BPI12,RNN,0.7757 ± 0.0142,0.7689 ± 0.042,1.7738 ± 0.0889,1.3352 ± 0.0302,0.7799 ± 0.0095,0.758 ± 0.0285,1.7033 ± 0.1138,1.3205 ± 0.014,0.01943 ± 0.00025,,,,,1.3e+06 (100%)
BPI12,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.56107338978261,0.0100069401224176,1.8632652465703048,0.0054082364161509,0.6257577923934802,0.0060467930402625,,,2.1210332434317314,0.0907782121350092,1.4961508399943004,0.0430126328239419,,,,,,,,,2.56107338978261,BPI12,SAP-RPT,0.6258 ± 0.006,nan ± nan,2.121 ± 0.0908,1.4962 ± 0.043,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.01173 ± 0.00073,,,,,
BPI12,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.5670354197897693,0.004554088763742,1.854335345587066,0.0005525128022308,0.6391120960823563,0.0042800087734589,,,2.261411219912309,0.0061783127407645,1.5142900032289046,0.0040754629143197,,,,,,,,,2.5670354197897693,BPI12,TabPFN-3,0.6391 ± 0.0043,nan ± nan,2.2614 ± 0.0062,1.5143 ± 0.0041,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.11143 ± 0.00016,,,,,
BPI12,transformer,32.0,128.0,25.0,,5.0,128.0,0.0005,2.0,lstm,sum,0.1,10.0,537245.0,537245.0,2.68324751237479,0.0216103107717159,1.833203654926589,0.0065756399512503,0.7622748069774092,0.0138818936242761,0.6928156610758331,0.0401322509968881,2.738580221597352,0.1106054855293866,1.4265766041736314,0.0243701202278849,0.7761974549613955,0.0113487329187153,0.6637470031691375,0.0298400793448386,2.428210313099604,0.0898277400087275,1.3583553731356277,0.029166125961902,2.68324751237479,BPI12,Transformer,0.7623 ± 0.0139,0.6928 ± 0.0401,2.7386 ± 0.1106,1.4266 ± 0.0244,0.7762 ± 0.0113,0.6637 ± 0.0298,2.4282 ± 0.0898,1.3584 ± 0.0292,0.01877 ± 0.00162,,,,,5.4e+05 (100%)
