log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1366081570.0,50505762.0,2.569898725466534,0.2025176453923845,1.9364986621152516,0.0251295592652474,0.5680000000000001,0.1619611319105169,1.38929909377523,0.6715473417828158,1.0885034526031796,0.2300903927438643,1.1930101926255934,0.2024217903753396,0.7140990099009901,0.0176707449057064,0.8969048076856255,0.0911783535773319,0.9218774018429292,0.0470281844373895,0.9802395177784532,0.0281434512990644,,BPI20PTC,GPT-Neo-1.3B,0.568 ± 0.162,1.3893 ± 0.6715,1.0885 ± 0.2301,1.193 ± 0.2024,0.7141 ± 0.0177,0.8969 ± 0.0912,0.9219 ± 0.047,0.9802 ± 0.0281,0.04351 ± 0.00684,LoRA,512.0,256.0,,1.4e+09 (4%)
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,,sum,0.1,10.0,162253858.0,37814050.0,2.750635502074527,0.0419119757833868,1.9610715408003507,0.0041209493108263,0.708039603960396,0.0360926603258762,0.8119089606823309,0.1341889961038876,0.9115952638871596,0.0325801149655228,0.9537075335247682,0.0394311368149905,0.7157227722772277,0.0292443061763559,0.7786139311837678,0.1143949788202958,0.8827209862151948,0.0097435548417107,0.9216027977820668,0.022821708606388,,BPI20PTC,GPT2,0.708 ± 0.0361,0.8119 ± 0.1342,0.9116 ± 0.0326,0.9537 ± 0.0394,0.7157 ± 0.0292,0.7786 ± 0.1144,0.8827 ± 0.0097,0.9216 ± 0.0228,0.02867 ± 0.00961,LoRA,512.0,256.0,,1.6e+08 (23%)
BPI20PrepaidTravelCosts,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,5.0,2946805282.0,332463394.0,2.612780306176217,0.0388778196741394,1.9258534769079243,0.0303168193953799,0.616,0.0235358009858655,1.1273842065357926,0.1096926183200567,1.2338594445332445,0.4973054959091793,1.234573635290165,0.3243238976504218,0.6671683168316832,0.0235003707366985,1.0157718698010587,0.0270306083095699,0.8568789121892191,0.0198604150627339,1.0157973462661896,0.0231951401936932,,BPI20PTC,Gemma-2-2B,0.616 ± 0.0235,1.1274 ± 0.1097,1.2339 ± 0.4973,1.2346 ± 0.3243,0.6672 ± 0.0235,1.0158 ± 0.027,0.8569 ± 0.0199,1.0158 ± 0.0232,0.13210 ± 0.01036,LoRA,512.0,256.0,,2.9e+09 (11%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1416343586.0,180529186.0,2.701221985985477,0.2209301519984595,1.9409166735727024,0.0183411063678237,0.6818019801980199,0.1827688433742939,1.0401684562569795,0.5969799848366907,1.0454765852795966,0.1585603991840666,1.1601257978524313,0.1799220300175411,0.7755841584158415,0.0331882671557397,0.7752094738389006,0.0768424508415073,0.9349518038022636,0.0415779553847361,0.9909925839499673,0.0224126445805829,,BPI20PTC,Llama3.2-1B,0.6818 ± 0.1828,1.0402 ± 0.597,1.0455 ± 0.1586,1.1601 ± 0.1799,0.7756 ± 0.0332,0.7752 ± 0.0768,0.935 ± 0.0416,0.991 ± 0.0224,0.08034 ± 0.01582,LoRA,512.0,256.0,,1.4e+09 (13%)
BPI20PrepaidTravelCosts,majority,,,,,,,,,,,,1.0,1.0,1.0,2.0141002976188647,,1.8842581426716625,,0.1164356435643564,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,0.1164356435643564,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,,BPI20PTC,Majority,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.00031 ± nan,,,,,1.e+00 (100%)
BPI20PrepaidTravelCosts,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,10.0,634880290.0,140847522.0,2.704522437347568,0.0650693456918756,1.957135094432092,0.0039665604555024,0.6702178217821781,0.0583320015159256,1.0025485920292316,0.1870191072357412,0.9725026095645262,0.0822126528049557,0.9626092239795344,0.0323666140701445,0.7916039603960396,0.0365134291894082,0.7649617011051367,0.1217627136571801,0.9138075791443928,0.014021985681672,0.9322198680462224,0.0144960025323653,,BPI20PTC,Qwen2.5-0.5B,0.6702 ± 0.0583,1.0025 ± 0.187,0.9725 ± 0.0822,0.9626 ± 0.0324,0.7916 ± 0.0365,0.765 ± 0.1218,0.9138 ± 0.014,0.9322 ± 0.0145,0.12028 ± 0.05895,LoRA,512.0,256.0,,6.3e+08 (22%)
BPI20PrepaidTravelCosts,rnn,32.0,128.0,25.0,,5.0,128.0,0.0005,1.0,lstm,sum,0.01,5.0,143010.0,143010.0,2.811786967100845,0.0221469083815332,1.9374281291264552,0.0028173500582025,0.7840792079207921,0.0201117357166876,0.6577889085618576,0.0553413362092628,1.0744258266109052,0.0307772366916203,1.1906338566317418,0.0485053504613119,0.7897425742574258,0.013422617119191,0.6548516858733526,0.0492188947647026,0.9536045386437144,0.0270112283979597,1.1238817450646128,0.0216313477715586,2.811786967100845,BPI20PTC,RNN,0.7841 ± 0.0201,0.6578 ± 0.0553,1.0744 ± 0.0308,1.1906 ± 0.0485,0.7897 ± 0.0134,0.6549 ± 0.0492,0.9536 ± 0.027,1.1239 ± 0.0216,0.00316 ± 0.00005,,,,,1.4e+05 (100%)
BPI20PrepaidTravelCosts,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,25.0,,,2.7850603969040946,0.0139907080899008,1.945716101687116,0.0151578089185247,0.7526799999999999,0.008042698552103,,,1.0410279748091724,0.055275885858073,1.0861797414620402,0.1982729043282341,,,,,,,,,2.7850603969040946,BPI20PTC,SAP-RPT,0.7527 ± 0.008,nan ± nan,1.041 ± 0.0553,1.0862 ± 0.1983,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00255 ± 0.00099,,,,,
BPI20PrepaidTravelCosts,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,10.0,,,2.667577815707104,0.015671638330174,1.9449504663780943,0.0158926842929366,0.6480143564356436,0.009943895060349,1.4698919511549544,,1.0129802865751916,0.0695494630013502,1.123965894164948,0.2039239314298672,0.6356435643564357,,1.4698919511549544,,1.1201123498217895,,1.1578043739394386,,2.667577815707104,BPI20PTC,TabPFN-3,0.648 ± 0.0099,1.4699 ± nan,1.013 ± 0.0695,1.124 ± 0.2039,0.6356 ± nan,1.4699 ± nan,1.1201 ± nan,1.1578 ± nan,0.00980 ± 0.00152,,,,,
BPI20PrepaidTravelCosts,transformer,32.0,128.0,10.0,,5.0,128.0,0.0005,2.0,lstm,concat,0.1,5.0,535778.0,535778.0,2.8042584862386484,0.0102888449236094,1.9321078481783267,0.0079899064978709,0.7820990099009901,0.0061395719469515,0.6682946524667268,0.0117534155965149,1.118715221744953,0.0865413144303367,1.2370345630079214,0.0537306978876648,0.7993663366336634,0.0105475986866723,0.6526530796419275,0.0173627881976603,0.9540593314973436,0.0333541077009263,1.0688097460057475,0.01149113150666,2.8042584862386484,BPI20PTC,Transformer,0.7821 ± 0.0061,0.6683 ± 0.0118,1.1187 ± 0.0865,1.237 ± 0.0537,0.7994 ± 0.0105,0.6527 ± 0.0174,0.9541 ± 0.0334,1.0688 ± 0.0115,0.00162 ± 0.00003,,,,,5.4e+05 (100%)
