log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI20PrepaidTravelCosts,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1340915746.0,25339938.0,2.6969027575050624,0.0500296818744878,1.948499642629115,0.0027617459654838,0.6711287128712872,0.0449226589782648,1.0815677196389375,0.1562252265268716,0.9758969045015846,0.0456702085845756,1.0998242009040151,0.0332622345347512,0.7161584158415841,0.0390419529580093,1.005832771556212,0.0383579684273028,0.8868015516111166,0.0298444975984872,0.9500195155096526,0.0289735163590584,,BPI20PTC,GPT-Neo-1.3B,0.6711 ± 0.0449,1.0816 ± 0.1562,0.9759 ± 0.0457,1.0998 ± 0.0333,0.7162 ± 0.039,1.0058 ± 0.0384,0.8868 ± 0.0298,0.95 ± 0.029,0.03542 ± 0.00018,LoRA,256.0,128.0,,1.3e+09 (2%)
BPI20PrepaidTravelCosts,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,10.0,162253858.0,37814050.0,2.750635502074527,0.0419119757833868,1.9610715408003507,0.0041209493108263,0.708039603960396,0.0360926603258762,0.8119089606823309,0.1341889961038876,0.9115952638871596,0.0325801149655228,0.9537075335247682,0.0394311368149905,0.7157227722772277,0.0292443061763559,0.7786139311837678,0.1143949788202958,0.8827209862151948,0.0097435548417107,0.9216027977820668,0.022821708606388,,BPI20PTC,GPT2,0.708 ± 0.0361,0.8119 ± 0.1342,0.9116 ± 0.0326,0.9537 ± 0.0394,0.7157 ± 0.0292,0.7786 ± 0.1144,0.8827 ± 0.0097,0.9216 ± 0.0228,0.02867 ± 0.00961,LoRA,512.0,256.0,,1.6e+08 (23%)
BPI20PrepaidTravelCosts,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2697604642.0,83262754.0,2.6701195926857304,0.0198324266859052,1.9182716859438365,0.0120889091274952,0.6742178217821783,0.0232158267208453,0.8817651852333901,0.0594997207438154,1.199307744875993,0.1119654706068982,1.3889660756706013,0.1937316307485358,0.6909702970297029,0.0141861529871507,0.8470020443944648,0.0421250163557304,1.0138090913791469,0.1121197292852344,1.0743805391764876,0.0634256193592293,,BPI20PTC,Gemma-2-2B,0.6742 ± 0.0232,0.8818 ± 0.0595,1.1993 ± 0.112,1.389 ± 0.1937,0.691 ± 0.0142,0.847 ± 0.0421,1.0138 ± 0.1121,1.0744 ± 0.0634,0.07296 ± 0.00069,LoRA,128.0,64.0,,2.7e+09 (3%)
BPI20PrepaidTravelCosts,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,10.0,1416343586.0,180529186.0,2.701221985985477,0.2209301519984595,1.9409166735727024,0.0183411063678237,0.6818019801980199,0.1827688433742939,1.0401684562569795,0.5969799848366907,1.0454765852795966,0.1585603991840666,1.1601257978524313,0.1799220300175411,0.7755841584158415,0.0331882671557397,0.7752094738389006,0.0768424508415073,0.9349518038022636,0.0415779553847361,0.9909925839499673,0.0224126445805829,,BPI20PTC,Llama3.2-1B,0.6818 ± 0.1828,1.0402 ± 0.597,1.0455 ± 0.1586,1.1601 ± 0.1799,0.7756 ± 0.0332,0.7752 ± 0.0768,0.935 ± 0.0416,0.991 ± 0.0224,0.08034 ± 0.01582,LoRA,512.0,256.0,,1.4e+09 (13%)
BPI20PrepaidTravelCosts,majority,,,,,,,,,,,,1.0,1.0,1.0,2.0141002976188647,,1.8842581426716625,,0.1164356435643564,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,0.1164356435643564,,7.078860854347154,,1.590166987050878,,1.5882711742892124,,,BPI20PTC,Majority,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.1164 ± nan,7.0789 ± nan,1.5902 ± nan,1.5883 ± nan,0.00031 ± nan,,,,,1.e+00 (100%)
BPI20PrepaidTravelCosts,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,lstm,sum,0.1,5.0,564494626.0,70461858.0,2.716983990047789,0.0603846694760276,1.944114020123968,0.0143887652717063,0.6930693069306931,0.046271851134687,1.0059438775600773,0.1941039958858811,0.9841275271425154,0.0794881944634442,1.1636299609193708,0.2104919236010906,0.7880792079207921,0.0370337796241707,0.7289203743792996,0.0858151793857447,0.914137909209374,0.0278843474833479,0.9497141301749956,0.0128305244590718,,BPI20PTC,Qwen2.5-0.5B,0.6931 ± 0.0463,1.0059 ± 0.1941,0.9841 ± 0.0795,1.1636 ± 0.2105,0.7881 ± 0.037,0.7289 ± 0.0858,0.9141 ± 0.0279,0.9497 ± 0.0128,0.15438 ± 0.00108,LoRA,256.0,128.0,,5.6e+08 (12%)
BPI20PrepaidTravelCosts,rnn,32.0,128.0,25.0,,5.0,128.0,0.0005,1.0,lstm,sum,0.01,5.0,143010.0,143010.0,2.811786967100845,0.0221469083815332,1.9374281291264552,0.0028173500582025,0.7840792079207921,0.0201117357166876,0.6577889085618576,0.0553413362092628,1.0744258266109052,0.0307772366916203,1.1906338566317418,0.0485053504613119,0.7897425742574258,0.013422617119191,0.6548516858733526,0.0492188947647026,0.9536045386437144,0.0270112283979597,1.1238817450646128,0.0216313477715586,2.811786967100845,BPI20PTC,RNN,0.7841 ± 0.0201,0.6578 ± 0.0553,1.0744 ± 0.0308,1.1906 ± 0.0485,0.7897 ± 0.0134,0.6549 ± 0.0492,0.9536 ± 0.027,1.1239 ± 0.0216,0.00316 ± 0.00005,,,,,1.4e+05 (100%)
BPI20PrepaidTravelCosts,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,25.0,,,2.7850603969040946,0.0139907080899008,1.945716101687116,0.0151578089185247,0.7526799999999999,0.008042698552103,,,1.0410279748091724,0.055275885858073,1.0861797414620402,0.1982729043282341,,,,,,,,,2.7850603969040946,BPI20PTC,SAP-RPT,0.7527 ± 0.008,nan ± nan,1.041 ± 0.0553,1.0862 ± 0.1983,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00255 ± 0.00099,,,,,
BPI20PrepaidTravelCosts,tabpfn,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.6745012351287087,0.0206784455035305,1.9343821822303875,0.0183517529018351,0.6637000000000001,0.0121016527796826,,,1.1278120679912829,0.0716383276898801,1.1918667024345253,0.2369469344013988,,,,,,,,,2.6745012351287087,BPI20PTC,TabPFN,0.6637 ± 0.0121,nan ± nan,1.1278 ± 0.0716,1.1919 ± 0.2369,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.01156 ± 0.00005,,,,,
BPI20PrepaidTravelCosts,transformer,32.0,128.0,10.0,,5.0,128.0,0.0005,2.0,lstm,concat,0.1,5.0,535778.0,535778.0,2.8042584862386484,0.0102888449236094,1.9321078481783267,0.0079899064978709,0.7820990099009901,0.0061395719469515,0.6682946524667268,0.0117534155965149,1.118715221744953,0.0865413144303367,1.2370345630079214,0.0537306978876648,0.7993663366336634,0.0105475986866723,0.6526530796419275,0.0173627881976603,0.9540593314973436,0.0333541077009263,1.0688097460057475,0.01149113150666,2.8042584862386484,BPI20PTC,Transformer,0.7821 ± 0.0061,0.6683 ± 0.0118,1.1187 ± 0.0865,1.237 ± 0.0537,0.7994 ± 0.0105,0.6527 ± 0.0174,0.9541 ± 0.0334,1.0688 ± 0.0115,0.00162 ± 0.00003,,,,,5.4e+05 (100%)
