log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1366028309.0,50452501.0,2.961715704705725,0.0246689236583805,1.9886399999227036,0.0025464036198376,0.8726033233915637,0.0210770280158764,0.3005683815355685,0.0267036646176364,0.6833802576448376,0.0221506432436621,0.7609890326470277,0.0220625646708648,0.8911518250248545,0.0003082672081825,0.2683804454053096,0.0051752451435531,0.6492576413289372,0.0105938830082634,0.7414387598309966,0.011885238909452,,BPI20RfP,GPT-Neo-1.3B,0.8726 ± 0.0211,0.3006 ± 0.0267,0.6834 ± 0.0222,0.761 ± 0.0221,0.8912 ± 0.0003,0.2684 ± 0.0052,0.6493 ± 0.0106,0.7414 ± 0.0119,0.11910 ± 0.00698,LoRA,512.0,256.0,,1.4e+09 (4%)
BPI20RequestForPayment,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,,sum,0.1,10.0,162233877.0,37794069.0,2.979728346235453,0.0049136720803545,1.990022929700768,0.0009321043612727,0.8875159778440563,0.0041563800724609,0.2666905755431895,0.0026680451915044,0.6715933867602029,0.0077602794554439,0.7492116498263142,0.0086694080518621,0.8918051413151542,0.0008166968196884,0.2627627090607968,0.0025171321059745,0.65577054553336,0.0039583797924362,0.7462563027917043,0.0068145641704845,,BPI20RfP,GPT2,0.8875 ± 0.0042,0.2667 ± 0.0027,0.6716 ± 0.0078,0.7492 ± 0.0087,0.8918 ± 0.0008,0.2628 ± 0.0025,0.6558 ± 0.004,0.7463 ± 0.0068,0.09567 ± 0.03454,LoRA,512.0,256.0,,1.6e+08 (23%)
BPI20RequestForPayment,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,5.0,2946745365.0,332403477.0,2.972733190995172,0.0129625878829201,1.9899330642926067,0.0011311344757267,0.8813236756142594,0.0111905647160104,0.2725046750954345,0.0039068226319757,0.6921859053010511,0.0211067774230602,0.7321116000545109,0.0086877395325978,0.8935378497372533,0.0014711789987307,0.2705163591609999,0.0021356562045104,0.6635815161802674,0.0137386127826416,0.7309759007209979,0.0082253026802267,,BPI20RfP,Gemma-2-2B,0.8813 ± 0.0112,0.2725 ± 0.0039,0.6922 ± 0.0211,0.7321 ± 0.0087,0.8935 ± 0.0015,0.2705 ± 0.0021,0.6636 ± 0.0137,0.731 ± 0.0082,0.38852 ± 0.00909,LoRA,512.0,256.0,,2.9e+09 (11%)
BPI20RequestForPayment,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1416290325.0,180475925.0,2.9650332056188597,0.0172129074906364,1.9869527494896224,0.0032295556711477,0.8770913222553615,0.0180564228857789,0.2848303956989537,0.0126796579321416,0.6937281896065386,0.0238522309834127,0.7789918778752284,0.0342939291362957,0.8922880272688539,0.0015661467123522,0.2734068678617646,0.0050193146674324,0.6568053584023644,0.0093646317182515,0.74458394407498,0.0131073929384742,,BPI20RfP,Llama3.2-1B,0.8771 ± 0.0181,0.2848 ± 0.0127,0.6937 ± 0.0239,0.779 ± 0.0343,0.8923 ± 0.0016,0.2734 ± 0.005,0.6568 ± 0.0094,0.7446 ± 0.0131,0.16920 ± 0.00628,LoRA,512.0,256.0,,1.4e+09 (13%)
BPI20RequestForPayment,majority,,,,,,,,,,,,1.0,1.0,1.0,2.135044620352756,,1.9465745538339083,,0.1690100837949155,,6.653940758571725,,1.1543232327648023,,1.017934673229684,,0.1690100837949155,,6.653940758571725,,1.1543232327648023,,1.017934673229684,,,BPI20RfP,Majority,0.169 ± nan,6.6539 ± nan,1.1543 ± nan,1.0179 ± nan,0.169 ± nan,6.6539 ± nan,1.1543 ± nan,1.0179 ± nan,0.00585 ± nan,,,,,1.e+00 (100%)
BPI20RequestForPayment,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,10.0,634856981.0,140824213.0,2.981160877344179,0.0054916227665077,1.991138704395177,0.0011512260654106,0.8878000284050561,0.0042481151870803,0.2661623828808298,0.0033222808310916,0.661901825826423,0.0129351121462911,0.7398731397542911,0.0169059620653225,0.8913790654736543,0.0003465985933385,0.2637100182885287,0.0011921033747296,0.6465461582982426,0.0042116530086657,0.7347527987644459,0.0075804043400303,,BPI20RfP,Qwen2.5-0.5B,0.8878 ± 0.0042,0.2662 ± 0.0033,0.6619 ± 0.0129,0.7399 ± 0.0169,0.8914 ± 0.0003,0.2637 ± 0.0012,0.6465 ± 0.0042,0.7348 ± 0.0076,0.20827 ± 0.00189,LoRA,512.0,256.0,,6.3e+08 (22%)
BPI20RequestForPayment,rnn,32.0,32.0,25.0,,5.0,512.0,0.0001,1.0,lstm,sum,0.01,5.0,1133077.0,1133077.0,2.968115501898917,0.0268215970346522,1.9893381816581823,0.001365936971227,0.8777162334895612,0.0233608921714435,0.367771171680348,0.038677423678367,0.6826249752307444,0.0212973052494242,0.7503616593876543,0.0087771239047821,0.886038914926857,0.011359625510558,0.364660621451275,0.037572515128594,0.6794998904280899,0.0218834237971679,0.7443703159624296,0.0072432488040495,2.968115501898917,BPI20RfP,RNN,0.8777 ± 0.0234,0.3678 ± 0.0387,0.6826 ± 0.0213,0.7504 ± 0.0088,0.886 ± 0.0114,0.3647 ± 0.0376,0.6795 ± 0.0219,0.7444 ± 0.0072,0.00952 ± 0.00008,,,,,1.1e+06 (100%)
BPI20RequestForPayment,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.8221084752748946,0.0,1.9941072082492373,0.0,0.7425081664536287,0.0,,,0.6429353544021178,0.0,0.7088847656538031,0.0,,,,,,,,,2.8221084752748946,BPI20RfP,SAP-RPT,0.7425 ± 0.0,nan ± nan,0.6429 ± 0.0,0.7089 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00301 ± 0.00005,,,,,
BPI20RequestForPayment,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,5.0,,,2.812264424147867,0.0012196150337776,1.9938608764760268,2.482534153247273e-16,0.7339014344553331,0.0010936868801691,,,0.664916183814128,0.0,0.6930679072774086,0.0,,,,,,,,,2.812264424147867,BPI20RfP,TabPFN-3,0.7339 ± 0.0011,nan ± nan,0.6649 ± 0.0,0.6931 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.02526 ± 0.00004,,,,,
BPI20RequestForPayment,transformer,32.0,128.0,10.0,,5.0,128.0,0.001,2.0,lstm,sum,0.1,5.0,535189.0,535189.0,2.987962707428491,0.0018432232616391,1.9913520010616872,0.0008462863183496,0.8937082800738532,0.0013193835151249,0.271948819525488,0.0012299376767435,0.6571291461517113,0.0089959560353555,0.7407191007690257,0.0091413144919646,0.8954409884959524,0.0009809002499549,0.2638618795662809,0.001152330342205,0.6437652630826963,0.0041830610869489,0.7187182447175854,0.0036573477451596,2.987962707428491,BPI20RfP,Transformer,0.8937 ± 0.0013,0.2719 ± 0.0012,0.6571 ± 0.009,0.7407 ± 0.0091,0.8954 ± 0.001,0.2639 ± 0.0012,0.6438 ± 0.0042,0.7187 ± 0.0037,0.00471 ± 0.00003,,,,,5.4e+05 (100%)
