log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI20TravelPermitData,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1366167607.0,50591799.0,2.7196794412110283,0.0403583350045589,1.953795536788731,0.0047318786241742,0.6868045693115159,0.0363408728429718,1.033716376181847,0.1275076339913854,0.9855182810439193,0.0866054684468834,1.0050971518478558,0.0324724459711101,0.7351034269836368,0.018895314740116,0.9330785832960098,0.0987553814447804,0.873147354273194,0.0111305866018518,0.9077850879905917,0.0321943369350032,,BPI20TPD,GPT-Neo-1.3B,0.6868 ± 0.0363,1.0337 ± 0.1275,0.9855 ± 0.0866,1.0051 ± 0.0325,0.7351 ± 0.0189,0.9331 ± 0.0988,0.8731 ± 0.0111,0.9078 ± 0.0322,0.18707 ± 0.00706,LoRA,512.0,256.0,,1.4e+09 (4%)
BPI20TravelPermitData,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,,sum,0.1,10.0,162286135.0,37846327.0,2.775816789283323,0.0066758867118757,1.9705397301050296,0.0019841169576336,0.7221302871256561,0.0059099119109948,0.8958536208253761,0.0329270206472211,0.8467325616066896,0.0125510082008902,0.8585175739993796,0.023064937611993,0.7389194195739426,0.009916413665686,0.8457607720832317,0.0472863814737857,0.8308895701955741,0.0111649416129069,0.8585175739993796,0.023064937611993,,BPI20TPD,GPT2,0.7221 ± 0.0059,0.8959 ± 0.0329,0.8467 ± 0.0126,0.8585 ± 0.0231,0.7389 ± 0.0099,0.8458 ± 0.0473,0.8309 ± 0.0112,0.8585 ± 0.0231,0.10170 ± 0.03812,LoRA,512.0,256.0,,1.6e+08 (23%)
BPI20TravelPermitData,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,5.0,2946902071.0,332560183.0,2.662499828192139,0.0103203986221385,1.9497391870004852,0.0048595887402415,0.6391664093856128,0.012637080506122,1.2546429126311984,0.1592637265141497,1.0471931455635148,0.0818589046440849,1.0152530148133114,0.0724023771737049,0.6576041988267984,0.0124539117288166,1.128036105988312,0.0427468065419136,0.8751326953985693,0.0597335555605028,0.89323659321525,0.0171137539545846,,BPI20TPD,Gemma-2-2B,0.6392 ± 0.0126,1.2546 ± 0.1593,1.0472 ± 0.0819,1.0153 ± 0.0724,0.6576 ± 0.0125,1.128 ± 0.0427,0.8751 ± 0.0597,0.8932 ± 0.0171,0.40235 ± 0.00680,LoRA,512.0,256.0,,2.9e+09 (11%)
BPI20TravelPermitData,llama32-1b,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,,sum,0.1,10.0,1416429623.0,180615223.0,2.7427613725562883,0.0428580308964399,1.959174304198024,0.0054725271187973,0.7026798394566225,0.0350248356251976,1.0411782055130785,0.1193741678140438,0.9497252942279888,0.0708883104547195,0.9500676042439578,0.0537614187908336,0.7425439950602039,0.008957519871149,0.9123291285091728,0.0314961948537308,0.8822237183481649,0.054979243408815,0.8910523359258073,0.0174570675352379,,BPI20TPD,Llama3.2-1B,0.7027 ± 0.035,1.0412 ± 0.1194,0.9497 ± 0.0709,0.9501 ± 0.0538,0.7425 ± 0.009,0.9123 ± 0.0315,0.8822 ± 0.055,0.8911 ± 0.0175,0.20676 ± 0.00913,LoRA,512.0,256.0,,1.4e+09 (13%)
BPI20TravelPermitData,majority,,,,,,,,,,,,1.0,1.0,1.0,1.9999295702784528,,1.912515464418049,,0.0783883914788515,,7.390187048728027,,1.459291628548745,,1.2475121456003735,,0.0783883914788515,,7.390187048728027,,1.459291628548745,,1.2475121456003735,,,BPI20TPD,Majority,0.0784 ± nan,7.3902 ± nan,1.4593 ± nan,1.2475 ± nan,0.0784 ± nan,7.3902 ± nan,1.4593 ± nan,1.2475 ± nan,0.00661 ± nan,,,,,1.e+00 (100%)
BPI20TravelPermitData,qwen25-05b,8.0,896.0,10.0,,5.0,896.0,5e-05,1.0,,sum,0.1,10.0,634917943.0,140885175.0,2.7606588639484597,0.0534738602561162,1.9630180586810908,0.0052275180873115,0.7152824945970979,0.0464773597207036,0.9763249802714552,0.1394220242164209,0.9437112789678148,0.090182359983631,0.8930611857855603,0.0436982756140137,0.7566162395801174,0.0175491528645013,0.8357860330697673,0.0518671152177145,0.8580642552801251,0.0172286516985437,0.8512747595787931,0.0180210962935741,,BPI20TPD,Qwen2.5-0.5B,0.7153 ± 0.0465,0.9763 ± 0.1394,0.9437 ± 0.0902,0.8931 ± 0.0437,0.7566 ± 0.0175,0.8358 ± 0.0519,0.8581 ± 0.0172,0.8513 ± 0.018,0.21208 ± 0.00367,LoRA,512.0,256.0,,6.3e+08 (22%)
BPI20TravelPermitData,rnn,32.0,256.0,25.0,,5.0,128.0,0.0005,1.0,lstm,sum,0.01,5.0,222391.0,222391.0,2.7638657216149274,0.0047913205271727,1.9495546091173075,0.0034008447517984,0.7302315529484408,0.0030900266456242,0.9501782341509848,0.0140054375891601,1.009825064036978,0.0382630564874065,1.0520233270186412,0.0307835798388389,0.7314232787897499,0.0026164822886677,0.9380702115724616,0.0158199726438852,0.7631531001977546,0.0399082169797548,0.858504956849897,0.0103603024656375,2.7638657216149274,BPI20TPD,RNN,0.7302 ± 0.0031,0.9502 ± 0.014,1.0098 ± 0.0383,1.052 ± 0.0308,0.7314 ± 0.0026,0.9381 ± 0.0158,0.7632 ± 0.0399,0.8585 ± 0.0104,0.01171 ± 0.00011,,,,,2.2e+05 (100%)
BPI20TravelPermitData,saprpt,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,25.0,,,2.71535434645371,0.0147739621586831,1.9532001082528867,0.0054642128147693,0.6834599999999998,0.0142616326788578,,,0.9545233022000246,0.062237636666183,1.0427819506586529,0.047001334344591,,,,,,,,,2.71535434645371,BPI20TPD,SAP-RPT,0.6835 ± 0.0143,nan ± nan,0.9545 ± 0.0622,1.0428 ± 0.047,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.00254 ± 0.00099,,,,,
BPI20TravelPermitData,tabpfn3,16.0,16.0,25.0,,5.0,32.0,0.0001,1.0,lstm,concat,0.1,7.0,,,2.63257172630962,0.0099112925726019,1.9491496257620828,0.0052699745234405,0.6128571428571429,0.0078830740921836,,,1.0098533094808255,0.0444240231591694,1.0585767402592443,0.0500983011934617,,,,,,,,,2.63257172630962,BPI20TPD,TabPFN-3,0.6129 ± 0.0079,nan ± nan,1.0099 ± 0.0444,1.0586 ± 0.0501,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.07023 ± 0.00012,,,,,
BPI20TravelPermitData,transformer,16.0,256.0,10.0,,5.0,256.0,0.0005,2.0,lstm,sum,0.1,5.0,1874231.0,1874231.0,2.772878084192393,0.0043380385577257,1.9718426232189048,0.0031570695332615,0.7183266440259339,0.0019154901887244,0.8406602816274041,0.0143469101302312,0.8087575119503783,0.0386385847766562,0.8716725267514509,0.0301179580520258,0.7190676134609447,0.0022377169594642,0.8368622483821444,0.0146711331598504,0.7828618302894397,0.0103325431527335,0.847311342433118,0.017781594304132,2.772878084192393,BPI20TPD,Transformer,0.7183 ± 0.0019,0.8407 ± 0.0143,0.8088 ± 0.0386,0.8717 ± 0.0301,0.7191 ± 0.0022,0.8369 ± 0.0147,0.7829 ± 0.0103,0.8473 ± 0.0178,0.00808 ± 0.00005,,,,,1.9e+06 (100%)
