dataset,model,path,exists,row_count_raw,row_count_normalized,warnings
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,True,55952,55952,
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,True,55952,55952,
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,True,2000,2000,
BPI12,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/saprpt/seed_41.parquet,True,2000,2000,
BPI12,llama32-1b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/llama32-1b/seed_41.parquet,True,55952,55952,
BPI12,gemma-2-2b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/gemma-2-2b/seed_41.parquet,True,55952,55952,
BPI17,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI17/rnn/seed_41.parquet,True,294882,294882,
BPI17,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI17/transformer/seed_41.parquet,True,294882,294882,
BPI17,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI17/tabpfn3/seed_41.parquet,True,2000,2000,
BPI17,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI17/saprpt/seed_41.parquet,True,2000,2000,
BPI17,llama32-1b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI17/llama32-1b/seed_41.parquet,True,294882,294882,
BPI17,gemma-2-2b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI17/gemma-2-2b/seed_41.parquet,True,294882,294882,
BPI20PrepaidTravelCosts,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20PrepaidTravelCosts/rnn/seed_41.parquet,True,5050,5050,
BPI20PrepaidTravelCosts,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20PrepaidTravelCosts/transformer/seed_41.parquet,True,5050,5050,
BPI20PrepaidTravelCosts,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20PrepaidTravelCosts/tabpfn3/seed_41.parquet,True,2000,2000,
BPI20PrepaidTravelCosts,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20PrepaidTravelCosts/saprpt/seed_41.parquet,True,2000,2000,
BPI20PrepaidTravelCosts,llama32-1b,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI20PrepaidTravelCosts/llama32-1b/seed_41.parquet,True,5050,5050,
