dataset,model,path,column,normalized
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,case_id,True
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,pos,True
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,case_len,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,activity_id_current,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,y_true_next_activity,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,y_pred_next_activity,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,y_true_remaining_time,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,y_pred_remaining_time,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,y_true_time_to_next_event,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,y_pred_time_to_next_event,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,log,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,backbone,False
BPI12,rnn,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/rnn/seed_41.parquet,seed,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,case_id,True
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,pos,True
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,case_len,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,activity_id_current,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,y_true_next_activity,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,y_pred_next_activity,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,y_true_remaining_time,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,y_pred_remaining_time,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,y_true_time_to_next_event,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,y_pred_time_to_next_event,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,log,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,backbone,False
BPI12,transformer,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/transformer/seed_41.parquet,seed,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,case_id,True
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,pos,True
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,case_len,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,activity_id_current,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,y_true_next_activity,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,y_pred_next_activity,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,y_true_remaining_time,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,y_pred_remaining_time,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,y_true_time_to_next_event,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,y_pred_time_to_next_event,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,log,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,backbone,False
BPI12,tabpfn3,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/tabpfn3/seed_41.parquet,seed,False
BPI12,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/saprpt/seed_41.parquet,case_id,True
BPI12,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/saprpt/seed_41.parquet,pos,True
BPI12,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/saprpt/seed_41.parquet,case_len,False
BPI12,saprpt,/ceph/lfertig/Paper/revisiting-ppm-foundation-models/notebook/llm-peft-ppm/results/predictions/BPI12/saprpt/seed_41.parquet,activity_id_current,False
