dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases,group_value_label
BPI12,gemma-2-2b,llm,prefix_length_bucket,1,91,1.0,0.0,91,
BPI12,gemma-2-2b,llm,prefix_length_bucket,11-20,536,0.5690298507462687,0.4309701492537313,461,
BPI12,gemma-2-2b,llm,prefix_length_bucket,2,86,0.2674418604651162,0.7325581395348837,86,
BPI12,gemma-2-2b,llm,prefix_length_bucket,21-50,672,0.4970238095238095,0.5029761904761905,498,
BPI12,gemma-2-2b,llm,prefix_length_bucket,3,89,0.9887640449438202,0.0112359550561798,89,
BPI12,gemma-2-2b,llm,prefix_length_bucket,4-5,118,0.576271186440678,0.423728813559322,116,
BPI12,gemma-2-2b,llm,prefix_length_bucket,6-10,293,0.5972696245733788,0.4027303754266211,269,
BPI12,gemma-2-2b,llm,prefix_length_bucket,>50,115,0.3304347826086956,0.6695652173913044,72,
BPI12,llama32-1b,llm,prefix_length_bucket,1,91,1.0,0.0,91,
BPI12,llama32-1b,llm,prefix_length_bucket,11-20,536,0.7201492537313433,0.2798507462686567,461,
BPI12,llama32-1b,llm,prefix_length_bucket,2,86,0.2209302325581395,0.7790697674418605,86,
BPI12,llama32-1b,llm,prefix_length_bucket,21-50,672,0.3824404761904761,0.6175595238095238,498,
BPI12,llama32-1b,llm,prefix_length_bucket,3,89,0.898876404494382,0.101123595505618,89,
BPI12,llama32-1b,llm,prefix_length_bucket,4-5,118,0.6779661016949152,0.3220338983050848,116,
BPI12,llama32-1b,llm,prefix_length_bucket,6-10,293,0.7337883959044369,0.2662116040955631,269,
BPI12,llama32-1b,llm,prefix_length_bucket,>50,115,0.1652173913043478,0.8347826086956522,72,
BPI12,rnn,sequence,prefix_length_bucket,1,91,1.0,0.0,91,
BPI12,rnn,sequence,prefix_length_bucket,11-20,536,0.8115671641791045,0.1884328358208955,461,
BPI12,rnn,sequence,prefix_length_bucket,2,86,0.2906976744186046,0.7093023255813953,86,
BPI12,rnn,sequence,prefix_length_bucket,21-50,672,0.7648809523809523,0.2351190476190476,498,
BPI12,rnn,sequence,prefix_length_bucket,3,89,1.0,0.0,89,
BPI12,rnn,sequence,prefix_length_bucket,4-5,118,0.6779661016949152,0.3220338983050848,116,
BPI12,rnn,sequence,prefix_length_bucket,6-10,293,0.7030716723549488,0.2969283276450511,269,
BPI12,rnn,sequence,prefix_length_bucket,>50,115,0.6347826086956522,0.3652173913043478,72,
BPI12,saprpt,tabular_fm,prefix_length_bucket,1,91,1.0,0.0,91,
BPI12,saprpt,tabular_fm,prefix_length_bucket,11-20,536,0.6305970149253731,0.3694029850746269,461,
BPI12,saprpt,tabular_fm,prefix_length_bucket,2,86,0.3953488372093023,0.6046511627906976,86,
BPI12,saprpt,tabular_fm,prefix_length_bucket,21-50,672,0.6160714285714286,0.3839285714285714,498,
BPI12,saprpt,tabular_fm,prefix_length_bucket,3,89,0.9775280898876404,0.0224719101123596,89,
BPI12,saprpt,tabular_fm,prefix_length_bucket,4-5,118,0.635593220338983,0.364406779661017,116,
BPI12,saprpt,tabular_fm,prefix_length_bucket,6-10,293,0.5699658703071673,0.4300341296928327,269,
BPI12,saprpt,tabular_fm,prefix_length_bucket,>50,115,0.5043478260869565,0.4956521739130435,72,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,1,91,1.0,0.0,91,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,11-20,536,0.628731343283582,0.3712686567164179,461,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,2,86,0.3604651162790697,0.6395348837209303,86,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,21-50,672,0.6294642857142857,0.3705357142857143,498,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,3,89,1.0,0.0,89,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,4-5,118,0.635593220338983,0.364406779661017,116,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,6-10,293,0.590443686006826,0.409556313993174,269,
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,>50,115,0.5043478260869565,0.4956521739130435,72,
BPI12,transformer,sequence,prefix_length_bucket,1,91,1.0,0.0,91,
BPI12,transformer,sequence,prefix_length_bucket,11-20,536,0.7649253731343284,0.2350746268656716,461,
BPI12,transformer,sequence,prefix_length_bucket,2,86,0.2790697674418604,0.7209302325581395,86,
BPI12,transformer,sequence,prefix_length_bucket,21-50,672,0.7023809523809523,0.2976190476190476,498,
BPI12,transformer,sequence,prefix_length_bucket,3,89,1.0,0.0,89,
BPI12,transformer,sequence,prefix_length_bucket,4-5,118,0.7372881355932204,0.2627118644067796,116,
BPI12,transformer,sequence,prefix_length_bucket,6-10,293,0.8600682593856656,0.1399317406143344,269,
BPI12,transformer,sequence,prefix_length_bucket,>50,115,0.6782608695652174,0.3217391304347826,72,
BPI17,gemma-2-2b,llm,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43,
BPI17,gemma-2-2b,llm,prefix_length_bucket,11-20,545,0.8788990825688073,0.1211009174311926,525,
BPI17,gemma-2-2b,llm,prefix_length_bucket,2,49,1.0,0.0,49,
BPI17,gemma-2-2b,llm,prefix_length_bucket,21-50,836,0.7834928229665071,0.2165071770334928,769,
BPI17,gemma-2-2b,llm,prefix_length_bucket,3,44,1.0,0.0,44,
BPI17,gemma-2-2b,llm,prefix_length_bucket,4-5,105,0.8761904761904762,0.1238095238095238,104,
BPI17,gemma-2-2b,llm,prefix_length_bucket,6-10,248,0.842741935483871,0.157258064516129,245,
BPI17,gemma-2-2b,llm,prefix_length_bucket,>50,130,0.7,0.3,122,
BPI17,llama32-1b,llm,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43,
BPI17,llama32-1b,llm,prefix_length_bucket,11-20,545,0.8568807339449541,0.1431192660550458,525,
BPI17,llama32-1b,llm,prefix_length_bucket,2,49,0.7551020408163265,0.2448979591836735,49,
BPI17,llama32-1b,llm,prefix_length_bucket,21-50,836,0.7679425837320574,0.2320574162679426,769,
BPI17,llama32-1b,llm,prefix_length_bucket,3,44,0.8863636363636364,0.1136363636363636,44,
