dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases,group_value_label
BPI12,gemma-2-2b,llm,activity_current,3,34,0.1176470588235294,0.8823529411764706,34,A_ACCEPTED
BPI12,gemma-2-2b,llm,activity_current,7,43,0.9069767441860463,0.0930232558139535,43,A_DECLINED
BPI12,gemma-2-2b,llm,activity_current,8,40,0.15,0.85,40,A_FINALIZED
BPI12,gemma-2-2b,llm,activity_current,9,86,0.2674418604651162,0.7325581395348837,86,A_PARTLYSUBMITTED
BPI12,gemma-2-2b,llm,activity_current,10,60,1.0,0.0,60,A_PREACCEPTED
BPI12,gemma-2-2b,llm,activity_current,12,91,1.0,0.0,91,A_SUBMITTED
BPI12,gemma-2-2b,llm,activity_current,14,37,0.1351351351351351,0.8648648648648649,37,O_CANCELLED
BPI12,gemma-2-2b,llm,activity_current,15,61,1.0,0.0,60,O_CREATED
BPI12,gemma-2-2b,llm,activity_current,17,48,0.2083333333333333,0.7916666666666666,48,O_SELECTED
BPI12,gemma-2-2b,llm,activity_current,18,57,0.8771929824561403,0.1228070175438597,57,O_SENT
BPI12,gemma-2-2b,llm,activity_current,20,117,0.6495726495726496,0.3504273504273504,110,W_Afhandelen leads
BPI12,gemma-2-2b,llm,activity_current,22,469,0.6823027718550106,0.3176972281449893,371,W_Completeren aanvraag
BPI12,gemma-2-2b,llm,activity_current,23,162,0.2222222222222222,0.7777777777777778,118,W_Nabellen incomplete dossiers
BPI12,gemma-2-2b,llm,activity_current,24,385,0.5584415584415584,0.4415584415584416,311,W_Nabellen offertes
BPI12,gemma-2-2b,llm,activity_current,25,171,0.3216374269005848,0.6783625730994152,145,W_Valideren aanvraag
BPI12,llama32-1b,llm,activity_current,3,34,0.5294117647058824,0.4705882352941176,34,A_ACCEPTED
BPI12,llama32-1b,llm,activity_current,7,43,0.8837209302325582,0.1162790697674418,43,A_DECLINED
BPI12,llama32-1b,llm,activity_current,8,40,0.525,0.475,40,A_FINALIZED
BPI12,llama32-1b,llm,activity_current,9,86,0.2209302325581395,0.7790697674418605,86,A_PARTLYSUBMITTED
BPI12,llama32-1b,llm,activity_current,10,60,0.9833333333333332,0.0166666666666667,60,A_PREACCEPTED
BPI12,llama32-1b,llm,activity_current,12,91,1.0,0.0,91,A_SUBMITTED
BPI12,llama32-1b,llm,activity_current,14,37,0.2432432432432432,0.7567567567567568,37,O_CANCELLED
BPI12,llama32-1b,llm,activity_current,15,61,0.8852459016393442,0.1147540983606557,60,O_CREATED
BPI12,llama32-1b,llm,activity_current,17,48,0.4375,0.5625,48,O_SELECTED
BPI12,llama32-1b,llm,activity_current,18,57,0.7017543859649122,0.2982456140350877,57,O_SENT
BPI12,llama32-1b,llm,activity_current,20,117,0.6068376068376068,0.3931623931623932,110,W_Afhandelen leads
BPI12,llama32-1b,llm,activity_current,22,469,0.7718550106609808,0.2281449893390191,371,W_Completeren aanvraag
BPI12,llama32-1b,llm,activity_current,23,162,0.1111111111111111,0.8888888888888888,118,W_Nabellen incomplete dossiers
BPI12,llama32-1b,llm,activity_current,24,385,0.5818181818181818,0.4181818181818182,311,W_Nabellen offertes
BPI12,llama32-1b,llm,activity_current,25,171,0.3040935672514619,0.695906432748538,145,W_Valideren aanvraag
BPI12,rnn,sequence,activity_current,3,34,0.088235294117647,0.9117647058823528,34,A_ACCEPTED
BPI12,rnn,sequence,activity_current,7,43,0.9069767441860463,0.0930232558139535,43,A_DECLINED
BPI12,rnn,sequence,activity_current,8,40,0.775,0.2249999999999999,40,A_FINALIZED
BPI12,rnn,sequence,activity_current,9,86,0.2906976744186046,0.7093023255813953,86,A_PARTLYSUBMITTED
BPI12,rnn,sequence,activity_current,10,60,1.0,0.0,60,A_PREACCEPTED
BPI12,rnn,sequence,activity_current,12,91,1.0,0.0,91,A_SUBMITTED
BPI12,rnn,sequence,activity_current,14,37,0.5675675675675675,0.4324324324324324,37,O_CANCELLED
BPI12,rnn,sequence,activity_current,15,61,0.9836065573770492,0.0163934426229508,60,O_CREATED
BPI12,rnn,sequence,activity_current,17,48,0.75,0.25,48,O_SELECTED
BPI12,rnn,sequence,activity_current,18,57,0.6842105263157895,0.3157894736842105,57,O_SENT
BPI12,rnn,sequence,activity_current,20,117,0.6923076923076923,0.3076923076923077,110,W_Afhandelen leads
BPI12,rnn,sequence,activity_current,22,469,0.8656716417910447,0.1343283582089552,371,W_Completeren aanvraag
BPI12,rnn,sequence,activity_current,23,162,0.7469135802469136,0.2530864197530864,118,W_Nabellen incomplete dossiers
BPI12,rnn,sequence,activity_current,24,385,0.7714285714285715,0.2285714285714285,311,W_Nabellen offertes
BPI12,rnn,sequence,activity_current,25,171,0.6666666666666666,0.3333333333333333,145,W_Valideren aanvraag
BPI12,saprpt,tabular_fm,activity_current,3,34,0.4117647058823529,0.5882352941176471,34,A_ACCEPTED
BPI12,saprpt,tabular_fm,activity_current,7,43,0.5348837209302325,0.4651162790697675,43,A_DECLINED
BPI12,saprpt,tabular_fm,activity_current,8,40,0.5,0.5,40,A_FINALIZED
BPI12,saprpt,tabular_fm,activity_current,9,86,0.3953488372093023,0.6046511627906976,86,A_PARTLYSUBMITTED
BPI12,saprpt,tabular_fm,activity_current,10,60,1.0,0.0,60,A_PREACCEPTED
BPI12,saprpt,tabular_fm,activity_current,12,91,1.0,0.0,91,A_SUBMITTED
BPI12,saprpt,tabular_fm,activity_current,14,37,0.3243243243243243,0.6756756756756757,37,O_CANCELLED
BPI12,saprpt,tabular_fm,activity_current,15,61,1.0,0.0,60,O_CREATED
BPI12,saprpt,tabular_fm,activity_current,17,48,0.3541666666666667,0.6458333333333333,48,O_SELECTED
BPI12,saprpt,tabular_fm,activity_current,18,57,0.9649122807017544,0.0350877192982456,57,O_SENT
BPI12,saprpt,tabular_fm,activity_current,20,117,0.4102564102564102,0.5897435897435898,110,W_Afhandelen leads
BPI12,saprpt,tabular_fm,activity_current,22,469,0.7398720682302772,0.2601279317697228,371,W_Completeren aanvraag
BPI12,saprpt,tabular_fm,activity_current,23,162,0.6975308641975309,0.3024691358024691,118,W_Nabellen incomplete dossiers
BPI12,saprpt,tabular_fm,activity_current,24,385,0.6675324675324675,0.3324675324675324,311,W_Nabellen offertes
BPI12,saprpt,tabular_fm,activity_current,25,171,0.2748538011695906,0.7251461988304093,145,W_Valideren aanvraag
BPI12,tabpfn3,tabular_fm,activity_current,3,34,0.5588235294117647,0.4411764705882353,34,A_ACCEPTED
BPI12,tabpfn3,tabular_fm,activity_current,7,43,0.7441860465116279,0.2558139534883721,43,A_DECLINED
BPI12,tabpfn3,tabular_fm,activity_current,8,40,0.45,0.55,40,A_FINALIZED
BPI12,tabpfn3,tabular_fm,activity_current,9,86,0.3604651162790697,0.6395348837209303,86,A_PARTLYSUBMITTED
BPI12,tabpfn3,tabular_fm,activity_current,10,60,1.0,0.0,60,A_PREACCEPTED
BPI12,tabpfn3,tabular_fm,activity_current,12,91,1.0,0.0,91,A_SUBMITTED
BPI12,tabpfn3,tabular_fm,activity_current,14,37,0.3783783783783784,0.6216216216216216,37,O_CANCELLED
BPI12,tabpfn3,tabular_fm,activity_current,15,61,1.0,0.0,60,O_CREATED
BPI12,tabpfn3,tabular_fm,activity_current,17,48,0.3125,0.6875,48,O_SELECTED
BPI12,tabpfn3,tabular_fm,activity_current,18,57,0.9824561403508772,0.0175438596491228,57,O_SENT
BPI12,tabpfn3,tabular_fm,activity_current,20,117,0.3675213675213675,0.6324786324786325,110,W_Afhandelen leads
BPI12,tabpfn3,tabular_fm,activity_current,22,469,0.7505330490405118,0.2494669509594882,371,W_Completeren aanvraag
BPI12,tabpfn3,tabular_fm,activity_current,23,162,0.7037037037037037,0.2962962962962963,118,W_Nabellen incomplete dossiers
BPI12,tabpfn3,tabular_fm,activity_current,24,385,0.6545454545454545,0.3454545454545454,311,W_Nabellen offertes
BPI12,tabpfn3,tabular_fm,activity_current,25,171,0.3099415204678362,0.6900584795321638,145,W_Valideren aanvraag
BPI12,transformer,sequence,activity_current,3,34,0.4117647058823529,0.5882352941176471,34,A_ACCEPTED
BPI12,transformer,sequence,activity_current,7,43,1.0,0.0,43,A_DECLINED
BPI12,transformer,sequence,activity_current,8,40,1.0,0.0,40,A_FINALIZED
BPI12,transformer,sequence,activity_current,9,86,0.2790697674418604,0.7209302325581395,86,A_PARTLYSUBMITTED
BPI12,transformer,sequence,activity_current,10,60,1.0,0.0,60,A_PREACCEPTED
BPI12,transformer,sequence,activity_current,12,91,1.0,0.0,91,A_SUBMITTED
BPI12,transformer,sequence,activity_current,14,37,0.7027027027027027,0.2972972972972972,37,O_CANCELLED
BPI12,transformer,sequence,activity_current,15,61,1.0,0.0,60,O_CREATED
BPI12,transformer,sequence,activity_current,17,48,0.75,0.25,48,O_SELECTED
BPI12,transformer,sequence,activity_current,18,57,1.0,0.0,57,O_SENT
BPI12,transformer,sequence,activity_current,20,117,0.7692307692307693,0.2307692307692307,110,W_Afhandelen leads
BPI12,transformer,sequence,activity_current,22,469,0.8635394456289979,0.1364605543710021,371,W_Completeren aanvraag
BPI12,transformer,sequence,activity_current,23,162,0.7283950617283951,0.2716049382716049,118,W_Nabellen incomplete dossiers
BPI12,transformer,sequence,activity_current,24,385,0.5662337662337662,0.4337662337662338,311,W_Nabellen offertes
BPI12,transformer,sequence,activity_current,25,171,0.7251461988304093,0.2748538011695907,145,W_Valideren aanvraag
BPI17,gemma-2-2b,llm,activity_current,3,54,1.0,0.0,54,A_Accepted
BPI17,gemma-2-2b,llm,activity_current,5,60,0.9833333333333332,0.0166666666666667,60,A_Complete
BPI17,gemma-2-2b,llm,activity_current,6,54,0.9074074074074074,0.0925925925925925,54,A_Concept
BPI17,gemma-2-2b,llm,activity_current,7,43,0.7209302325581395,0.2790697674418605,43,A_Create Application
BPI17,gemma-2-2b,llm,activity_current,9,35,0.9714285714285714,0.0285714285714285,35,A_Incomplete
BPI17,gemma-2-2b,llm,activity_current,11,31,1.0,0.0,31,A_Submitted
BPI17,gemma-2-2b,llm,activity_current,12,63,0.9523809523809524,0.0476190476190476,63,A_Validating
BPI17,gemma-2-2b,llm,activity_current,14,37,0.6216216216216216,0.3783783783783784,37,O_Cancelled
BPI17,gemma-2-2b,llm,activity_current,15,60,1.0,0.0,59,O_Create Offer
BPI17,gemma-2-2b,llm,activity_current,16,72,0.8472222222222222,0.1527777777777778,72,O_Created
BPI17,gemma-2-2b,llm,activity_current,18,35,1.0,0.0,35,O_Returned
BPI17,gemma-2-2b,llm,activity_current,19,61,0.9508196721311476,0.0491803278688525,61,O_Sent (mail and online)
BPI17,gemma-2-2b,llm,activity_current,22,329,0.8480243161094225,0.1519756838905774,324,W_Call after offers
BPI17,gemma-2-2b,llm,activity_current,23,326,0.7484662576687117,0.2515337423312883,313,W_Call incomplete files
BPI17,gemma-2-2b,llm,activity_current,24,247,0.8016194331983806,0.1983805668016194,244,W_Complete application
BPI17,gemma-2-2b,llm,activity_current,25,76,0.8421052631578947,0.1578947368421053,75,W_Handle leads
BPI17,gemma-2-2b,llm,activity_current,27,318,0.6761006289308176,0.3238993710691824,311,W_Validate application
BPI17,llama32-1b,llm,activity_current,3,54,1.0,0.0,54,A_Accepted
BPI17,llama32-1b,llm,activity_current,5,60,0.9166666666666666,0.0833333333333333,60,A_Complete
BPI17,llama32-1b,llm,activity_current,6,54,0.6296296296296297,0.3703703703703703,54,A_Concept
BPI17,llama32-1b,llm,activity_current,7,43,0.7209302325581395,0.2790697674418605,43,A_Create Application
BPI17,llama32-1b,llm,activity_current,9,35,0.9714285714285714,0.0285714285714285,35,A_Incomplete
BPI17,llama32-1b,llm,activity_current,11,31,1.0,0.0,31,A_Submitted
BPI17,llama32-1b,llm,activity_current,12,63,0.9523809523809524,0.0476190476190476,63,A_Validating
