dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI12,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",519,0.5895953757225434,0.4104046242774566,447
BPI12,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",469,0.6823027718550106,0.31769722814498935,371
BPI12,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(1611.0, 4982.0]",627,0.4481658692185008,0.5518341307814991,483
BPI12,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(4982.0, 10853.0]",385,0.5584415584415584,0.4415584415584416,311
BPI12,llama32-1b,llm,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",519,0.5973025048169557,0.4026974951830443,447
BPI12,llama32-1b,llm,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",469,0.7718550106609808,0.22814498933901917,371
BPI12,llama32-1b,llm,activity_frequency_bucket,"act_freq_(1611.0, 4982.0]",627,0.4003189792663477,0.5996810207336523,483
BPI12,llama32-1b,llm,activity_frequency_bucket,"act_freq_(4982.0, 10853.0]",385,0.5818181818181818,0.4181818181818182,311
BPI12,rnn,sequence,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",519,0.7283236994219653,0.2716763005780347,447
BPI12,rnn,sequence,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",469,0.8656716417910447,0.13432835820895528,371
BPI12,rnn,sequence,activity_frequency_bucket,"act_freq_(1611.0, 4982.0]",627,0.6889952153110048,0.3110047846889952,483
BPI12,rnn,sequence,activity_frequency_bucket,"act_freq_(4982.0, 10853.0]",385,0.7714285714285715,0.22857142857142854,311
BPI12,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",519,0.630057803468208,0.36994219653179194,447
BPI12,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",469,0.7398720682302772,0.2601279317697228,371
BPI12,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(1611.0, 4982.0]",627,0.5311004784688995,0.4688995215311005,483
BPI12,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(4982.0, 10853.0]",385,0.6675324675324675,0.33246753246753247,311
BPI12,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",519,0.6570327552986512,0.34296724470134876,447
BPI12,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",469,0.7505330490405118,0.24946695095948823,371
BPI12,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(1611.0, 4982.0]",627,0.529505582137161,0.47049441786283897,483
BPI12,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(4982.0, 10853.0]",385,0.6545454545454545,0.34545454545454546,311
BPI12,transformer,sequence,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",519,0.8342967244701349,0.16570327552986508,447
BPI12,transformer,sequence,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",469,0.8635394456289979,0.13646055437100213,371
BPI12,transformer,sequence,activity_frequency_bucket,"act_freq_(1611.0, 4982.0]",627,0.7129186602870813,0.2870813397129187,483
BPI12,transformer,sequence,activity_frequency_bucket,"act_freq_(4982.0, 10853.0]",385,0.5662337662337662,0.4337662337662338,311
BPI17,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(12.999, 9620.0]",511,0.9217221135029354,0.07827788649706457,498
BPI17,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(36413.0, 44905.0]",644,0.7127329192546584,0.2872670807453416,597
BPI17,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(44905.0, 47498.0]",329,0.8480243161094225,0.15197568389057747,324
BPI17,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(9620.0, 36413.0]",516,0.8546511627906976,0.14534883720930236,496
BPI17,llama32-1b,llm,activity_frequency_bucket,"act_freq_(12.999, 9620.0]",511,0.8454011741682974,0.1545988258317026,498
BPI17,llama32-1b,llm,activity_frequency_bucket,"act_freq_(36413.0, 44905.0]",644,0.7593167701863354,0.24068322981366463,597
BPI17,llama32-1b,llm,activity_frequency_bucket,"act_freq_(44905.0, 47498.0]",329,0.8358662613981763,0.16413373860182368,324
BPI17,llama32-1b,llm,activity_frequency_bucket,"act_freq_(9620.0, 36413.0]",516,0.7751937984496124,0.22480620155038755,496
BPI17,rnn,sequence,activity_frequency_bucket,"act_freq_(12.999, 9620.0]",511,0.9178082191780822,0.0821917808219178,498
BPI17,rnn,sequence,activity_frequency_bucket,"act_freq_(36413.0, 44905.0]",644,0.8105590062111802,0.18944099378881984,597
BPI17,rnn,sequence,activity_frequency_bucket,"act_freq_(44905.0, 47498.0]",329,0.8753799392097265,0.12462006079027355,324
BPI17,rnn,sequence,activity_frequency_bucket,"act_freq_(9620.0, 36413.0]",516,0.8430232558139535,0.15697674418604646,496
BPI17,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(12.999, 9620.0]",511,0.7377690802348337,0.2622309197651663,498
BPI17,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(36413.0, 44905.0]",644,0.5574534161490683,0.4425465838509317,597
BPI17,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(44905.0, 47498.0]",329,0.6413373860182371,0.3586626139817629,324
BPI17,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(9620.0, 36413.0]",516,0.563953488372093,0.436046511627907,496
BPI17,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(12.999, 9620.0]",511,0.8101761252446184,0.18982387475538165,498
BPI17,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(36413.0, 44905.0]",644,0.5590062111801242,0.44099378881987583,597
BPI17,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(44905.0, 47498.0]",329,0.6565349544072948,0.3434650455927052,324
BPI17,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(9620.0, 36413.0]",516,0.5988372093023255,0.40116279069767447,496
BPI17,transformer,sequence,activity_frequency_bucket,"act_freq_(12.999, 9620.0]",511,0.9178082191780822,0.0821917808219178,498
BPI17,transformer,sequence,activity_frequency_bucket,"act_freq_(36413.0, 44905.0]",644,0.7701863354037267,0.22981366459627328,597
BPI17,transformer,sequence,activity_frequency_bucket,"act_freq_(44905.0, 47498.0]",329,0.8723404255319149,0.12765957446808507,324
BPI17,transformer,sequence,activity_frequency_bucket,"act_freq_(9620.0, 36413.0]",516,0.875968992248062,0.12403100775193798,496
BPI20PrepaidTravelCosts,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(430.0, 519.0]",603,0.9850746268656716,0.014925373134328401,410
BPI20PrepaidTravelCosts,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(5.999, 430.0]",502,0.8027888446215139,0.1972111553784861,334
BPI20PrepaidTravelCosts,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(519.0, 529.0]",438,0.4703196347031963,0.5296803652968036,355
BPI20PrepaidTravelCosts,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(529.0, 621.0]",457,0.09409190371991247,0.9059080962800875,359
BPI20PrepaidTravelCosts,llama32-1b,llm,activity_frequency_bucket,"act_freq_(430.0, 519.0]",603,0.9286898839137645,0.0713101160862355,410
BPI20PrepaidTravelCosts,llama32-1b,llm,activity_frequency_bucket,"act_freq_(5.999, 430.0]",502,0.5258964143426295,0.47410358565737054,334
BPI20PrepaidTravelCosts,llama32-1b,llm,activity_frequency_bucket,"act_freq_(519.0, 529.0]",438,0.3447488584474886,0.6552511415525114,355
BPI20PrepaidTravelCosts,llama32-1b,llm,activity_frequency_bucket,"act_freq_(529.0, 621.0]",457,0.5382932166301969,0.4617067833698031,359
BPI20PrepaidTravelCosts,rnn,sequence,activity_frequency_bucket,"act_freq_(430.0, 519.0]",603,0.9900497512437811,0.00995024875621886,410
BPI20PrepaidTravelCosts,rnn,sequence,activity_frequency_bucket,"act_freq_(5.999, 430.0]",502,0.8745019920318725,0.1254980079681275,334
BPI20PrepaidTravelCosts,rnn,sequence,activity_frequency_bucket,"act_freq_(519.0, 529.0]",438,0.6118721461187214,0.3881278538812786,355
BPI20PrepaidTravelCosts,rnn,sequence,activity_frequency_bucket,"act_freq_(529.0, 621.0]",457,0.5754923413566739,0.42450765864332607,359
BPI20PrepaidTravelCosts,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(430.0, 519.0]",603,0.9850746268656716,0.014925373134328401,410
BPI20PrepaidTravelCosts,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(5.999, 430.0]",502,0.8466135458167331,0.1533864541832669,334
BPI20PrepaidTravelCosts,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(519.0, 529.0]",438,0.4589041095890411,0.5410958904109588,355
BPI20PrepaidTravelCosts,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(529.0, 621.0]",457,0.5820568927789934,0.4179431072210066,359
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(430.0, 519.0]",603,0.9850746268656716,0.014925373134328401,410
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(5.999, 430.0]",502,0.8446215139442231,0.15537848605577687,334
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(519.0, 529.0]",438,0.4657534246575342,0.5342465753424658,355
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(529.0, 621.0]",457,0.12691466083150985,0.8730853391684902,359
BPI20PrepaidTravelCosts,transformer,sequence,activity_frequency_bucket,"act_freq_(430.0, 519.0]",603,0.9850746268656716,0.014925373134328401,410
BPI20PrepaidTravelCosts,transformer,sequence,activity_frequency_bucket,"act_freq_(5.999, 430.0]",502,0.8406374501992032,0.15936254980079678,334
BPI20PrepaidTravelCosts,transformer,sequence,activity_frequency_bucket,"act_freq_(519.0, 529.0]",438,0.5707762557077626,0.4292237442922374,355
BPI20PrepaidTravelCosts,transformer,sequence,activity_frequency_bucket,"act_freq_(529.0, 621.0]",457,0.6411378555798687,0.3588621444201313,359
BPI20RequestForPayment,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(0.999, 1190.0]",570,0.9403508771929825,0.05964912280701751,504
BPI20RequestForPayment,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(1190.0, 1196.0]",669,0.9970104633781763,0.002989536621823663,583
BPI20RequestForPayment,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(1196.0, 1219.0]",353,0.5269121813031161,0.4730878186968839,352
BPI20RequestForPayment,gemma-2-2b,llm,activity_frequency_bucket,"act_freq_(1219.0, 1405.0]",408,0.8774509803921569,0.12254901960784315,398
BPI20RequestForPayment,llama32-1b,llm,activity_frequency_bucket,"act_freq_(0.999, 1190.0]",570,0.9438596491228071,0.056140350877192935,504
BPI20RequestForPayment,llama32-1b,llm,activity_frequency_bucket,"act_freq_(1190.0, 1196.0]",669,0.9970104633781763,0.002989536621823663,583
BPI20RequestForPayment,llama32-1b,llm,activity_frequency_bucket,"act_freq_(1196.0, 1219.0]",353,0.39943342776203966,0.6005665722379603,352
BPI20RequestForPayment,llama32-1b,llm,activity_frequency_bucket,"act_freq_(1219.0, 1405.0]",408,0.8774509803921569,0.12254901960784315,398
BPI20RequestForPayment,rnn,sequence,activity_frequency_bucket,"act_freq_(0.999, 1190.0]",570,0.9456140350877194,0.05438596491228065,504
BPI20RequestForPayment,rnn,sequence,activity_frequency_bucket,"act_freq_(1190.0, 1196.0]",669,0.9970104633781763,0.002989536621823663,583
BPI20RequestForPayment,rnn,sequence,activity_frequency_bucket,"act_freq_(1196.0, 1219.0]",353,0.6317280453257791,0.3682719546742209,352
BPI20RequestForPayment,rnn,sequence,activity_frequency_bucket,"act_freq_(1219.0, 1405.0]",408,0.8725490196078431,0.12745098039215685,398
BPI20RequestForPayment,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(0.999, 1190.0]",570,0.9403508771929825,0.05964912280701751,504
BPI20RequestForPayment,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(1190.0, 1196.0]",669,0.9970104633781763,0.002989536621823663,583
BPI20RequestForPayment,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(1196.0, 1219.0]",353,0.6317280453257791,0.3682719546742209,352
BPI20RequestForPayment,saprpt,tabular_fm,activity_frequency_bucket,"act_freq_(1219.0, 1405.0]",408,0.14950980392156862,0.8504901960784313,398
BPI20RequestForPayment,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(0.999, 1190.0]",570,0.9473684210526315,0.052631578947368474,504
BPI20RequestForPayment,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(1190.0, 1196.0]",669,0.9970104633781763,0.002989536621823663,583
BPI20RequestForPayment,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(1196.0, 1219.0]",353,0.6345609065155807,0.3654390934844193,352
BPI20RequestForPayment,tabpfn3,tabular_fm,activity_frequency_bucket,"act_freq_(1219.0, 1405.0]",408,0.058823529411764705,0.9411764705882353,398
BPI20RequestForPayment,transformer,sequence,activity_frequency_bucket,"act_freq_(0.999, 1190.0]",570,0.9473684210526315,0.052631578947368474,504
BPI20RequestForPayment,transformer,sequence,activity_frequency_bucket,"act_freq_(1190.0, 1196.0]",669,0.9970104633781763,0.002989536621823663,583
