dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI12,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.6131756756756757,0.38682432432432434,510
BPI12,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.2732732732732733,0.7267267267267268,228
BPI12,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.6565217391304348,0.34347826086956523,549
BPI12,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.5584415584415584,0.4415584415584416,311
BPI12,llama32-1b,llm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.606418918918919,0.39358108108108103,510
BPI12,llama32-1b,llm,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.21021021021021022,0.7897897897897898,228
BPI12,llama32-1b,llm,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.7159420289855073,0.2840579710144927,549
BPI12,llama32-1b,llm,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.5818181818181818,0.4181818181818182,311
BPI12,rnn,sequence,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.7094594594594594,0.29054054054054057,510
BPI12,rnn,sequence,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.7057057057057057,0.2942942942942943,228
BPI12,rnn,sequence,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.8130434782608695,0.18695652173913047,549
BPI12,rnn,sequence,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.7714285714285715,0.22857142857142854,311
BPI12,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.6790540540540541,0.32094594594594594,510
BPI12,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.4804804804804805,0.5195195195195195,228
BPI12,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.644927536231884,0.35507246376811596,549
BPI12,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.6675324675324675,0.33246753246753247,311
BPI12,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.6706081081081081,0.3293918918918919,510
BPI12,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.5015015015015015,0.4984984984984985,228
BPI12,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.6681159420289855,0.3318840579710145,549
BPI12,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.6545454545454545,0.34545454545454546,311
BPI12,transformer,sequence,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.7719594594594594,0.22804054054054057,510
BPI12,transformer,sequence,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.7267267267267268,0.2732732732732732,228
BPI12,transformer,sequence,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.8492753623188406,0.1507246376811594,549
BPI12,transformer,sequence,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.5662337662337662,0.4337662337662338,311
BPI17,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.9304703476482618,0.06952965235173825,467
BPI17,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.7355371900826446,0.2644628099173554,349
BPI17,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.8083623693379791,0.19163763066202089,1060
BPI17,llama32-1b,llm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.8834355828220859,0.1165644171779141,467
BPI17,llama32-1b,llm,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.71900826446281,0.28099173553719003,349
BPI17,llama32-1b,llm,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.7865853658536586,0.21341463414634143,1060
BPI17,rnn,sequence,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.9406952965235174,0.059304703476482645,467
BPI17,rnn,sequence,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.8181818181818182,0.18181818181818177,349
BPI17,rnn,sequence,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.8336236933797909,0.16637630662020908,1060
BPI17,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.7648261758691206,0.2351738241308794,467
BPI17,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.6005509641873278,0.3994490358126722,349
BPI17,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.5627177700348432,0.43728222996515675,1060
BPI17,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.7832310838445807,0.21676891615541927,467
BPI17,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.6391184573002755,0.3608815426997245,349
BPI17,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.5958188153310104,0.40418118466898956,1060
BPI17,transformer,sequence,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.9141104294478528,0.08588957055214719,467
BPI17,transformer,sequence,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.8071625344352618,0.19283746556473824,349
BPI17,transformer,sequence,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.8397212543554007,0.16027874564459932,1060
BPI20PrepaidTravelCosts,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.6745213549337261,0.3254786450662739,436
BPI20PrepaidTravelCosts,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.5241779497098646,0.47582205029013536,378
BPI20PrepaidTravelCosts,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.6853146853146853,0.3146853146853147,329
BPI20PrepaidTravelCosts,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.5946666666666667,0.4053333333333333,304
BPI20PrepaidTravelCosts,llama32-1b,llm,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.7363770250368189,0.2636229749631811,436
BPI20PrepaidTravelCosts,llama32-1b,llm,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.6982591876208898,0.3017408123791102,378
BPI20PrepaidTravelCosts,llama32-1b,llm,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.4195804195804196,0.5804195804195804,329
BPI20PrepaidTravelCosts,llama32-1b,llm,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.48,0.52,304
BPI20PrepaidTravelCosts,rnn,sequence,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.7643593519882179,0.23564064801178208,436
BPI20PrepaidTravelCosts,rnn,sequence,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.874274661508704,0.12572533849129597,378
BPI20PrepaidTravelCosts,rnn,sequence,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.8438228438228438,0.15617715617715622,329
BPI20PrepaidTravelCosts,rnn,sequence,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.624,0.376,304
BPI20PrepaidTravelCosts,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.9646539027982327,0.03534609720176729,436
BPI20PrepaidTravelCosts,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.6247582205029013,0.3752417794970987,378
BPI20PrepaidTravelCosts,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.6783216783216783,0.32167832167832167,329
BPI20PrepaidTravelCosts,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.5786666666666667,0.42133333333333334,304
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.7422680412371134,0.25773195876288657,436
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.5125725338491296,0.4874274661508704,378
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.6783216783216783,0.32167832167832167,329
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.5866666666666667,0.41333333333333333,304
BPI20PrepaidTravelCosts,transformer,sequence,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.7908689248895434,0.2091310751104566,436
BPI20PrepaidTravelCosts,transformer,sequence,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.8820116054158608,0.11798839458413923,378
BPI20PrepaidTravelCosts,transformer,sequence,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.7902097902097902,0.2097902097902098,329
BPI20PrepaidTravelCosts,transformer,sequence,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.6053333333333333,0.3946666666666667,304
BPI20RequestForPayment,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.968833481745325,0.03116651825467498,804
BPI20RequestForPayment,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.8774509803921569,0.12254901960784315,398
BPI20RequestForPayment,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.6417910447761194,0.35820895522388063,438
BPI20RequestForPayment,llama32-1b,llm,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.9706144256455922,0.029385574354407806,804
BPI20RequestForPayment,llama32-1b,llm,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.8774509803921569,0.12254901960784315,398
BPI20RequestForPayment,llama32-1b,llm,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.5458422174840085,0.4541577825159915,438
BPI20RequestForPayment,rnn,sequence,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.9715048975957258,0.02849510240427422,804
BPI20RequestForPayment,rnn,sequence,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.8725490196078431,0.12745098039215685,398
BPI20RequestForPayment,rnn,sequence,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.720682302771855,0.27931769722814503,438
BPI20RequestForPayment,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.968833481745325,0.03116651825467498,804
BPI20RequestForPayment,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.14950980392156862,0.8504901960784313,398
BPI20RequestForPayment,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.720682302771855,0.27931769722814503,438
BPI20RequestForPayment,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.9723953695458593,0.027604630454140744,804
BPI20RequestForPayment,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.058823529411764705,0.9411764705882353,398
BPI20RequestForPayment,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.7228144989339019,0.2771855010660981,438
BPI20RequestForPayment,transformer,sequence,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.9723953695458593,0.027604630454140744,804
BPI20RequestForPayment,transformer,sequence,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.8774509803921569,0.12254901960784315,398
BPI20RequestForPayment,transformer,sequence,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.7228144989339019,0.2771855010660981,438
BPI20TravelPermitData,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(0.999, 10.0]",504,0.5793650793650794,0.4206349206349206,460
BPI20TravelPermitData,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(10.0, 15.0]",641,0.5803432137285491,0.41965678627145087,584
BPI20TravelPermitData,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(15.0, 18.0]",485,0.8061855670103093,0.1938144329896907,426
BPI20TravelPermitData,gemma-2-2b,llm,branching_degree_bucket,"branch_deg_(18.0, 25.0]",370,0.7162162162162162,0.28378378378378377,359
BPI20TravelPermitData,llama32-1b,llm,branching_degree_bucket,"branch_deg_(0.999, 10.0]",504,0.8373015873015873,0.16269841269841268,460
BPI20TravelPermitData,llama32-1b,llm,branching_degree_bucket,"branch_deg_(10.0, 15.0]",641,0.6786271450858035,0.32137285491419654,584
BPI20TravelPermitData,llama32-1b,llm,branching_degree_bucket,"branch_deg_(15.0, 18.0]",485,0.7731958762886598,0.22680412371134018,426
BPI20TravelPermitData,llama32-1b,llm,branching_degree_bucket,"branch_deg_(18.0, 25.0]",370,0.654054054054054,0.34594594594594597,359
BPI20TravelPermitData,rnn,sequence,branching_degree_bucket,"branch_deg_(0.999, 10.0]",504,0.5972222222222222,0.4027777777777778,460
BPI20TravelPermitData,rnn,sequence,branching_degree_bucket,"branch_deg_(10.0, 15.0]",641,0.7285491419656787,0.27145085803432134,584
BPI20TravelPermitData,rnn,sequence,branching_degree_bucket,"branch_deg_(15.0, 18.0]",485,0.8762886597938144,0.12371134020618557,426
BPI20TravelPermitData,rnn,sequence,branching_degree_bucket,"branch_deg_(18.0, 25.0]",370,0.7810810810810811,0.2189189189189189,359
BPI20TravelPermitData,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 10.0]",504,0.6726190476190477,0.32738095238095233,460
BPI20TravelPermitData,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(10.0, 15.0]",641,0.6458658346333853,0.3541341653666147,584
BPI20TravelPermitData,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(15.0, 18.0]",485,0.7443298969072165,0.2556701030927835,426
BPI20TravelPermitData,saprpt,tabular_fm,branching_degree_bucket,"branch_deg_(18.0, 25.0]",370,0.6432432432432432,0.3567567567567568,359
BPI20TravelPermitData,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(0.999, 10.0]",504,0.5674603174603174,0.43253968253968256,460
BPI20TravelPermitData,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(10.0, 15.0]",641,0.49765990639625585,0.5023400936037441,584
BPI20TravelPermitData,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(15.0, 18.0]",485,0.7402061855670103,0.25979381443298966,426
BPI20TravelPermitData,tabpfn3,tabular_fm,branching_degree_bucket,"branch_deg_(18.0, 25.0]",370,0.6594594594594595,0.3405405405405405,359
BPI20TravelPermitData,transformer,sequence,branching_degree_bucket,"branch_deg_(0.999, 10.0]",504,0.5515873015873016,0.4484126984126984,460
BPI20TravelPermitData,transformer,sequence,branching_degree_bucket,"branch_deg_(10.0, 15.0]",641,0.7254290171606864,0.2745709828393136,584
BPI20TravelPermitData,transformer,sequence,branching_degree_bucket,"branch_deg_(15.0, 18.0]",485,0.8721649484536083,0.12783505154639174,426
BPI20TravelPermitData,transformer,sequence,branching_degree_bucket,"branch_deg_(18.0, 25.0]",370,0.7675675675675676,0.2324324324324324,359
