dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI12,gemma-2-2b,llm,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.6303939962476548,0.3696060037523452,420
BPI12,gemma-2-2b,llm,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.6335877862595419,0.36641221374045807,415
BPI12,gemma-2-2b,llm,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.505307855626327,0.49469214437367304,389
BPI12,gemma-2-2b,llm,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.4576271186440678,0.5423728813559322,400
BPI12,llama32-1b,llm,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.6060037523452158,0.39399624765478425,420
BPI12,llama32-1b,llm,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.7309160305343512,0.26908396946564883,415
BPI12,llama32-1b,llm,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.5159235668789809,0.4840764331210191,389
BPI12,llama32-1b,llm,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.4194915254237288,0.5805084745762712,400
BPI12,rnn,sequence,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.8123827392120075,0.18761726078799246,420
BPI12,rnn,sequence,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.8473282442748091,0.15267175572519087,415
BPI12,rnn,sequence,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.6836518046709129,0.3163481953290871,389
BPI12,rnn,sequence,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.6652542372881356,0.3347457627118644,400
BPI12,saprpt,tabular_fm,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.8292682926829268,0.1707317073170732,420
BPI12,saprpt,tabular_fm,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.6984732824427481,0.3015267175572519,415
BPI12,saprpt,tabular_fm,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.6178343949044586,0.3821656050955414,389
BPI12,saprpt,tabular_fm,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.3495762711864407,0.6504237288135593,400
BPI12,tabpfn3,tabular_fm,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.8386491557223265,0.16135084427767354,420
BPI12,tabpfn3,tabular_fm,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.7041984732824428,0.2958015267175572,415
BPI12,tabpfn3,tabular_fm,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.6008492569002123,0.3991507430997877,389
BPI12,tabpfn3,tabular_fm,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.3771186440677966,0.6228813559322034,400
BPI12,transformer,sequence,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.8799249530956847,0.12007504690431525,420
