dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI12,gemma-2-2b,llm,prefix_length_bucket,1,91,1.0,0.0,91
BPI12,gemma-2-2b,llm,prefix_length_bucket,11-20,536,0.5690298507462687,0.43097014925373134,461
BPI12,gemma-2-2b,llm,prefix_length_bucket,2,86,0.26744186046511625,0.7325581395348837,86
BPI12,gemma-2-2b,llm,prefix_length_bucket,21-50,672,0.49702380952380953,0.5029761904761905,498
BPI12,gemma-2-2b,llm,prefix_length_bucket,3,89,0.9887640449438202,0.011235955056179803,89
BPI12,gemma-2-2b,llm,prefix_length_bucket,4-5,118,0.576271186440678,0.423728813559322,116
BPI12,gemma-2-2b,llm,prefix_length_bucket,6-10,293,0.5972696245733788,0.40273037542662116,269
BPI12,gemma-2-2b,llm,prefix_length_bucket,>50,115,0.33043478260869563,0.6695652173913044,72
BPI12,llama32-1b,llm,prefix_length_bucket,1,91,1.0,0.0,91
BPI12,llama32-1b,llm,prefix_length_bucket,11-20,536,0.7201492537313433,0.2798507462686567,461
BPI12,llama32-1b,llm,prefix_length_bucket,2,86,0.22093023255813954,0.7790697674418605,86
BPI12,llama32-1b,llm,prefix_length_bucket,21-50,672,0.38244047619047616,0.6175595238095238,498
BPI12,llama32-1b,llm,prefix_length_bucket,3,89,0.898876404494382,0.101123595505618,89
BPI12,llama32-1b,llm,prefix_length_bucket,4-5,118,0.6779661016949152,0.3220338983050848,116
BPI12,llama32-1b,llm,prefix_length_bucket,6-10,293,0.7337883959044369,0.2662116040955631,269
BPI12,llama32-1b,llm,prefix_length_bucket,>50,115,0.16521739130434782,0.8347826086956522,72
BPI12,rnn,sequence,prefix_length_bucket,1,91,1.0,0.0,91
BPI12,rnn,sequence,prefix_length_bucket,11-20,536,0.8115671641791045,0.18843283582089554,461
BPI12,rnn,sequence,prefix_length_bucket,2,86,0.29069767441860467,0.7093023255813953,86
BPI12,rnn,sequence,prefix_length_bucket,21-50,672,0.7648809523809523,0.23511904761904767,498
BPI12,rnn,sequence,prefix_length_bucket,3,89,1.0,0.0,89
BPI12,rnn,sequence,prefix_length_bucket,4-5,118,0.6779661016949152,0.3220338983050848,116
BPI12,rnn,sequence,prefix_length_bucket,6-10,293,0.7030716723549488,0.29692832764505117,269
BPI12,rnn,sequence,prefix_length_bucket,>50,115,0.6347826086956522,0.3652173913043478,72
BPI12,saprpt,tabular_fm,prefix_length_bucket,1,91,1.0,0.0,91
BPI12,saprpt,tabular_fm,prefix_length_bucket,11-20,536,0.6305970149253731,0.3694029850746269,461
BPI12,saprpt,tabular_fm,prefix_length_bucket,2,86,0.3953488372093023,0.6046511627906976,86
BPI12,saprpt,tabular_fm,prefix_length_bucket,21-50,672,0.6160714285714286,0.3839285714285714,498
BPI12,saprpt,tabular_fm,prefix_length_bucket,3,89,0.9775280898876404,0.022471910112359605,89
BPI12,saprpt,tabular_fm,prefix_length_bucket,4-5,118,0.635593220338983,0.364406779661017,116
BPI12,saprpt,tabular_fm,prefix_length_bucket,6-10,293,0.5699658703071673,0.4300341296928327,269
BPI12,saprpt,tabular_fm,prefix_length_bucket,>50,115,0.5043478260869565,0.4956521739130435,72
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,1,91,1.0,0.0,91
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,11-20,536,0.628731343283582,0.37126865671641796,461
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,2,86,0.36046511627906974,0.6395348837209303,86
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,21-50,672,0.6294642857142857,0.3705357142857143,498
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,3,89,1.0,0.0,89
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,4-5,118,0.635593220338983,0.364406779661017,116
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,6-10,293,0.590443686006826,0.40955631399317405,269
BPI12,tabpfn3,tabular_fm,prefix_length_bucket,>50,115,0.5043478260869565,0.4956521739130435,72
BPI12,transformer,sequence,prefix_length_bucket,1,91,1.0,0.0,91
BPI12,transformer,sequence,prefix_length_bucket,11-20,536,0.7649253731343284,0.2350746268656716,461
BPI12,transformer,sequence,prefix_length_bucket,2,86,0.27906976744186046,0.7209302325581395,86
BPI12,transformer,sequence,prefix_length_bucket,21-50,672,0.7023809523809523,0.29761904761904767,498
BPI12,transformer,sequence,prefix_length_bucket,3,89,1.0,0.0,89
BPI12,transformer,sequence,prefix_length_bucket,4-5,118,0.7372881355932204,0.2627118644067796,116
BPI12,transformer,sequence,prefix_length_bucket,6-10,293,0.8600682593856656,0.13993174061433444,269
BPI12,transformer,sequence,prefix_length_bucket,>50,115,0.6782608695652174,0.32173913043478264,72
BPI17,gemma-2-2b,llm,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43
BPI17,gemma-2-2b,llm,prefix_length_bucket,11-20,545,0.8788990825688073,0.12110091743119267,525
BPI17,gemma-2-2b,llm,prefix_length_bucket,2,49,1.0,0.0,49
BPI17,gemma-2-2b,llm,prefix_length_bucket,21-50,836,0.7834928229665071,0.21650717703349287,769
BPI17,gemma-2-2b,llm,prefix_length_bucket,3,44,1.0,0.0,44
BPI17,gemma-2-2b,llm,prefix_length_bucket,4-5,105,0.8761904761904762,0.12380952380952381,104
BPI17,gemma-2-2b,llm,prefix_length_bucket,6-10,248,0.842741935483871,0.157258064516129,245
BPI17,gemma-2-2b,llm,prefix_length_bucket,>50,130,0.7,0.30000000000000004,122
BPI17,llama32-1b,llm,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43
BPI17,llama32-1b,llm,prefix_length_bucket,11-20,545,0.8568807339449541,0.14311926605504588,525
BPI17,llama32-1b,llm,prefix_length_bucket,2,49,0.7551020408163265,0.24489795918367352,49
BPI17,llama32-1b,llm,prefix_length_bucket,21-50,836,0.7679425837320574,0.23205741626794263,769
BPI17,llama32-1b,llm,prefix_length_bucket,3,44,0.8863636363636364,0.11363636363636365,44
BPI17,llama32-1b,llm,prefix_length_bucket,4-5,105,0.8285714285714286,0.17142857142857137,104
BPI17,llama32-1b,llm,prefix_length_bucket,6-10,248,0.7782258064516129,0.22177419354838712,245
BPI17,llama32-1b,llm,prefix_length_bucket,>50,130,0.7692307692307693,0.23076923076923073,122
BPI17,rnn,sequence,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43
BPI17,rnn,sequence,prefix_length_bucket,11-20,545,0.8935779816513761,0.10642201834862386,525
BPI17,rnn,sequence,prefix_length_bucket,2,49,1.0,0.0,49
BPI17,rnn,sequence,prefix_length_bucket,21-50,836,0.8444976076555024,0.1555023923444976,769
BPI17,rnn,sequence,prefix_length_bucket,3,44,1.0,0.0,44
BPI17,rnn,sequence,prefix_length_bucket,4-5,105,0.8476190476190476,0.1523809523809524,104
BPI17,rnn,sequence,prefix_length_bucket,6-10,248,0.8346774193548387,0.16532258064516125,245
BPI17,rnn,sequence,prefix_length_bucket,>50,130,0.7769230769230769,0.22307692307692306,122
BPI17,saprpt,tabular_fm,prefix_length_bucket,1,43,0.7441860465116279,0.2558139534883721,43
BPI17,saprpt,tabular_fm,prefix_length_bucket,11-20,545,0.6165137614678899,0.38348623853211006,525
BPI17,saprpt,tabular_fm,prefix_length_bucket,2,49,0.9387755102040817,0.061224489795918324,49
BPI17,saprpt,tabular_fm,prefix_length_bucket,21-50,836,0.5897129186602871,0.4102870813397129,769
BPI17,saprpt,tabular_fm,prefix_length_bucket,3,44,0.22727272727272727,0.7727272727272727,44
BPI17,saprpt,tabular_fm,prefix_length_bucket,4-5,105,0.6095238095238096,0.3904761904761904,104
BPI17,saprpt,tabular_fm,prefix_length_bucket,6-10,248,0.7459677419354839,0.2540322580645161,245
BPI17,saprpt,tabular_fm,prefix_length_bucket,>50,130,0.5538461538461539,0.4461538461538461,122
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,1,43,0.7209302325581395,0.2790697674418605,43
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,11-20,545,0.6440366972477064,0.3559633027522936,525
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,2,49,0.9795918367346939,0.020408163265306145,49
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,21-50,836,0.6196172248803827,0.38038277511961727,769
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,3,44,0.7045454545454546,0.2954545454545454,44
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,4-5,105,0.3619047619047619,0.638095238095238,104
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,6-10,248,0.8104838709677419,0.18951612903225812,245
BPI17,tabpfn3,tabular_fm,prefix_length_bucket,>50,130,0.6230769230769231,0.3769230769230769,122
BPI17,transformer,sequence,prefix_length_bucket,1,43,0.46511627906976744,0.5348837209302326,43
BPI17,transformer,sequence,prefix_length_bucket,11-20,545,0.8935779816513761,0.10642201834862386,525
BPI17,transformer,sequence,prefix_length_bucket,2,49,1.0,0.0,49
BPI17,transformer,sequence,prefix_length_bucket,21-50,836,0.8289473684210527,0.17105263157894735,769
BPI17,transformer,sequence,prefix_length_bucket,3,44,1.0,0.0,44
BPI17,transformer,sequence,prefix_length_bucket,4-5,105,0.8761904761904762,0.12380952380952381,104
BPI17,transformer,sequence,prefix_length_bucket,6-10,248,0.8790322580645161,0.12096774193548387,245
BPI17,transformer,sequence,prefix_length_bucket,>50,130,0.7769230769230769,0.22307692307692306,122
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,1,211,0.13270142180094788,0.8672985781990521,211
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,11-20,94,0.925531914893617,0.07446808510638303,64
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,2,219,0.4018264840182648,0.5981735159817352,219
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,3,203,0.7931034482758621,0.2068965517241379,203
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,4-5,445,0.5235955056179775,0.4764044943820225,356
BPI20PrepaidTravelCosts,gemma-2-2b,llm,prefix_length_bucket,6-10,828,0.783816425120773,0.21618357487922701,451
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,1,211,0.5402843601895735,0.4597156398104265,211
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,11-20,94,0.8297872340425532,0.17021276595744683,64
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,2,219,0.2328767123287671,0.7671232876712328,219
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,3,203,0.4876847290640394,0.5123152709359606,203
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,4-5,445,0.604494382022472,0.39550561797752803,356
BPI20PrepaidTravelCosts,llama32-1b,llm,prefix_length_bucket,6-10,828,0.7367149758454107,0.2632850241545893,451
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,1,211,0.35071090047393366,0.6492890995260663,211
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,11-20,94,0.9680851063829787,0.03191489361702127,64
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,2,219,0.3926940639269406,0.6073059360730594,219
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,3,203,0.8817733990147784,0.11822660098522164,203
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,4-5,445,0.8314606741573034,0.1685393258426966,356
BPI20PrepaidTravelCosts,rnn,sequence,prefix_length_bucket,6-10,828,0.9263285024154589,0.07367149758454106,451
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,1,211,0.966824644549763,0.033175355450236976,211
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,11-20,94,0.8723404255319149,0.12765957446808507,64
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,2,219,0.3972602739726027,0.6027397260273972,219
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,3,203,0.8866995073891626,0.11330049261083741,203
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,4-5,445,0.5842696629213483,0.4157303370786517,356
BPI20PrepaidTravelCosts,saprpt,tabular_fm,prefix_length_bucket,6-10,828,0.8128019323671497,0.1871980676328503,451
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,1,211,0.22274881516587677,0.7772511848341233,211
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,11-20,94,0.8723404255319149,0.12765957446808507,64
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,2,219,0.4155251141552511,0.5844748858447488,219
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,3,203,0.8177339901477833,0.18226600985221675,203
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,4-5,445,0.5146067415730337,0.48539325842696635,356
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,prefix_length_bucket,6-10,828,0.8031400966183575,0.1968599033816425,451
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,1,211,0.4928909952606635,0.5071090047393365,211
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,11-20,94,0.9468085106382979,0.05319148936170215,64
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,2,219,0.410958904109589,0.589041095890411,219
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,3,203,0.8275862068965517,0.1724137931034483,203
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,4-5,445,0.8157303370786517,0.18426966292134828,356
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,6-10,828,0.8997584541062802,0.10024154589371981,451
