dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI12,gemma-2-2b,llm,relative_prefix_bucket,0-20%,331,0.6797583081570997,0.3202416918429003,299
BPI12,gemma-2-2b,llm,relative_prefix_bucket,20-40%,404,0.5594059405940595,0.44059405940594054,366
BPI12,gemma-2-2b,llm,relative_prefix_bucket,40-60%,385,0.5454545454545454,0.4545454545454546,342
BPI12,gemma-2-2b,llm,relative_prefix_bucket,60-80%,423,0.5200945626477541,0.4799054373522459,377
BPI12,gemma-2-2b,llm,relative_prefix_bucket,80-100%,457,0.5273522975929978,0.47264770240700216,402
BPI12,llama32-1b,llm,relative_prefix_bucket,0-20%,331,0.716012084592145,0.28398791540785495,299
BPI12,llama32-1b,llm,relative_prefix_bucket,20-40%,404,0.6806930693069307,0.31930693069306926,366
BPI12,llama32-1b,llm,relative_prefix_bucket,40-60%,385,0.6181818181818182,0.38181818181818183,342
BPI12,llama32-1b,llm,relative_prefix_bucket,60-80%,423,0.5130023640661938,0.4869976359338062,377
BPI12,llama32-1b,llm,relative_prefix_bucket,80-100%,457,0.3938730853391685,0.6061269146608315,402
BPI12,rnn,sequence,relative_prefix_bucket,0-20%,331,0.7401812688821753,0.2598187311178247,299
BPI12,rnn,sequence,relative_prefix_bucket,20-40%,404,0.745049504950495,0.25495049504950495,366
BPI12,rnn,sequence,relative_prefix_bucket,40-60%,385,0.8441558441558441,0.1558441558441559,342
BPI12,rnn,sequence,relative_prefix_bucket,60-80%,423,0.8156028368794326,0.18439716312056742,377
BPI12,rnn,sequence,relative_prefix_bucket,80-100%,457,0.649890590809628,0.35010940919037203,402
BPI12,saprpt,tabular_fm,relative_prefix_bucket,0-20%,331,0.8006042296072508,0.19939577039274925,299
BPI12,saprpt,tabular_fm,relative_prefix_bucket,20-40%,404,0.6361386138613861,0.36386138613861385,366
BPI12,saprpt,tabular_fm,relative_prefix_bucket,40-60%,385,0.6805194805194805,0.3194805194805195,342
BPI12,saprpt,tabular_fm,relative_prefix_bucket,60-80%,423,0.6903073286052009,0.30969267139479906,377
BPI12,saprpt,tabular_fm,relative_prefix_bucket,80-100%,457,0.4113785557986871,0.5886214442013129,402
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,0-20%,331,0.7552870090634441,0.24471299093655585,299
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,20-40%,404,0.655940594059406,0.34405940594059403,366
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,40-60%,385,0.6571428571428571,0.34285714285714286,342
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,60-80%,423,0.706855791962175,0.29314420803782504,377
BPI12,tabpfn3,tabular_fm,relative_prefix_bucket,80-100%,457,0.45951859956236324,0.5404814004376368,402
BPI12,transformer,sequence,relative_prefix_bucket,0-20%,331,0.797583081570997,0.202416918429003,299
BPI12,transformer,sequence,relative_prefix_bucket,20-40%,404,0.8193069306930693,0.18069306930693074,366
BPI12,transformer,sequence,relative_prefix_bucket,40-60%,385,0.7714285714285715,0.22857142857142854,342
BPI12,transformer,sequence,relative_prefix_bucket,60-80%,423,0.6879432624113475,0.3120567375886525,377
BPI12,transformer,sequence,relative_prefix_bucket,80-100%,457,0.700218818380744,0.29978118161925604,402
BPI17,gemma-2-2b,llm,relative_prefix_bucket,0-20%,339,0.8761061946902655,0.12389380530973448,326
BPI17,gemma-2-2b,llm,relative_prefix_bucket,20-40%,407,0.85995085995086,0.14004914004914004,401
BPI17,gemma-2-2b,llm,relative_prefix_bucket,40-60%,403,0.8411910669975186,0.15880893300248144,388
BPI17,gemma-2-2b,llm,relative_prefix_bucket,60-80%,410,0.8048780487804879,0.19512195121951215,401
BPI17,gemma-2-2b,llm,relative_prefix_bucket,80-100%,441,0.7573696145124716,0.24263038548752835,429
BPI17,llama32-1b,llm,relative_prefix_bucket,0-20%,339,0.7728613569321534,0.2271386430678466,326
BPI17,llama32-1b,llm,relative_prefix_bucket,20-40%,407,0.8378378378378378,0.16216216216216217,401
BPI17,llama32-1b,llm,relative_prefix_bucket,40-60%,403,0.8312655086848635,0.16873449131513651,388
BPI17,llama32-1b,llm,relative_prefix_bucket,60-80%,410,0.8170731707317073,0.18292682926829273,401
BPI17,llama32-1b,llm,relative_prefix_bucket,80-100%,441,0.7324263038548753,0.2675736961451247,429
BPI17,rnn,sequence,relative_prefix_bucket,0-20%,339,0.8643067846607669,0.13569321533923306,326
BPI17,rnn,sequence,relative_prefix_bucket,20-40%,407,0.855036855036855,0.144963144963145,401
BPI17,rnn,sequence,relative_prefix_bucket,40-60%,403,0.9007444168734491,0.09925558312655092,388
BPI17,rnn,sequence,relative_prefix_bucket,60-80%,410,0.8829268292682927,0.11707317073170731,401
BPI17,rnn,sequence,relative_prefix_bucket,80-100%,441,0.7891156462585034,0.2108843537414966,429
BPI17,saprpt,tabular_fm,relative_prefix_bucket,0-20%,339,0.6696165191740413,0.3303834808259587,326
BPI17,saprpt,tabular_fm,relative_prefix_bucket,20-40%,407,0.6412776412776413,0.3587223587223587,401
BPI17,saprpt,tabular_fm,relative_prefix_bucket,40-60%,403,0.6203473945409429,0.3796526054590571,388
BPI17,saprpt,tabular_fm,relative_prefix_bucket,60-80%,410,0.6463414634146342,0.35365853658536583,401
BPI17,saprpt,tabular_fm,relative_prefix_bucket,80-100%,441,0.5328798185941043,0.46712018140589573,429
BPI17,tabpfn3,tabular_fm,relative_prefix_bucket,0-20%,339,0.6814159292035398,0.31858407079646023,326
BPI17,tabpfn3,tabular_fm,relative_prefix_bucket,20-40%,407,0.6658476658476659,0.33415233415233414,401
BPI17,tabpfn3,tabular_fm,relative_prefix_bucket,40-60%,403,0.6426799007444168,0.35732009925558317,388
BPI17,tabpfn3,tabular_fm,relative_prefix_bucket,60-80%,410,0.6634146341463415,0.3365853658536585,401
BPI17,tabpfn3,tabular_fm,relative_prefix_bucket,80-100%,441,0.6031746031746031,0.39682539682539686,429
BPI17,transformer,sequence,relative_prefix_bucket,0-20%,339,0.855457227138643,0.14454277286135697,326
BPI17,transformer,sequence,relative_prefix_bucket,20-40%,407,0.8796068796068796,0.12039312039312045,401
