dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI12,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",518,0.23552123552123552,0.7644787644787645,442
BPI12,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(10853.0, 12647.0]",486,0.8024691358024691,0.19753086419753085,388
BPI12,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",615,0.5739837398373984,0.42601626016260163,476
BPI12,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(4982.0, 10853.0]",381,0.6745406824146981,0.3254593175853019,309
BPI12,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",518,0.3185328185328185,0.6814671814671815,442
BPI12,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(10853.0, 12647.0]",486,0.8930041152263375,0.10699588477366251,388
BPI12,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",615,0.4666666666666667,0.5333333333333333,476
BPI12,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(4982.0, 10853.0]",381,0.6850393700787402,0.31496062992125984,309
BPI12,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",518,0.40733590733590735,0.5926640926640927,442
BPI12,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(10853.0, 12647.0]",486,0.9958847736625515,0.004115226337448541,388
BPI12,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",615,0.7967479674796748,0.2032520325203252,476
BPI12,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(4982.0, 10853.0]",381,0.8608923884514436,0.13910761154855644,309
BPI12,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",518,0.3359073359073359,0.6640926640926641,442
BPI12,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(10853.0, 12647.0]",486,0.8580246913580247,0.14197530864197527,388
BPI12,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",615,0.5886178861788618,0.4113821138211382,476
BPI12,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(4982.0, 10853.0]",381,0.8162729658792651,0.18372703412073488,309
BPI12,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",518,0.3301158301158301,0.6698841698841699,442
BPI12,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(10853.0, 12647.0]",486,0.8703703703703703,0.12962962962962965,388
BPI12,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",615,0.6211382113821138,0.3788617886178862,476
BPI12,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(4982.0, 10853.0]",381,0.7900262467191601,0.2099737532808399,309
BPI12,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",518,0.4768339768339768,0.5231660231660231,442
BPI12,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(10853.0, 12647.0]",486,0.9423868312757202,0.057613168724279795,388
BPI12,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",615,0.8780487804878049,0.12195121951219512,476
BPI12,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(4982.0, 10853.0]",381,0.6771653543307087,0.3228346456692913,309
BPI17,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(12.999, 9620.0]",546,0.7326007326007326,0.26739926739926745,523
BPI17,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(36413.0, 44905.0]",625,0.7648,0.23519999999999996,580
BPI17,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(44905.0, 47498.0]",327,0.981651376146789,0.01834862385321101,322
BPI17,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(9620.0, 36413.0]",502,0.898406374501992,0.10159362549800799,486
BPI17,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(12.999, 9620.0]",546,0.7326007326007326,0.26739926739926745,523
BPI17,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(36413.0, 44905.0]",625,0.7824,0.21760000000000002,580
BPI17,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(44905.0, 47498.0]",327,0.944954128440367,0.05504587155963303,322
BPI17,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(9620.0, 36413.0]",502,0.7928286852589641,0.2071713147410359,486
BPI17,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(12.999, 9620.0]",546,0.7783882783882784,0.2216117216117216,523
BPI17,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(36413.0, 44905.0]",625,0.84,0.16000000000000003,580
BPI17,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(44905.0, 47498.0]",327,0.981651376146789,0.01834862385321101,322
BPI17,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(9620.0, 36413.0]",502,0.8824701195219123,0.11752988047808766,486
BPI17,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(12.999, 9620.0]",546,0.2564102564102564,0.7435897435897436,523
BPI17,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(36413.0, 44905.0]",625,0.7472,0.2528,580
BPI17,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(44905.0, 47498.0]",327,0.7370030581039755,0.2629969418960245,322
BPI17,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(9620.0, 36413.0]",502,0.7768924302788844,0.22310756972111556,486
BPI17,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(12.999, 9620.0]",546,0.2600732600732601,0.73992673992674,523
BPI17,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(36413.0, 44905.0]",625,0.7952,0.20479999999999998,580
BPI17,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(44905.0, 47498.0]",327,0.72782874617737,0.27217125382262997,322
BPI17,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(9620.0, 36413.0]",502,0.8406374501992032,0.15936254980079678,486
BPI17,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(12.999, 9620.0]",546,0.7362637362637363,0.2637362637362637,523
BPI17,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(36413.0, 44905.0]",625,0.8224,0.17759999999999998,580
BPI17,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(44905.0, 47498.0]",327,0.9785932721712538,0.021406727828746197,322
BPI17,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(9620.0, 36413.0]",502,0.9322709163346613,0.0677290836653387,486
BPI20PrepaidTravelCosts,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(430.0, 519.0]",615,0.943089430894309,0.05691056910569103,410
BPI20PrepaidTravelCosts,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(5.999, 430.0]",533,0.45778611632270166,0.5422138836772983,333
BPI20PrepaidTravelCosts,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(519.0, 529.0]",406,0.10591133004926108,0.8940886699507389,326
BPI20PrepaidTravelCosts,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(529.0, 588.0]",446,0.8497757847533632,0.15022421524663676,354
BPI20PrepaidTravelCosts,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(430.0, 519.0]",615,0.8731707317073171,0.12682926829268293,410
BPI20PrepaidTravelCosts,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(5.999, 430.0]",533,0.05628517823639775,0.9437148217636022,333
BPI20PrepaidTravelCosts,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(519.0, 529.0]",406,0.6059113300492611,0.3940886699507389,326
BPI20PrepaidTravelCosts,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(529.0, 588.0]",446,0.9147982062780269,0.08520179372197312,354
BPI20PrepaidTravelCosts,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(430.0, 519.0]",615,0.9772357723577236,0.02276422764227637,410
BPI20PrepaidTravelCosts,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(5.999, 430.0]",533,0.5647279549718575,0.43527204502814254,333
BPI20PrepaidTravelCosts,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(519.0, 529.0]",406,0.6477832512315271,0.35221674876847286,326
BPI20PrepaidTravelCosts,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(529.0, 588.0]",446,0.9013452914798207,0.09865470852017932,354
BPI20PrepaidTravelCosts,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(430.0, 519.0]",615,0.9658536585365853,0.034146341463414664,410
BPI20PrepaidTravelCosts,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(5.999, 430.0]",533,0.425891181988743,0.574108818011257,333
BPI20PrepaidTravelCosts,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(519.0, 529.0]",406,0.6551724137931034,0.3448275862068966,326
BPI20PrepaidTravelCosts,saprpt,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(529.0, 588.0]",446,0.8946188340807175,0.10538116591928248,354
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(430.0, 519.0]",615,0.9707317073170731,0.029268292682926855,410
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(5.999, 430.0]",533,0.42401500938086306,0.575984990619137,333
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(519.0, 529.0]",406,0.14285714285714285,0.8571428571428572,326
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,true_next_activity_frequency_bucket,"next_freq_(529.0, 588.0]",446,0.8946188340807175,0.10538116591928248,354
BPI20PrepaidTravelCosts,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(430.0, 519.0]",615,0.967479674796748,0.03252032520325199,410
BPI20PrepaidTravelCosts,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(5.999, 430.0]",533,0.49906191369606,0.50093808630394,333
BPI20PrepaidTravelCosts,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(519.0, 529.0]",406,0.7216748768472906,0.2783251231527094,326
BPI20PrepaidTravelCosts,transformer,sequence,true_next_activity_frequency_bucket,"next_freq_(529.0, 588.0]",446,0.9080717488789237,0.09192825112107628,354
BPI20RequestForPayment,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(0.999, 1190.0]",615,0.6032520325203252,0.3967479674796748,517
BPI20RequestForPayment,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(1190.0, 1196.0]",653,1.0,0.0,560
BPI20RequestForPayment,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(1196.0, 1219.0]",358,1.0,0.0,356
BPI20RequestForPayment,gemma-2-2b,llm,true_next_activity_frequency_bucket,"next_freq_(1219.0, 1288.0]",374,0.9759358288770054,0.024064171122994638,374
BPI20RequestForPayment,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(0.999, 1190.0]",615,0.5186991869918699,0.4813008130081301,517
BPI20RequestForPayment,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(1190.0, 1196.0]",653,1.0,0.0,560
BPI20RequestForPayment,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(1196.0, 1219.0]",358,1.0,0.0,356
BPI20RequestForPayment,llama32-1b,llm,true_next_activity_frequency_bucket,"next_freq_(1219.0, 1288.0]",374,1.0,0.0,374
BPI20RequestForPayment,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(0.999, 1190.0]",615,0.6650406504065041,0.33495934959349594,517
BPI20RequestForPayment,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(1190.0, 1196.0]",653,1.0,0.0,560
BPI20RequestForPayment,rnn,sequence,true_next_activity_frequency_bucket,"next_freq_(1196.0, 1219.0]",358,0.994413407821229,0.005586592178770999,356
