dataset,model,y_true_na,y_pred_na,n,n_errors_total,share_of_model_errors,y_true_na_label,y_pred_na_label
BPI12,gemma-2-2b,23,25,119,878,0.1355353075170842,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,gemma-2-2b,24,2,85,878,0.0968109339407744,W_Nabellen offertes,<EOS>
BPI12,gemma-2-2b,22,2,49,878,0.0558086560364464,W_Completeren aanvraag,<EOS>
BPI12,gemma-2-2b,22,20,40,878,0.0455580865603644,W_Completeren aanvraag,W_Afhandelen leads
BPI12,gemma-2-2b,10,20,37,878,0.0421412300683371,A_PREACCEPTED,W_Afhandelen leads
BPI12,gemma-2-2b,25,2,33,878,0.0375854214123006,W_Valideren aanvraag,<EOS>
BPI12,gemma-2-2b,8,22,31,878,0.0353075170842824,A_FINALIZED,W_Completeren aanvraag
BPI12,gemma-2-2b,17,22,28,878,0.0318906605922551,O_SELECTED,W_Completeren aanvraag
BPI12,gemma-2-2b,23,2,28,878,0.0318906605922551,W_Nabellen incomplete dossiers,<EOS>
BPI12,gemma-2-2b,7,20,26,878,0.0296127562642369,A_DECLINED,W_Afhandelen leads
BPI12,gemma-2-2b,3,22,25,878,0.0284738041002277,A_ACCEPTED,W_Completeren aanvraag
BPI12,gemma-2-2b,15,22,23,878,0.0261958997722095,O_CREATED,W_Completeren aanvraag
BPI12,gemma-2-2b,24,22,19,878,0.0216400911161731,W_Nabellen offertes,W_Completeren aanvraag
BPI12,gemma-2-2b,19,24,18,878,0.020501138952164,O_SENT_BACK,W_Nabellen offertes
BPI12,gemma-2-2b,10,7,16,878,0.0182232346241457,A_PREACCEPTED,A_DECLINED
BPI12,gemma-2-2b,20,7,15,878,0.0170842824601366,W_Afhandelen leads,A_DECLINED
BPI12,gemma-2-2b,13,25,14,878,0.0159453302961275,O_ACCEPTED,W_Valideren aanvraag
BPI12,gemma-2-2b,24,25,14,878,0.0159453302961275,W_Nabellen offertes,W_Valideren aanvraag
BPI12,gemma-2-2b,5,25,12,878,0.0136674259681093,A_APPROVED,W_Valideren aanvraag
BPI12,gemma-2-2b,23,22,12,878,0.0136674259681093,W_Nabellen incomplete dossiers,W_Completeren aanvraag
BPI12,gemma-2-2b,25,24,12,878,0.0136674259681093,W_Valideren aanvraag,W_Nabellen offertes
BPI12,gemma-2-2b,6,24,11,878,0.0125284738041002,A_CANCELLED,W_Nabellen offertes
BPI12,gemma-2-2b,14,24,11,878,0.0125284738041002,O_CANCELLED,W_Nabellen offertes
BPI12,gemma-2-2b,17,24,9,878,0.010250569476082,O_SELECTED,W_Nabellen offertes
BPI12,gemma-2-2b,6,22,8,878,0.0091116173120728,A_CANCELLED,W_Completeren aanvraag
BPI12,gemma-2-2b,11,25,8,878,0.0091116173120728,A_REGISTERED,W_Valideren aanvraag
BPI12,gemma-2-2b,7,25,7,878,0.0079726651480637,A_DECLINED,W_Valideren aanvraag
BPI12,gemma-2-2b,11,4,7,878,0.0079726651480637,A_REGISTERED,A_ACTIVATED
BPI12,gemma-2-2b,22,24,7,878,0.0079726651480637,W_Completeren aanvraag,W_Nabellen offertes
BPI12,gemma-2-2b,2,14,6,878,0.0068337129840546,<EOS>,O_CANCELLED
