dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.1317547420043706,0.02982952745180405,0.1105431616306305,0.2588833734393117,0.007632007294199178,510
BPI12,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.2222986029651206,0.20108844506810863,0.12313206493854523,0.4181042999029161,-0.17905651694359453,228
BPI12,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.5487004457502221,2.8243058405758057,0.19830676540732384,0.7134004965424546,-0.24788259136865076,549
BPI12,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.8739963602088694,2.7620985521713246,0.277343038469553,2.8135980039834987,-0.5000205656929341,311
BPI12,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.11346845484867289,0.02388097147688223,0.0878656804561615,0.26298654973506924,-0.09721842680025745,510
BPI12,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.17398869910755674,0.1762881728994778,0.07684856653213501,0.3693187236785889,-0.14416274584986427,228
BPI12,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.5105969708892044,2.8995495298813703,0.14493269845843315,0.6127289786934853,-0.38720790944737044,549
BPI12,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.8383644785320797,3.0017489671531847,0.17648324370384216,3.036658061295748,-0.7877540486405132,311
BPI12,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.14617095988895115,0.03531300192160075,0.11426062136888504,0.3152825847268105,-0.05049034373636509,510
BPI12,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.18835836178385415,0.1737107653360824,0.09561993554234505,0.36488955765962616,-0.0851599165915257,228
BPI12,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.5544512686255536,2.7793085273416733,0.22367708594538271,0.6708630993962288,-0.283277283867811,549
BPI12,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.7883376024627163,2.2247676939953065,0.3253810852766037,2.61435016989708,-0.44647068568420684,311
BPI12,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.00511526399468248,0.00010364598015590482,0.003990590572357178,0.008713853359222413,-0.000870261064453705,510
BPI12,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.1465346198137458,0.15460514761705255,0.045801594853401184,0.26488406956195854,-0.03552288083253322,228
BPI12,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.48312005851573,2.8879624850577015,0.13441471755504608,0.48156798928976063,-0.27209747047737187,549
BPI12,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.8585273883559487,2.7704830973958816,0.21399030089378357,2.970897722244263,-0.49649957503591263,311
BPI12,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.0026642054294210835,6.862279904972642e-05,0.002074800431728363,0.003001570701599121,-0.0011500063402628577,510
BPI12,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.12648704724089876,0.15728338957481253,0.03372485935688019,0.2267313033342363,-0.0689730286687702,228
BPI12,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.4574965704890454,2.9087265296428853,0.09627418965101242,0.4495610624551774,-0.31168720220870244,549
BPI12,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.8757888894624911,2.7001427573030914,0.30402789264917374,2.899961173534395,-0.46149857073248207,311
BPI12,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,0.08500696309665973,0.01121660915628452,0.06291595846414566,0.17514403164386746,-0.07871505206551503,510
BPI12,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.21162612537095496,0.195438523156036,0.1309538036584854,0.3225339621305471,-0.20955674679161193,228
BPI12,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,0.46402065258412417,2.8533745404548854,0.08324526250362396,0.7158101588487626,-0.3786215164695286,549
BPI12,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.7579480249337949,2.718028565535382,0.12545613944530487,3.006882233917715,-0.6941240180477306,311
BPI17,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.1816590912525822,0.0439432395788291,0.17262794077396393,0.3071829169988632,-0.17424458496516346,467
BPI17,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.2390626527198408,0.2689287550774227,0.13762004673480988,0.31180317103862765,-0.1946018706069433,349
BPI17,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.4049722932050741,1.668798601773771,0.14883427321910858,0.5561474889516829,-0.2776300662003688,1060
BPI17,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.13924692661057708,0.02833130352921941,0.12763173878192902,0.2223677961155772,0.10242445200514086,467
BPI17,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.2924733349653192,0.2556646686167525,0.2468499168753624,0.3812929242849351,0.0813739144579397,349
BPI17,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.40171351210065737,1.3037463246979761,0.1495864000171423,0.7437777474522579,0.0155500198042309,1060
BPI17,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.09952560994785531,0.016639221155013147,0.08047191798686981,0.20336593119427557,-0.059624552889584216,467
BPI17,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.2134354484919202,0.2281207865600216,0.11208409967366606,0.3267089501023293,-0.025838604643966583,349
BPI17,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.3654855196665403,1.3838938704600063,0.12176661938428879,0.5582975804805755,-0.16103487963881913,1060
BPI17,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.031519162550507636,0.008758439722431717,0.003557175397872925,0.06328956931829448,0.015208221983415949,467
BPI17,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.253363653404905,0.2581291853692537,0.16787555813789368,0.2961774289608002,0.04064875812726429,349
BPI17,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.45698814481036015,2.000871211967524,0.08990894258022308,0.8448670536279673,-0.1492036619411866,1060
BPI17,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.018086439874670745,0.0034677447903772624,0.0027188509702682495,0.061082020401954595,0.006401608467620087,467
BPI17,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.20179922865080255,0.25458566579805014,0.09480716288089752,0.2418653599917889,-0.022871652671287334,349
BPI17,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.4171417030758948,2.0542126061437176,0.08542650938034058,0.7813450574874875,-0.21627568783082768,1060
BPI17,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.06567530276478556,0.007617167792012203,0.05525706708431244,0.12770019471645355,-0.04091685747914397,467
BPI17,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.17915176072019376,0.23435338576359152,0.06355281174182892,0.269507982581854,-0.08372627981404772,349
BPI17,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.33657423614683313,1.648639261883731,0.07309574633836746,0.5140323504805565,-0.1963963414451516,1060
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.2699366166569781,0.1771062251661952,0.1931689977645874,0.5514953076839448,0.11582778062807213,436
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.3282337304403046,0.5028759989218029,0.2089773416519165,0.5211979433894158,0.09032949652512093,378
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.26117388982898915,0.11422527720758059,0.213178850710392,0.4689836576581001,-0.0036341359020408354,329
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.9287267927299253,2.9115158619337205,0.35998641699552536,2.046624314785004,-0.27223915338004007,304
BPI20PrepaidTravelCosts,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.5000493033150957,0.38128636984534486,0.43587420135736465,0.8930482566356662,0.3649762174111499,436
BPI20PrepaidTravelCosts,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.3920269534469712,0.5803374640739518,0.19392183423042297,1.0325617387890824,0.10072454420055138,378
BPI20PrepaidTravelCosts,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.4837158554388831,0.4238032289145346,0.32124606519937515,1.136531774699688,0.15375471881608152,329
BPI20PrepaidTravelCosts,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,1.352424112089444,3.5595769430504034,1.0856953412294388,2.0728043079376235,0.19188732954657947,304
BPI20PrepaidTravelCosts,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.30055442290769446,0.20178204016244566,0.22086621820926666,0.5725408196449281,0.1503065442356085,436
BPI20PrepaidTravelCosts,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.35225133871938724,0.5167786889815804,0.22773362696170807,0.547117190063,0.08170005987805315,378
BPI20PrepaidTravelCosts,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.29295375863606293,0.14536133560320694,0.23502400517463684,0.6068264722824096,0.07690798528999902,329
BPI20PrepaidTravelCosts,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,1.0462928807870484,3.419130236178698,0.615531325340271,2.4192852854728732,-0.28654854086677856,304
BPI20PrepaidTravelCosts,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.18232259650567934,0.1416738342184698,0.06709066033363342,0.3563684284687043,0.018794147934166602,436
BPI20PrepaidTravelCosts,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.19593856744050162,0.46922372870680357,0.041142819449305534,0.2466667771339417,-0.05128281293575719,378
BPI20PrepaidTravelCosts,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.22754312282056918,0.09302617869937777,0.17510182410478592,0.4810075581073761,-0.032205437110858534,329
BPI20PrepaidTravelCosts,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.9322003458320784,3.094270547384088,0.2742280066013336,2.0489465355873113,-0.30539637405875447,304
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.14285284129899978,0.14287322557809828,0.008494019508361816,0.3169266618788243,-0.037118908742083366,436
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.18332994191388416,0.47197764898316463,0.016270875930786133,0.2884483635425578,-0.05250406340551932,378
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.2142991871010764,0.09385370645534331,0.1626529097557068,0.43643074333667753,-0.06718957926947754,329
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,NT,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,0.9219688604851254,3.3055820232301074,0.2531493306159973,2.305195188522343,-0.46310187678737563,304
BPI20PrepaidTravelCosts,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(0.999, 4.0]",679,0.4760635939160285,0.3188521900446088,0.4587828665971756,0.7879694581031801,0.37386468952485336,436
BPI20PrepaidTravelCosts,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",517,0.41443478816434637,0.5304609317141928,0.29757510125637054,0.6483638226985932,0.20845268103204778,378
BPI20PrepaidTravelCosts,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(5.0, 8.0]",429,0.46881255478758826,0.27275116830172635,0.482621468603611,0.7551247954368591,0.40088405073207906,329
BPI20PrepaidTravelCosts,transformer,sequence,NT,branching_degree_bucket,"branch_deg_(8.0, 10.0]",375,1.0012630701023153,3.243777982665136,0.4777431860566139,2.331990492343905,-0.2694370652081755,304
BPI20RequestForPayment,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.46496306520323616,0.7877121930649521,0.20211836695671082,0.9964430212974549,-0.024971552077060498,804
BPI20RequestForPayment,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.20309626314716012,0.32988705037573146,0.11985111236572266,0.23768773376941685,0.023012913142641384,398
BPI20RequestForPayment,gemma-2-2b,llm,NT,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.8667843813848084,1.3317901555842229,0.707804948091507,1.5426167130470276,-0.056095826524450804,438
BPI20RequestForPayment,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.42563561897580565,0.8056573047894859,0.13833856582641602,0.9359406173229222,-0.0835372920576002,804
BPI20RequestForPayment,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.20919089526960663,0.3740445941311853,0.11882337927818298,0.1619995415210724,-0.20378326051229356,398
BPI20RequestForPayment,llama32-1b,llm,NT,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.8451305040131524,1.3472459800776404,0.6944090276956558,1.6032584846019744,-0.17593743253811034,438
BPI20RequestForPayment,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.4780803454373503,0.7766555961634902,0.2599007338285446,1.0062070369720462,-0.07054746509753566,804
BPI20RequestForPayment,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.1693959172230725,0.3583253186087778,0.060662657022476196,0.20151411592960358,-0.11046332562817078,398
BPI20RequestForPayment,rnn,sequence,NT,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.8427457916148221,1.4363284620290346,0.5961152650415897,1.8256017088890075,-0.3265829288280571,438
BPI20RequestForPayment,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(0.999, 2.0]",1123,0.4212802081013916,0.7461435637436896,0.1063939779996872,1.110617291927338,0.034801369556578296,804
BPI20RequestForPayment,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(2.0, 3.0]",408,0.1346679115485327,0.3344289708244005,0.038547784090042114,0.10112735629081726,-0.05018121840468809,398
BPI20RequestForPayment,saprpt,tabular_fm,NT,branching_degree_bucket,"branch_deg_(3.0, 6.0]",469,0.7942678733110261,1.34722114812701,0.5546651482582092,1.7136948347091667,-0.2107407342248372,438
