dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.17221610457811148,0.12568852135662828,0.10207945108413696,0.34330016672611235,-0.06839347619512669,420
BPI12,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.6684594550412166,3.6991105715250483,0.22018470149487257,0.9073597371578215,-0.31951027695255757,415
BPI12,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.7419990917155865,2.262411767684199,0.21193492785096169,2.3928506076335907,-0.3858857595003625,389
BPI12,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.1601072837336194,0.0548276294511613,0.11015188694000244,0.36638526618480727,-0.0699688072042082,400
BPI12,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.14663009574780098,0.11128075588295565,0.07147210836410522,0.321466037631035,-0.12069393635690771,420
BPI12,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.6195425046812245,3.8003473309203595,0.16468053311109543,0.8236052721738814,-0.49268518200673816,415
BPI12,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.6997873178938296,2.4552545227347222,0.13786105811595917,2.7036858201026917,-0.6520139034807825,389
BPI12,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.143643762726905,0.04678919526700043,0.10461542755365372,0.29540214836597445,-0.09835342646150266,400
BPI12,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.18341052992265902,0.1219246229044127,0.1113056093454361,0.3590556621551514,-0.09532555325330702,420
BPI12,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.6735944701843,3.6423578181743723,0.25472565181553364,0.8937865555286405,-0.3650697692994336,415
BPI12,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.6703194770497327,1.8244101659257523,0.270156130194664,1.991291493177414,-0.37069070412265237,389
BPI12,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.14596632735653764,0.04265025247033615,0.11484432965517044,0.265233712270856,-0.018857362151335356,400
BPI12,saprpt,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.07596802061483068,0.08648610073840338,0.0051446110010147095,0.1291929364204407,-0.01936970999216273,420
BPI12,saprpt,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.6194246430887542,3.7971415735713605,0.16074538975954056,0.779067170619964,-0.35398542901762325,415
BPI12,saprpt,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.7026218470114811,2.2646243609603323,0.1853877454996109,2.379312753677368,-0.4066967766755705,389
BPI12,saprpt,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.04174955861674527,0.017876333700594563,0.020546268671751022,0.049574266374111275,-0.008214624661762836,400
BPI12,tabpfn3,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.0648166318939506,0.08789930234969338,0.0023363828659057617,0.0902026265859604,-0.035826341547840757,420
BPI12,tabpfn3,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.5869579075792101,3.8256515128937942,0.11381584033370018,0.7709277555346468,-0.4101516122548514,415
BPI12,tabpfn3,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.7162942712703392,2.207124066039404,0.2770276665687561,2.343249127268791,-0.3776493185929432,389
BPI12,tabpfn3,tabular_fm,NT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.03614606416657946,0.016832848363212756,0.009103789925575256,0.054517967998981516,-0.009538617865103533,400
BPI12,transformer,sequence,NT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.12583082850050972,0.10794340350957628,0.0592360645532608,0.1903464823961258,-0.12021706738346737,420
BPI12,transformer,sequence,NT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,0.5899102165810728,3.7516362443087927,0.10062134265899658,0.9840054452419277,-0.47887398065236675,415
BPI12,transformer,sequence,NT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.6314598399702848,2.2226344216109495,0.1036016196012497,2.405401047319174,-0.5792894734073659,389
BPI12,transformer,sequence,NT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.12538451711662998,0.03546324747734005,0.11521507799625397,0.20249493122100834,-0.12079935606916324,400
BPI17,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(-0.001, 0.986]",485,0.1792079194189654,0.061620313847104924,0.15115995705127716,0.3032780081033707,-0.17062332816421985,466
BPI17,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(0.986, 1.683]",579,0.24446251152914872,0.45264293496807967,0.14750929176807404,0.3096077233552933,-0.1956880340720197,548
BPI17,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(1.683, 1.993]",614,0.559554225444363,2.782841463093463,0.17600691318511963,0.7167249381542214,-0.3923429696925336,591
BPI17,gemma-2-2b,llm,NT,branching_entropy_bucket,"branch_ent_(1.993, 2.362]",322,0.2127121169031858,0.10639567447729972,0.15062710642814636,0.41037391535937856,-0.1168047447135001,314
BPI17,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(-0.001, 0.986]",485,0.16526929008217586,0.058717690622917824,0.14420169591903687,0.25827132165431976,0.11499867665715822,466
BPI17,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(0.986, 1.683]",579,0.2631591574175505,0.43477610775014,0.16035808622837067,0.3431063115596773,0.05756586309343847,548
BPI17,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(1.683, 1.993]",614,0.5648295527046504,2.1088346036299432,0.17279038578271866,1.1172819364815987,0.04196764660031453,591
BPI17,llama32-1b,llm,NT,branching_entropy_bucket,"branch_ent_(1.993, 2.362]",322,0.17421297019026502,0.08796015502706461,0.12513716518878937,0.32171024382114416,-0.0540292459888592,314
BPI17,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(-0.001, 0.986]",485,0.13007763288531107,0.03972072894213138,0.10690625011920929,0.22470127008855342,-0.07275954491852485,466
BPI17,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(0.986, 1.683]",579,0.20391340935699295,0.39815322846353285,0.10212200880050659,0.2872268438339237,-0.07022884882872342,548
BPI17,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(1.683, 1.993]",614,0.4917731181064663,2.275459588761668,0.11838210746645927,0.7877015769481687,-0.2849088505021196,591
BPI17,rnn,sequence,NT,branching_entropy_bucket,"branch_ent_(1.993, 2.362]",322,0.19447284832239578,0.10163704235153175,0.10668907687067986,0.509078937768937,0.08534489220958377,314
