dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,NT,case_length_bucket,1-3,62,0.11318443593899569,0.015219216177273762,0.11702989786863327,0.1736411049962044,0.1109925102172119,60
BPI12,gemma-2-2b,llm,NT,case_length_bucket,11-20,152,0.39471542930359166,1.6647162018896793,0.163087897002697,0.4532782286405566,-0.1360382621565613,120
BPI12,gemma-2-2b,llm,NT,case_length_bucket,21-50,1232,0.49523723471864217,1.968115148360524,0.17356398701667786,0.7771554146893328,-0.2621534898950943,729
BPI12,gemma-2-2b,llm,NT,case_length_bucket,51-100,434,0.3925166207978347,0.9131871097869846,0.16815948486328125,0.6751271724700927,-0.19525845430540306,174
BPI12,gemma-2-2b,llm,NT,case_length_bucket,6-10,109,0.11603708707283192,0.01956694285417738,0.09758201241493225,0.2115539349615574,0.08689348404979282,100
BPI12,llama32-1b,llm,NT,case_length_bucket,1-3,62,0.07140301510451301,0.008919541374056893,0.04761773347854614,0.14584907442331313,-0.013565596974184435,60
BPI12,llama32-1b,llm,NT,case_length_bucket,11-20,152,0.35916458507448334,1.7279766237207705,0.10643209517002106,0.3743824392557145,-0.2923761162398334,120
BPI12,llama32-1b,llm,NT,case_length_bucket,21-50,1232,0.46822558493484207,2.0534679912609164,0.11937753856182098,0.7025892660021814,-0.4103950236713462,729
BPI12,llama32-1b,llm,NT,case_length_bucket,51-100,434,0.3364099756984066,0.9545160597468721,0.09244481474161148,0.4571917444467545,-0.2777220041358045,174
BPI12,llama32-1b,llm,NT,case_length_bucket,6-10,109,0.11985161735830026,0.02422982976438477,0.10731659829616547,0.24211024958640343,0.0056258125525446385,100
BPI12,rnn,sequence,NT,case_length_bucket,1-3,62,0.10485515160666357,0.014601448197009495,0.10712174326181412,0.18059119917452335,0.03584162428254081,60
BPI12,rnn,sequence,NT,case_length_bucket,11-20,152,0.37346206476764854,1.5665491351091527,0.14279155433177948,0.409944295883179,-0.18487822875306992,120
BPI12,rnn,sequence,NT,case_length_bucket,21-50,1232,0.4832238968540748,1.834749702924191,0.19785963743925095,0.6755403816699986,-0.2709916225805453,729
BPI12,rnn,sequence,NT,case_length_bucket,51-100,434,0.35945145836666503,0.7694813532910604,0.13718197494745255,0.5935164853930471,-0.16370359164220602,174
BPI12,rnn,sequence,NT,case_length_bucket,6-10,109,0.13781507374342838,0.02848860366528891,0.11627024412155151,0.27576943039894103,0.08699510267448671,100
BPI12,saprpt,tabular_fm,NT,case_length_bucket,1-3,62,0.0034537233652607085,1.596873153913454e-05,0.0036320760846138,0.0060677751898765555,-0.0034537233652607085,60
BPI12,saprpt,tabular_fm,NT,case_length_bucket,11-20,152,0.31615833091353507,1.7276054869306379,0.07142082415521145,0.3063593924045564,-0.18561901099440692,120
BPI12,saprpt,tabular_fm,NT,case_length_bucket,21-50,1232,0.42734785526956875,1.987998464785581,0.09998537600040436,0.7095008864998822,-0.24436459386348572,729
BPI12,saprpt,tabular_fm,NT,case_length_bucket,51-100,434,0.30133863941933703,0.8690291389836883,0.0758727565407753,0.46326549053192134,-0.1383874490685452,174
BPI12,saprpt,tabular_fm,NT,case_length_bucket,6-10,109,0.03789226997882948,0.005209755316507985,0.01696525514125824,0.12475387454032899,0.019756082001082396,100
BPI12,tabpfn3,tabular_fm,NT,case_length_bucket,1-3,62,0.00219916311963912,5.196733085937259e-06,0.002008385956287384,0.003000599145889282,-0.00219916311963912,60
BPI12,tabpfn3,tabular_fm,NT,case_length_bucket,11-20,152,0.3154882360065944,1.7511271219137132,0.05712498724460602,0.3312853686511517,-0.1915229840976137,120
BPI12,tabpfn3,tabular_fm,NT,case_length_bucket,21-50,1232,0.4184109237966923,1.9861160240709177,0.07703304290771484,0.5024681266397238,-0.25742511347812363,729
BPI12,tabpfn3,tabular_fm,NT,case_length_bucket,51-100,434,0.2838161967733386,0.8421103111412456,0.04351196438074112,0.37572949230670927,-0.15892381485646015,174
BPI12,tabpfn3,tabular_fm,NT,case_length_bucket,6-10,109,0.040452529684802806,0.0070100482835908405,0.011773750185966492,0.12052661329507834,0.030528127070550526,100
BPI12,transformer,sequence,NT,case_length_bucket,1-3,62,0.04474560676082488,0.0024336800734653923,0.04407975822687149,0.07429820895195006,-0.04474560676082488,60
BPI12,transformer,sequence,NT,case_length_bucket,11-20,152,0.2911390262092219,1.625215928681613,0.05982861667871475,0.19311792328953747,-0.2796773453561687,120
BPI12,transformer,sequence,NT,case_length_bucket,21-50,1232,0.4271653242544921,1.958021304075414,0.10668324679136276,0.6984593555331232,-0.37836006063081223,729
BPI12,transformer,sequence,NT,case_length_bucket,51-100,434,0.3410550533978414,0.9322995113310752,0.11466097086668015,0.45223246067762346,-0.282120125222316,174
BPI12,transformer,sequence,NT,case_length_bucket,6-10,109,0.048730734701550336,0.004964517199370678,0.04038912057876587,0.07693912386894226,-0.04601107127622727,100
BPI17,gemma-2-2b,llm,NT,case_length_bucket,11-20,74,0.7013504639664363,4.979855502568498,0.14655475318431854,0.4636721804738046,-0.6332899696929883,68
BPI17,gemma-2-2b,llm,NT,case_length_bucket,21-50,1250,0.33658205116521567,1.2040049230692715,0.15406954288482666,0.42614804953336727,-0.2534940879793838,1108
