dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.1829206381934017,5.98776844179517,0.30352501291781664,4.030816146731376,-1.0777062438161276,413
BPI12,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,0.2016538859867197,0.07468414169719668,0.16943898051977158,0.38570141345262526,0.12676749415855074,420
BPI12,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,0.2104543296149748,0.10888796972070686,0.15860700607299805,0.41996221244335175,0.12496244230379279,413
BPI12,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,0.1457491528868613,0.038162049912481906,0.11002092063426971,0.32477668225765227,-0.0038810946626353275,472
BPI12,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.2337937737886937,6.391606064714394,0.31880753114819527,4.082911906205117,-1.2035411221468877,413
BPI12,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,0.11637061215208697,0.019637688411928065,0.10456282645463943,0.21722394041717058,-0.01487741889132581,420
BPI12,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,0.12008360299579954,0.027327064938057397,0.082259401679039,0.2743268311023712,-0.031065133109344112,413
BPI12,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,0.13137519517246993,0.031938502453019706,0.09547053277492523,0.2968225162476301,-0.09914127211250905,472
BPI12,rnn,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.0980339329181736,5.522496164866311,0.28123582899570465,3.7239082813262936,-0.9557468056355539,413
BPI12,rnn,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,0.20376385929814347,0.0625420647519851,0.18016726151108742,0.3924301415681839,0.09112288195950692,420
BPI12,rnn,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,0.21811717619205556,0.09628378528459662,0.15389299392700195,0.4750028997659683,0.06915883717500836,413
BPI12,rnn,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,0.1566736441855163,0.038710159568427244,0.12794779986143112,0.3156273826956749,-0.04808559358296535,472
BPI12,saprpt,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.14600541119516,6.150466967616329,0.17108145356178284,4.281306457519531,-1.06422035694113,413
BPI12,saprpt,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,0.15574484711118752,0.04497801408172902,0.1394949033856392,0.29817609637975695,0.15437774347813793,420
BPI12,saprpt,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,0.12627815050915225,0.03987795758993373,0.10044993460178375,0.3044034093618393,0.12384335603758599,413
BPI12,saprpt,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,0.01495286744766519,0.001730971255129061,0.0039832815527915955,0.02824576199054718,0.01082402717003592,472
BPI12,tabpfn3,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.141634780766614,6.148082982447671,0.20443682372570038,4.196915915608406,-1.0832067993203578,413
BPI12,tabpfn3,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,0.13704061647780486,0.03259628368590822,0.10610803961753845,0.30830188468098646,0.13648944855590361,420
BPI12,tabpfn3,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,0.11191678685165182,0.029353676621931134,0.05176284909248352,0.3070482611656189,0.11045947144090695,413
BPI12,tabpfn3,tabular_fm,NT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,0.012987816367007543,0.002357481426740267,0.002197369933128357,0.015099222958087927,0.00968648947526088,472
BPI12,transformer,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.1631083111656655,6.101889619161076,0.22789697349071503,3.7824005186557765,-1.1255943178435328,413
BPI12,transformer,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,0.08926462906092035,0.01640051258643538,0.07170016318559647,0.1670281112194062,-0.05662256378788671,420
BPI12,transformer,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,0.13243762784000493,0.05887553712422074,0.08230540156364441,0.21355871856212616,-0.02794893413565263,413
BPI12,transformer,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,0.08487130913426441,0.011010392363725223,0.06736288964748383,0.16690994203090667,-0.07892420659444147,472
BPI17,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21143532, 14.45758057]",490,0.8077163041179658,4.027197959105177,0.24377275444567204,1.4722104460000995,-0.6795210759545087,471
BPI17,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21246435, -0.21143532]",495,0.16111315859603986,0.03894536136303226,0.13702407479286194,0.2983774244785309,-0.1117339853333742,478
BPI17,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21246937, -0.21246435]",404,0.1733232287339645,0.044302808541624,0.16159355640411377,0.29289543032646176,-0.11459039358219297,396
BPI17,gemma-2-2b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21246941, -0.21246937]",611,0.15542494963645728,0.0399130746258385,0.1335839033126831,0.2909028083086014,-0.06546191180257489,589
BPI17,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21143532, 14.45758057]",490,0.8173345547060159,3.1338010403899723,0.24387389095500112,2.204191682860256,-0.1746506517339612,471
BPI17,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21246435, -0.21143532]",495,0.17707238615387016,0.05010924276364203,0.15981659665703773,0.3109567865729333,0.15693438417005418,478
BPI17,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21246937, -0.21246435]",404,0.1665551354342122,0.05701197032160205,0.1360206939280033,0.2897771418094635,0.11833710203784066,396
BPI17,llama32-1b,llm,NT,nt_magnitude_bucket,"nt_mag_(-0.21246941, -0.21246937]",611,0.13092249088216446,0.032670445037527765,0.10450614988803864,0.280959889292717,0.09421247246510574,589
BPI17,rnn,sequence,NT,nt_magnitude_bucket,"nt_mag_(-0.21143532, 14.45758057]",490,0.7488407679227637,3.338767572967375,0.1944332318380475,1.7980938753113154,-0.40467126179339213,471
