dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,1,91,0.12399975067147842,0.021342293554969947,0.12480515241622925,0.18195954337716103,0.06757071462797594,91
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,11-20,536,0.5969491231768025,1.8933875268676157,0.19776836410164833,1.4786926954984665,-0.2865984816717309,461
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,2,86,0.1510810874142619,0.02544186038718285,0.16024131327867508,0.19486008025705814,0.12506657054777756,86
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,21-50,672,0.6274034886938309,3.030025135853489,0.18776150420308113,1.2024946567602455,-0.4213118957739512,498
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,3,89,0.11546890691885453,0.03862465394059811,0.07642507553100586,0.22757516726851465,-0.016068538221834083,89
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,4-5,118,0.15812110557799006,0.039001402568120985,0.12083159759640694,0.31210843473672867,0.10735629913564851,116
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,6-10,293,0.15823449669807113,0.042593087530804735,0.13226731400936842,0.32639817595481874,0.032530525044669995,269
BPI12,gemma-2-2b,llm,NT,prefix_length_bucket,>50,115,0.22575297688498444,0.18363666339782642,0.15830275416374207,0.4006431818008423,-0.17034995527533087,72
BPI12,llama32-1b,llm,NT,prefix_length_bucket,1,91,0.043504528619430875,0.002058950729562281,0.04242849349975586,0.06680803000926971,-0.020959016385969226,91
BPI12,llama32-1b,llm,NT,prefix_length_bucket,11-20,536,0.5777636283822705,2.0291704354729703,0.17233826220035553,1.37265495210886,-0.5040807350940043,461
BPI12,llama32-1b,llm,NT,prefix_length_bucket,2,86,0.07941281968771025,0.008738695977652394,0.09122618287801743,0.14085158705711365,-0.04433999782384828,86
BPI12,llama32-1b,llm,NT,prefix_length_bucket,21-50,672,0.5855133956346046,3.12826732581342,0.11800862476229668,1.2703684702515596,-0.5226895502616701,498
BPI12,llama32-1b,llm,NT,prefix_length_bucket,3,89,0.14515715778878566,0.04262051804949987,0.10754798352718353,0.2193380817770958,-0.041176178398427,89
BPI12,llama32-1b,llm,NT,prefix_length_bucket,4-5,118,0.22097942078391375,0.06820943188862569,0.1939004585146904,0.3518685683608055,-0.18715132712939028,116
BPI12,llama32-1b,llm,NT,prefix_length_bucket,6-10,293,0.11067467677461003,0.027033961248212036,0.07128305733203888,0.26131352297961713,-0.04019055832590615,269
BPI12,llama32-1b,llm,NT,prefix_length_bucket,>50,115,0.12901596481830854,0.16235866275108035,0.07507015764713287,0.20805969983339326,-0.09859771409233951,72
BPI12,rnn,sequence,NT,prefix_length_bucket,1,91,0.19542172662197396,0.05355415610206274,0.19022663310170174,0.34935976564884186,0.022461702990867607,91
BPI12,rnn,sequence,NT,prefix_length_bucket,11-20,536,0.5568393649204996,1.683014177161331,0.21089116483926773,1.0222929641604424,-0.3083417949435273,461
BPI12,rnn,sequence,NT,prefix_length_bucket,2,86,0.14198252025905045,0.032111929800421844,0.12019334733486176,0.3139317184686661,-0.0314431122482516,86
BPI12,rnn,sequence,NT,prefix_length_bucket,21-50,672,0.5919815431906543,2.822719201667507,0.19091674871742725,1.1588183425366876,-0.3770544667107797,498
BPI12,rnn,sequence,NT,prefix_length_bucket,3,89,0.19153890453195305,0.07147759731061973,0.1452350616455078,0.36335806846618657,-0.011667424729198551,89
BPI12,rnn,sequence,NT,prefix_length_bucket,4-5,118,0.17585608279465706,0.048929861625234654,0.13825740106403828,0.3561892569065094,-0.00552069372127535,116
BPI12,rnn,sequence,NT,prefix_length_bucket,6-10,293,0.18440014957418543,0.05301933569807679,0.1652693711221218,0.3587297052145005,0.0016749680507928133,269
BPI12,rnn,sequence,NT,prefix_length_bucket,>50,115,0.1499069603767408,0.16297022790721546,0.089662566781044,0.24343471042811896,-0.04426175784724562,72
BPI12,saprpt,tabular_fm,NT,prefix_length_bucket,1,91,0.0037364329283054057,1.680558919263249e-05,0.0039831846952438354,0.004968658089637756,-0.0037166789010330873,91
BPI12,saprpt,tabular_fm,NT,prefix_length_bucket,11-20,536,0.5357256783728501,1.965860669549136,0.14542069286108017,0.9973781406879425,-0.31135280333014564,461
BPI12,saprpt,tabular_fm,NT,prefix_length_bucket,2,86,0.004672621225201806,2.4203661652114654e-05,0.005048349499702454,0.006214149296283722,-0.004672621225201806,86
BPI12,saprpt,tabular_fm,NT,prefix_length_bucket,21-50,672,0.5504492113721513,3.0140483149058306,0.111212357878685,1.1462386965751645,-0.3695165249740794,498
