dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,NT,relative_prefix_bucket,0-20%,331,0.15755481155764373,0.05151164449920466,0.13734176754951477,0.29172611981630325,0.06584929926282222,299
BPI12,gemma-2-2b,llm,NT,relative_prefix_bucket,20-40%,404,0.32995730188532874,0.7693269676353647,0.1538473293185234,0.4600677281618117,-0.08770484857749318,366
BPI12,gemma-2-2b,llm,NT,relative_prefix_bucket,40-60%,385,0.5774868230615113,1.4966002442588735,0.20021552219986916,1.555017287284139,-0.3068686476725686,342
BPI12,gemma-2-2b,llm,NT,relative_prefix_bucket,60-80%,423,0.510640156286357,1.4585229777657862,0.18238547816872597,1.1900270942598588,-0.2648164176786138,377
BPI12,gemma-2-2b,llm,NT,relative_prefix_bucket,80-100%,457,0.5324497652669077,3.448130726813777,0.1584932506084442,0.5162610262632377,-0.382617424198893,402
BPI12,llama32-1b,llm,NT,relative_prefix_bucket,0-20%,331,0.12308643227358688,0.031862450550289835,0.09562216699123383,0.24598328769207,-0.08264064741830181,299
BPI12,llama32-1b,llm,NT,relative_prefix_bucket,20-40%,404,0.30902318196027717,0.8572151397749755,0.10179116576910019,0.4436915665864944,-0.2580919484717375,366
BPI12,llama32-1b,llm,NT,relative_prefix_bucket,40-60%,385,0.5585163103331896,1.636240182567715,0.14657019078731537,1.5239697183482375,-0.49416771416080657,342
BPI12,llama32-1b,llm,NT,relative_prefix_bucket,60-80%,423,0.4665342652768416,1.4926479301021567,0.12168201804161072,1.2224172122776515,-0.3973985072990426,377
BPI12,llama32-1b,llm,NT,relative_prefix_bucket,80-100%,457,0.48628894515698307,3.5251643158401387,0.09702172875404358,0.36925058066844985,-0.4070917489312801,402
BPI12,rnn,sequence,NT,relative_prefix_bucket,0-20%,331,0.20297765428630504,0.06426282439034511,0.17230872809886932,0.3829572945833206,-0.03280506667540707,299
BPI12,rnn,sequence,NT,relative_prefix_bucket,20-40%,404,0.3330282447012464,0.6801210305589594,0.17238869704306126,0.48423266112804403,-0.10910065708126375,366
BPI12,rnn,sequence,NT,relative_prefix_bucket,40-60%,385,0.5366602558642626,1.2661072863745653,0.19689920730888844,1.2914177328348189,-0.3042022027244622,342
BPI12,rnn,sequence,NT,relative_prefix_bucket,60-80%,423,0.4768061298915118,1.281086726107165,0.18947042524814606,1.0180186539888385,-0.24113077997626575,377
BPI12,rnn,sequence,NT,relative_prefix_bucket,80-100%,457,0.4930102607180289,3.3427101672470214,0.1389620155096054,0.4244581997394563,-0.3316187419362073,402
BPI12,saprpt,tabular_fm,NT,relative_prefix_bucket,0-20%,331,0.06971608625944377,0.019976641731065184,0.0052590519189834595,0.20418789982795715,0.04481596703109334,299
BPI12,saprpt,tabular_fm,NT,relative_prefix_bucket,20-40%,404,0.2649618010676355,0.7778816996282555,0.039690807461738586,0.46082236319780345,-0.08360249413082856,366
BPI12,saprpt,tabular_fm,NT,relative_prefix_bucket,40-60%,385,0.5122322116289046,1.5619536992827383,0.12832331657409668,1.406553268432619,-0.3229682294482535,342
BPI12,saprpt,tabular_fm,NT,relative_prefix_bucket,60-80%,423,0.46129384670785273,1.4512565538539912,0.1407320350408554,1.0759042382240298,-0.23888103060212965,377
BPI12,saprpt,tabular_fm,NT,relative_prefix_bucket,80-100%,457,0.42287277627565145,3.4458748538229074,0.02629263699054718,0.2709441810846329,-0.3214729498069187,402
BPI12,tabpfn3,tabular_fm,NT,relative_prefix_bucket,0-20%,331,0.05229099528734597,0.013484501834773021,0.002750307321548462,0.14291879534721375,0.03399101983519479,299
BPI12,tabpfn3,tabular_fm,NT,relative_prefix_bucket,20-40%,404,0.23950051033747208,0.7558058780405021,0.023719370365142822,0.3474319390952587,-0.11136181501955218,366
BPI12,tabpfn3,tabular_fm,NT,relative_prefix_bucket,40-60%,385,0.5109782403117263,1.569544578503814,0.10189460590481758,1.3965032726526294,-0.3331279847577408,342
BPI12,tabpfn3,tabular_fm,NT,relative_prefix_bucket,60-80%,423,0.45764332432431953,1.4327597651754,0.1625058576464653,1.132848978415132,-0.25457877368747694,377
BPI12,tabpfn3,tabular_fm,NT,relative_prefix_bucket,80-100%,457,0.4205087048146279,3.4548167882098366,0.012531593441963196,0.3411374866962434,-0.32102779092377204,402
BPI12,transformer,sequence,NT,relative_prefix_bucket,0-20%,331,0.07472241189600928,0.014949996611867031,0.05279552936553955,0.13929517939686775,-0.05368285413741435,299
BPI12,transformer,sequence,NT,relative_prefix_bucket,20-40%,404,0.26251034419649366,0.7515619070698798,0.07562465220689774,0.2853962831199168,-0.1947825977499228,366
BPI12,transformer,sequence,NT,relative_prefix_bucket,40-60%,385,0.5056552714631929,1.426132989389613,0.11216534674167633,1.4062976941466347,-0.4300204545646519,342
BPI12,transformer,sequence,NT,relative_prefix_bucket,60-80%,423,0.44964643804484156,1.4386834543002334,0.12424075603485107,1.2155376315116888,-0.3975305871853063,377
BPI12,transformer,sequence,NT,relative_prefix_bucket,80-100%,457,0.47508718071126377,3.5465797156623946,0.11460088193416595,0.24481271803379065,-0.469789481880775,402
BPI17,gemma-2-2b,llm,NT,relative_prefix_bucket,0-20%,339,0.2120888190217602,0.07190232915213529,0.19269129633903503,0.33515661507844924,-0.20071828164226185,326
BPI17,gemma-2-2b,llm,NT,relative_prefix_bucket,20-40%,407,0.23998425850251126,0.17475939219958284,0.15489859879016876,0.4424648821353913,-0.127666115453032,401
BPI17,gemma-2-2b,llm,NT,relative_prefix_bucket,40-60%,403,0.24498960451354682,0.23784802163192317,0.13017398118972778,0.4966609148308635,-0.10684511118866595,388
BPI17,gemma-2-2b,llm,NT,relative_prefix_bucket,60-80%,410,0.23101688252546165,0.22284767652559048,0.13983039557933807,0.4237965814769269,-0.13047961148876333,401
BPI17,gemma-2-2b,llm,NT,relative_prefix_bucket,80-100%,441,0.6292512377459015,3.973169874790204,0.15295147895812988,0.4762737632263452,-0.5850489117704594,429
BPI17,llama32-1b,llm,NT,relative_prefix_bucket,0-20%,339,0.14980361452752006,0.04460640491811131,0.12948676641099155,0.21699742544442413,0.10461779167548724,326
BPI17,llama32-1b,llm,NT,relative_prefix_bucket,20-40%,407,0.28385735367177656,0.3268524933219854,0.1730760671198368,0.5511603430379185,0.19698748847238573,401
BPI17,llama32-1b,llm,NT,relative_prefix_bucket,40-60%,403,0.30859104286886235,0.4023336764613003,0.15458053350448608,0.6419134855270386,0.18056305401690453,388
BPI17,llama32-1b,llm,NT,relative_prefix_bucket,60-80%,410,0.251589831019888,0.27617412948120096,0.1466672196984291,0.4479415759444237,0.10512537235428193,401
BPI17,llama32-1b,llm,NT,relative_prefix_bucket,80-100%,441,0.5478441957664167,2.675371115955696,0.15357349440455437,0.4813525825738907,-0.30392730591001405,429
BPI17,rnn,sequence,NT,relative_prefix_bucket,0-20%,339,0.11454616783868114,0.03398618080056593,0.08694295585155487,0.19708555340766906,-0.08807491080198096,326
BPI17,rnn,sequence,NT,relative_prefix_bucket,20-40%,407,0.21294559817074704,0.1704442176973341,0.12006616592407227,0.37105757892131846,-0.05847158496718881,401
BPI17,rnn,sequence,NT,relative_prefix_bucket,40-60%,403,0.24840176213768406,0.2345203028946681,0.13131151348352432,0.5663091778755189,-0.00926947535510191,388
BPI17,rnn,sequence,NT,relative_prefix_bucket,60-80%,410,0.19679493776709978,0.2150926471033515,0.10692156106233597,0.3403366923332217,0.01095783772066281,401
BPI17,rnn,sequence,NT,relative_prefix_bucket,80-100%,441,0.5429265842754014,3.2110267770545224,0.10401953756809235,0.45596809685230255,-0.38663411956457866,429
BPI17,saprpt,tabular_fm,NT,relative_prefix_bucket,0-20%,339,0.07046384611620313,0.0371539142919955,0.021020203828811646,0.20295208692550654,0.007683701802231921,326
BPI17,saprpt,tabular_fm,NT,relative_prefix_bucket,20-40%,407,0.2454405773101553,0.24407648004860621,0.060091495513916016,0.7022298455238347,0.027175664750708116,401
BPI17,saprpt,tabular_fm,NT,relative_prefix_bucket,40-60%,403,0.2903479785212401,0.36599360148969123,0.10162949562072754,0.7358774542808533,0.02752373871109252,388
BPI17,saprpt,tabular_fm,NT,relative_prefix_bucket,60-80%,410,0.2728773776583782,0.3457965357262849,0.12207479774951935,0.7280943557620049,0.03338493572195946,401
BPI17,saprpt,tabular_fm,NT,relative_prefix_bucket,80-100%,441,0.6334121268318624,4.521037680905067,0.10358266532421112,0.7201797515153885,-0.4252576983434543,429
BPI17,tabpfn3,tabular_fm,NT,relative_prefix_bucket,0-20%,339,0.050422025805993066,0.032937464835773596,0.006152980029582977,0.07963886260986318,-0.011668916242224629,326
BPI17,tabpfn3,tabular_fm,NT,relative_prefix_bucket,20-40%,407,0.2069799370711317,0.23125998062398487,0.04214082658290863,0.4470089137554169,-0.02764307525631324,401
BPI17,tabpfn3,tabular_fm,NT,relative_prefix_bucket,40-60%,403,0.2475520699439806,0.3586593127514676,0.07864128053188324,0.5814707517623903,-0.03632123077348355,388
BPI17,tabpfn3,tabular_fm,NT,relative_prefix_bucket,60-80%,410,0.22616457791896763,0.3326762977753873,0.09153565764427185,0.42470233142375985,-0.031534875011094275,401
BPI17,tabpfn3,tabular_fm,NT,relative_prefix_bucket,80-100%,441,0.6057850384573682,4.685081174422075,0.06999048590660095,0.6491142064332962,-0.4777398277031862,429
BPI17,transformer,sequence,NT,relative_prefix_bucket,0-20%,339,0.09236769543021126,0.022251445016847737,0.07684122025966644,0.14905011057853698,-0.06401585936985887,326
