dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.3955473449559283,0.7049934155241635,0.1584419086575508,0.8486993536353111,-0.19203467969770915,387
BPI12,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.14734694920201413,0.03401107021394638,0.1259492188692093,0.3071385622024536,-0.0036288985523382227,444
BPI12,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,0.5313171044716668,1.575791428662506,0.19377991883084178,0.9692564632743598,-0.2275358024678117,372
BPI12,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,0.6564492445664215,3.816659697311138,0.1766538806259632,0.8849361151456837,-0.40954143303350254,357
BPI12,llama32-1b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.3765707345540455,0.7681944153960394,0.10811533778905869,0.8216475453227758,-0.32621358789976745,387
BPI12,llama32-1b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.10985168830134688,0.02114079181430794,0.08522738516330719,0.22268815618008375,-0.04711460804115022,444
BPI12,llama32-1b,llm,NT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,0.49210620853736314,1.6788521118313142,0.1301295980811119,0.9395509641617541,-0.41864814406821543,372
BPI12,llama32-1b,llm,NT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,0.6184151537242558,3.927778797522835,0.11948122084140778,0.8276373386383058,-0.5564801568395983,357
BPI12,rnn,sequence,NT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.3657457533493383,0.5894194317579087,0.14011618494987488,0.6898780986666679,-0.1533853158142583,387
BPI12,rnn,sequence,NT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.14045342438651653,0.031618237959691806,0.11650711297988892,0.26894085109233856,0.03194129003951709,444
BPI12,rnn,sequence,NT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,0.5031812808500147,1.4036754438232681,0.21325156092643738,0.7212003394961365,-0.2603612056149322,372
BPI12,rnn,sequence,NT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,0.6569239924612799,3.619913616384642,0.23282541567459702,0.8739004097878934,-0.4638353888669095,357
BPI12,saprpt,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.3349606443511983,0.7058090322405915,0.1113930270075798,0.7008380889892578,-0.1951385470062134,387
BPI12,saprpt,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.04012071859916884,0.0053214020612741605,0.0077959150075912476,0.13841766119003296,0.034510804659978835,444
BPI12,saprpt,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,0.45602621460590054,1.613640947279747,0.12036209553480148,0.7995668157935156,-0.24757227310863306,372
BPI12,saprpt,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,0.5965230892835363,3.83517273522973,0.13224069774150848,0.7505218625068665,-0.3712177093215214,357
BPI12,tabpfn3,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.33261901686238426,0.6862839805474141,0.07425398007035255,0.5641343034803867,-0.1895135560283257,387
BPI12,tabpfn3,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.037060889010196794,0.006503580473464959,0.0037712007761001587,0.1164344772696495,0.03126788170759133,444
BPI12,tabpfn3,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,0.44107201719533046,1.5589565939326766,0.0905691534280777,0.5538301393389743,-0.2524215833697354,372
BPI12,tabpfn3,tabular_fm,NT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,0.5787074585621323,3.8819656554483353,0.09591306746006012,0.6331549391150477,-0.4178749525349507,357
BPI12,transformer,sequence,NT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.35904392210443714,0.7075458036056398,0.11932963877916336,0.773780882358551,-0.33157812813184256,387
BPI12,transformer,sequence,NT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.09288159735545427,0.012256893784863427,0.08521848917007446,0.17572420835494995,-0.08585377533486979,444
BPI12,transformer,sequence,NT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,0.44075385445339266,1.5832274604055836,0.088180311024189,0.8586374365724627,-0.36966664556518425,372
BPI12,transformer,sequence,NT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,0.5695731139634727,3.8092121120918585,0.08458572626113892,0.8058008581399918,-0.4995246617809722,357
BPI17,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.18, 1.017]",472,0.30522473567013503,0.40448407016193483,0.1745108813047409,0.49422438656911255,-0.22018828078703875,444
BPI17,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.81, -0.18]",504,0.23064381584325538,0.16425003243915964,0.13998451083898544,0.45308081507682796,-0.13091260389450732,471
BPI17,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(-1.0499999999999998, -0.81]",515,0.17582955557572683,0.05522321648489748,0.14666683971881866,0.3105661064386368,-0.09942701411053756,488
BPI17,gemma-2-2b,llm,NT,rt_magnitude_bucket,"rt_mag_(1.017, 3.119]",509,0.5690696495411321,3.4042273538859513,0.16087761521339417,0.4791202172636986,-0.4979404006189939,471
BPI17,llama32-1b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.18, 1.017]",472,0.299832215787689,0.3607477762194229,0.15965021587908268,0.6651909202337268,0.09772796035789633,444
BPI17,llama32-1b,llm,NT,rt_magnitude_bucket,"rt_mag_(-0.81, -0.18]",504,0.291725675457172,0.3860420889037863,0.15246159583330154,0.466371151804924,0.15193767432171468,471
BPI17,llama32-1b,llm,NT,rt_magnitude_bucket,"rt_mag_(-1.0499999999999998, -0.81]",515,0.18080266511239546,0.10460405055931637,0.13770893216133118,0.31911351829767226,0.0999999889873366,488
