dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI12,gemma-2-2b,llm,RT,activity_current,3,34,1.4845478600370423,2.921421683685494,1.251514732837677,2.745327123999596,-1.4632932434118735,34,A_ACCEPTED
BPI12,gemma-2-2b,llm,RT,activity_current,7,43,0.1355495092480681,0.0276896144762494,0.1050634980201721,0.2937959432601928,-0.0372409460156462,43,A_DECLINED
BPI12,gemma-2-2b,llm,RT,activity_current,8,40,1.6645104566123337,3.564541441153179,1.535425826907158,2.875317677855492,-1.6645104566123337,40,A_FINALIZED
BPI12,gemma-2-2b,llm,RT,activity_current,9,86,1.0145130959382758,2.2263154642077185,0.2640992105007171,3.1276192665100098,-0.8315717201614969,86,A_PARTLYSUBMITTED
BPI12,gemma-2-2b,llm,RT,activity_current,10,60,1.864176014531404,4.842537565332821,1.936561405658722,3.310676062107086,-1.8445309752908845,60,A_PREACCEPTED
BPI12,gemma-2-2b,llm,RT,activity_current,12,91,1.2987312404745883,3.227383882702714,0.9977790415287018,3.189196050167084,-1.2362575424978366,91,A_SUBMITTED
BPI12,gemma-2-2b,llm,RT,activity_current,14,37,0.7341443598270416,1.2478493485640725,0.2138794660568237,1.8586641669273376,-0.7026682520234907,37,O_CANCELLED
BPI12,gemma-2-2b,llm,RT,activity_current,15,61,1.446867334977037,2.852218012928917,1.2899011075496674,2.8071576952934265,-1.4399923437320796,60,O_CREATED
BPI12,gemma-2-2b,llm,RT,activity_current,17,48,1.4766188801731914,2.9634482514188742,1.3150581121444702,2.9526572108268745,-1.4631121845450252,48,O_SELECTED
BPI12,gemma-2-2b,llm,RT,activity_current,18,57,1.3465812879843275,2.394802659225321,1.212584167718887,2.4747323410585524,-1.3406185804898931,57,O_SENT
BPI12,gemma-2-2b,llm,RT,activity_current,20,117,0.9767729428409734,2.449273149546753,0.1911651492118835,3.221039867401123,-0.8874787904588808,110,W_Afhandelen leads
BPI12,gemma-2-2b,llm,RT,activity_current,22,469,1.7652118187497006,4.298607229334291,1.831014096736908,3.216479468345642,-1.7543628475070794,371,W_Completeren aanvraag
BPI12,gemma-2-2b,llm,RT,activity_current,23,162,0.4931783933407357,0.4269397198344951,0.3637741953134537,1.0719069501792549,-0.4867632101792238,118,W_Nabellen incomplete dossiers
BPI12,gemma-2-2b,llm,RT,activity_current,24,385,1.1334307174812157,1.948837663498152,0.9872722327709198,2.324292695522309,-1.1112388022168382,311,W_Nabellen offertes
BPI12,gemma-2-2b,llm,RT,activity_current,25,171,0.3890042709981837,0.3130753848821277,0.2526091933250427,0.8328527882695198,-0.3877188156179169,145,W_Valideren aanvraag
BPI12,llama32-1b,llm,RT,activity_current,3,34,1.458483069689999,2.882653350241464,1.1849337220191956,2.998323467373848,-1.4150964771055017,34,A_ACCEPTED
BPI12,llama32-1b,llm,RT,activity_current,7,43,0.0648976772330528,0.005799038020574,0.0584011077880859,0.1287317276000976,-0.0206972402195597,43,A_DECLINED
BPI12,llama32-1b,llm,RT,activity_current,8,40,1.657242076983675,3.651962148446533,1.4966296255588531,3.037783080339432,-1.657242076983675,40,A_FINALIZED
BPI12,llama32-1b,llm,RT,activity_current,9,86,1.0256382294194124,2.4843259109595928,0.1042343080043792,3.327623188495636,-0.9598678916714392,86,A_PARTLYSUBMITTED
BPI12,llama32-1b,llm,RT,activity_current,10,60,2.076315566369643,5.745270950835285,2.238144546747208,3.478359228372574,-2.076315566369643,60,A_PREACCEPTED
BPI12,llama32-1b,llm,RT,activity_current,12,91,1.477592964625948,3.971287881477828,1.3044035136699677,3.4933879375457764,-1.4775727317965293,91,A_SUBMITTED
BPI12,llama32-1b,llm,RT,activity_current,14,37,0.8626990978782242,1.6538865251264545,0.1867454648017883,2.223258233070373,-0.8626990978782242,37,O_CANCELLED
BPI12,llama32-1b,llm,RT,activity_current,15,61,1.5934479628063616,3.351155112593944,1.3482199609279633,2.9857616424560547,-1.5919233463460305,60,O_CREATED
BPI12,llama32-1b,llm,RT,activity_current,17,48,1.4977320255711677,2.9656491713763207,1.3436645567417145,2.7617972895503047,-1.4774787969266374,48,O_SELECTED
BPI12,llama32-1b,llm,RT,activity_current,18,57,1.7890171348607462,3.9371870743653576,1.7715365290641785,2.93804943561554,-1.7890171348607462,57,O_SENT
BPI12,llama32-1b,llm,RT,activity_current,20,117,0.9808736588531292,2.4902171901016104,0.1664114594459533,3.280208873748779,-0.8901275128711206,110,W_Afhandelen leads
BPI12,llama32-1b,llm,RT,activity_current,22,469,1.878238200251736,4.813298103343767,1.895004749298096,3.350234127044678,-1.876217060124696,371,W_Completeren aanvraag
