dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,1.1918045973041052,2.526968888819988,0.9730250313878059,3.054791259765625,-1.1495108639658587,510
BPI12,gemma-2-2b,llm,RT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.43968357375942524,0.3684688451292254,0.2996121048927307,0.9590127989649775,-0.43590257513422836,228
BPI12,gemma-2-2b,llm,RT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,1.4240935351871682,3.409692002273866,1.2789706587791443,3.1845339536666875,-1.393763872072357,549
BPI12,gemma-2-2b,llm,RT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,1.1334307174812155,1.9488376634981517,0.9872722327709198,2.324292695522309,-1.1112388022168382,311
BPI12,llama32-1b,llm,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,1.284664617135973,2.962102638698109,1.0623944252729416,3.1655521810054776,-1.2691964150073693,510
BPI12,llama32-1b,llm,RT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.33668194144846053,0.30208054327227823,0.1370665431022644,0.8798444092273713,-0.32595598287918875,228
BPI12,llama32-1b,llm,RT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,1.4957758845164157,3.783202868078357,1.3901356607675552,3.2924343347549443,-1.4761945605679563,549
BPI12,llama32-1b,llm,RT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,1.3940041565345358,2.7987951579727435,1.2358049601316452,2.7609873294830325,-1.3903014766775048,311
BPI12,rnn,sequence,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,1.0136422730994692,1.9819932786255068,0.6611421019770205,2.622572013735771,-0.8943083184576363,510
BPI12,rnn,sequence,RT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.32678738945389624,0.25425247887217217,0.1798592209815979,0.8149809623137118,-0.2888015968857582,228
BPI12,rnn,sequence,RT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,1.1992743021778196,2.5022125137083537,0.8376123681664467,2.735570701956749,-1.0341375947656595,549
BPI12,rnn,sequence,RT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,0.9426186022254965,1.4784649614959844,0.7775853872299194,2.141990369558335,-0.8680115607086352,311
BPI12,saprpt,tabular_fm,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,1.1261892234422801,2.3712289632553434,0.926377322524786,2.832682156562805,-1.1024054311034175,510
BPI12,saprpt,tabular_fm,RT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.30365183387583056,0.24857122867058049,0.10930752754211426,0.7727655507624149,-0.23874854595961845,228
BPI12,saprpt,tabular_fm,RT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,1.3220712142979618,3.028690149949733,1.2890647053718567,2.9969293594360353,-1.3093124333900683,549
BPI12,saprpt,tabular_fm,RT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,1.1272228498032995,1.9098094413086115,1.0081175565719604,2.259093141555786,-1.116652340710151,311
BPI12,tabpfn3,tabular_fm,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,1.218303253747935,2.6982167624013433,1.1211047172546387,2.9792545199394223,-1.2077010827940555,510
BPI12,tabpfn3,tabular_fm,RT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.3016370223643183,0.25911298829752627,0.07464301586151123,0.8160368984565141,-0.263532530815465,228
BPI12,tabpfn3,tabular_fm,RT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,1.338260316052744,3.107330015285842,1.325808823108673,3.0437986254692078,-1.3237188866851257,549
BPI12,tabpfn3,tabular_fm,RT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,1.175538163834445,2.0653208408853163,1.0545175671577454,2.2829246520996094,-1.1659068647908144,311
BPI12,transformer,sequence,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",592,1.3601772697643233,3.065719502466492,1.1710817515850067,3.1858163237571717,-1.3590986833430203,510
BPI12,transformer,sequence,RT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",333,0.5885560212028632,0.5356418009290533,0.44151896238327026,1.1164837472140792,-0.5885560212028632,228
BPI12,transformer,sequence,RT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",690,1.6868795190570012,4.397767180948525,1.5824355781078339,3.4447475135326386,-1.6868795190570012,549
BPI12,transformer,sequence,RT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",385,1.6417544714885752,3.344235405473665,1.5661703795194626,2.8418746113777162,-1.6417544714885752,311
BPI17,gemma-2-2b,llm,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.9847872110955564,1.678923995347993,0.6277247071266174,2.2618151903152466,-0.9597928538788569,467
BPI17,gemma-2-2b,llm,RT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.5927426872458104,0.6511870361488185,0.4050329327583313,1.385310345888138,-0.5692408296642646,349
BPI17,gemma-2-2b,llm,RT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.9365871376237298,1.596511669975933,0.5832994654774666,2.1820576608180997,-0.9001798986284694,1060
BPI17,llama32-1b,llm,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.6438038678250763,0.6353421995001105,0.6033969074487686,1.1807554960250854,-0.11777294337324411,467
BPI17,llama32-1b,llm,RT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.4441287458390665,0.4119941913962783,0.2773146331310272,1.1351770997047426,-0.2508234070471588,349
BPI17,llama32-1b,llm,RT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.6593943570590641,0.7051233954725292,0.5776617899537086,1.2958576664328574,-0.20700786961638043,1060
BPI17,rnn,sequence,RT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",489,0.6543477349613157,0.7504964465659718,0.47411203384399414,1.4114409685134888,-0.37585099115230336,467
BPI17,rnn,sequence,RT,branching_degree_bucket,"branch_deg_(11.0, 14.0]",363,0.4095576063123052,0.34395538233739376,0.2826666831970215,0.9489754110574723,-0.21473935771459,349
BPI17,rnn,sequence,RT,branching_degree_bucket,"branch_deg_(5.0, 11.0]",1148,0.6820844249553023,0.8458471962153238,0.44957637041807175,1.5536858335137367,-0.42378254363344553,1060
