dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,1.1416547024332286,2.288186038896977,0.8633438646793365,2.8786311745643616,-1.1238982102541668,420
BPI12,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,1.7200992348237774,4.120999182346307,1.748216062784195,3.202333629131317,-1.7091517369174007,415
BPI12,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,1.1117175211909973,1.999502399933444,0.9400214180350304,2.368233621120453,-1.0601743243893236,389
BPI12,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.5031894263767014,0.8493290868114723,0.20406049489974976,1.3550017297267924,-0.46867507748587955,400
BPI12,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,1.2288767019828204,2.716446679411066,0.9313467890024185,3.078446054458618,-1.223779130704665,420
BPI12,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,1.8190823441641477,4.579803629075379,1.8039800226688385,3.343057382106781,-1.8152650793488243,415
BPI12,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,1.3267441358723264,2.7413761447176883,1.1951610445976257,2.809143543243408,-1.311708507865357,389
BPI12,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.44136987697930957,0.8543058302730794,0.10265171527862549,1.4227176100015646,-0.4077543428959917,400
BPI12,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,0.9474513847544688,1.7498002127943826,0.6277009956538677,2.505763470940292,-0.859700741915567,420
BPI12,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,1.4054761542774246,2.926235655925101,1.3032785579562187,2.7325883850455286,-1.2724109355067899,415
BPI12,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,0.960892269861659,1.6032934837830968,0.7126854509115219,2.202949434518814,-0.8460377152100098,389
BPI12,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.43487818792839217,0.704659985295453,0.15829169750213623,1.2255536556243898,-0.3175704619502925,400
BPI12,saprpt,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,1.071360834878035,2.116345082132701,0.8015609383583069,2.662094306945801,-1.0521694758078513,420
BPI12,saprpt,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,1.6080106438230013,3.6192727676629484,1.601163774728775,3.015560483932495,-1.5981554478293156,415
BPI12,saprpt,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,1.0967592404334214,1.9508745440390318,0.9756093621253967,2.329409956932068,-1.0748027584289601,389
BPI12,saprpt,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.3894565919511833,0.7801733781548721,0.06540033221244812,1.3264154434204103,-0.3410850142842056,400
BPI12,tabpfn3,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,1.1544465378234137,2.4046596089067642,0.9371572881937027,2.891481226682663,-1.1426891606587413,420
BPI12,tabpfn3,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,1.6483496465695353,3.7657854165439657,1.662476945668459,3.0500730335712434,-1.6370995192066944,415
BPI12,tabpfn3,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,1.1407078359280505,2.1095111710693466,1.0154993832111359,2.360136926174164,-1.127167478640022,389
BPI12,tabpfn3,tabular_fm,RT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.38418189753034404,0.7930090918278481,0.0413777232170105,1.3823004424571999,-0.3541656682160249,400
BPI12,transformer,sequence,RT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",533,1.3190143408893091,2.785169212034478,1.053524523973465,3.0421288490295413,-1.3178396752512818,420
BPI12,transformer,sequence,RT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",524,2.0281471932015402,5.3166407868702645,2.0459007024765015,3.4441782951354982,-2.028123478742871,415
BPI12,transformer,sequence,RT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",471,1.5481166009118408,3.2452266118952515,1.457676112651825,2.8617117404937744,-1.5481166009118408,389
BPI12,transformer,sequence,RT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",472,0.6404443781194474,1.0939575309201734,0.3408985435962677,1.6221905171871196,-0.6404443781194474,400
BPI17,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(-0.001, 0.986]",485,0.9498872426719244,1.575888001709827,0.6144769787788391,2.1970861256122594,-0.9175280731408101,466
BPI17,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(0.986, 1.683]",579,0.8141431617558594,1.203769315989928,0.5285999774932861,2.0111120820045474,-0.7881203349953154,548
BPI17,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(1.683, 1.993]",614,1.107269229168104,2.0280451858732427,0.8803530279546976,2.27595129609108,-1.0640200554897192,591
BPI17,gemma-2-2b,llm,RT,branching_entropy_bucket,"branch_ent_(1.993, 2.362]",322,0.49683560753495704,0.5703797082793646,0.3074839413166046,1.2228644609451298,-0.4805855491742353,314
BPI17,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(-0.001, 0.986]",485,0.6491047918737431,0.6571662869340782,0.536696046590805,1.272262799739838,-0.11653236516564724,466
BPI17,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(0.986, 1.683]",579,0.5641590150958651,0.5645128333217335,0.35705652832984924,1.2034219026565558,-0.2543530690573021,548
BPI17,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(1.683, 1.993]",614,0.7766534216876039,0.8080670642327633,0.8266423344612122,1.2613491892814641,-0.1469036720980168,591
BPI17,llama32-1b,llm,RT,branching_entropy_bucket,"branch_ent_(1.993, 2.362]",322,0.35619395433040046,0.3974724470175104,0.14921441674232483,0.9628335451707258,-0.28663795537124415,314
BPI17,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(-0.001, 0.986]",485,0.6593078428685855,0.7495774770531255,0.5020257532596588,1.47169339209795,-0.36702022026932063,466
BPI17,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(0.986, 1.683]",579,0.5576022271173869,0.5814128528430936,0.3563835620880127,1.3203312516212473,-0.3185496165972872,548
BPI17,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(1.683, 1.993]",614,0.80529662996325,1.0564271182619946,0.6431086957454681,1.664488957822323,-0.5130582947360961,591
BPI17,rnn,sequence,RT,branching_entropy_bucket,"branch_ent_(1.993, 2.362]",322,0.35593245107599575,0.3541980702939258,0.19369235634803772,0.887537674605847,-0.2198169372877488,314
