dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,RT,case_length_bucket,1-3,62,0.14968482813527506,0.027430583875662128,0.15960577130317688,0.23474188446998595,0.14968482813527506,60
BPI12,gemma-2-2b,llm,RT,case_length_bucket,11-20,152,0.6805171818766547,1.498732516763105,0.20292943716049194,3.0546686053276075,-0.6304416234212878,120
BPI12,gemma-2-2b,llm,RT,case_length_bucket,21-50,1232,1.3405956140701023,2.9138731402468157,1.1295996736735106,3.108364754915238,-1.331221310379775,729
BPI12,gemma-2-2b,llm,RT,case_length_bucket,51-100,434,1.1089971032419321,2.0057925487173267,0.8600076159927994,2.404119145870209,-1.1061114852738079,174
BPI12,gemma-2-2b,llm,RT,case_length_bucket,6-10,109,0.10585152993508436,0.01769392841385625,0.08766037225723267,0.20997766256332398,0.04822565984288487,100
BPI12,llama32-1b,llm,RT,case_length_bucket,1-3,62,0.09036887749548882,0.00915977553757213,0.09014984965324402,0.1313292145729065,0.0021607000981607744,60
BPI12,llama32-1b,llm,RT,case_length_bucket,11-20,152,0.7559279060775512,1.7569577052841308,0.23032653331756592,3.2146030902862552,-0.7195336299605275,120
BPI12,llama32-1b,llm,RT,case_length_bucket,21-50,1232,1.4567599656401835,3.4221569533251155,1.2809666693210602,3.247399002313614,-1.4528541229063359,729
BPI12,llama32-1b,llm,RT,case_length_bucket,51-100,434,1.1579519017407196,2.3593031548592918,0.9129988248168956,2.5909412086009977,-1.1552390658267406,174
BPI12,llama32-1b,llm,RT,case_length_bucket,6-10,109,0.09093531556085709,0.012944729626684283,0.08970499038696289,0.1771794319152832,0.004475805737556668,100
BPI12,rnn,sequence,RT,case_length_bucket,1-3,62,0.19243784393033675,0.055584386628707,0.16024625301361084,0.3759046614170074,0.17299845237885753,60
BPI12,rnn,sequence,RT,case_length_bucket,11-20,152,0.7116292802456883,1.3079624124941633,0.40647104382514954,2.6274556696414955,-0.2902869505085523,120
BPI12,rnn,sequence,RT,case_length_bucket,21-50,1232,1.0975230807927399,2.170652749850913,0.7945469245314598,2.6596075147390366,-1.0381082702947246,729
BPI12,rnn,sequence,RT,case_length_bucket,51-100,434,0.8933328640708122,1.4793442262230612,0.6610798481851816,2.1940526521764694,-0.8657248740969387,174
BPI12,rnn,sequence,RT,case_length_bucket,6-10,109,0.2541956077543421,0.10318333975056176,0.218156099319458,0.46957157254219056,0.24067182568918674,100
BPI12,saprpt,tabular_fm,RT,case_length_bucket,1-3,62,0.07258636912991924,0.007484708258680775,0.06239214539527893,0.10890926122665405,0.05061961181702152,60
BPI12,saprpt,tabular_fm,RT,case_length_bucket,11-20,152,0.6203678558629594,1.2876789812410774,0.10527792572975159,2.5420671463012696,-0.5902941950939988,120
BPI12,saprpt,tabular_fm,RT,case_length_bucket,21-50,1232,1.2670930211931013,2.66328407699324,1.0922816097736359,2.924886941909792,-1.249245546468176,729
BPI12,saprpt,tabular_fm,RT,case_length_bucket,51-100,434,1.007489807870371,1.8487679410290296,0.7789187857415527,2.3523560166358948,-0.9860319182080107,174
BPI12,saprpt,tabular_fm,RT,case_length_bucket,6-10,109,0.0371417184488489,0.0023570244162322567,0.031995415687561035,0.07571377754211428,0.007848513782571216,100
BPI12,tabpfn3,tabular_fm,RT,case_length_bucket,1-3,62,0.028746176150537307,0.0011495206793238452,0.03200888633728027,0.04957719445228576,0.028729294576952533,60
BPI12,tabpfn3,tabular_fm,RT,case_length_bucket,11-20,152,0.6498636303861675,1.3625442741919962,0.10244306921958923,2.6120118826627734,-0.6184105753996655,120
BPI12,tabpfn3,tabular_fm,RT,case_length_bucket,21-50,1232,1.3192260354817218,2.855251456505461,1.2102939039468765,3.012496703863147,-1.3085747507738907,729
BPI12,tabpfn3,tabular_fm,RT,case_length_bucket,51-100,434,1.0473513064962598,1.9896736216533366,0.8189205690287054,2.412761110067367,-1.034909883414128,174
BPI12,tabpfn3,tabular_fm,RT,case_length_bucket,6-10,109,0.03569156861086504,0.0021183758004316555,0.034871816635131836,0.06267954111099246,0.017469146929749654,100
BPI12,transformer,sequence,RT,case_length_bucket,1-3,62,0.07600559246155524,0.006621671201146178,0.0764501690864563,0.11124760508537292,-0.07600559246155524,60
BPI12,transformer,sequence,RT,case_length_bucket,11-20,152,0.89262844332935,1.9714673169187282,0.39004290103912354,3.2292455792427064,-0.8904199100736725,120
BPI12,transformer,sequence,RT,case_length_bucket,21-50,1232,1.6486379990807558,3.8705219134617517,1.4574633240699768,3.360780191421509,-1.6484772324362316,729
BPI12,transformer,sequence,RT,case_length_bucket,51-100,434,1.3679788865604758,2.773836387464206,1.2017911225557327,2.8200558334589,-1.3679788865604758,174
BPI12,transformer,sequence,RT,case_length_bucket,6-10,109,0.13992596274122185,0.024033986365025024,0.13433265686035156,0.2345897674560547,-0.13896484714035595,100
BPI17,gemma-2-2b,llm,RT,case_length_bucket,11-20,74,1.4263458271082994,2.7499106359465815,1.736583249643445,2.260763531923294,-1.289797000284936,68
BPI17,gemma-2-2b,llm,RT,case_length_bucket,21-50,1250,0.8444630510041141,1.3738502783895048,0.44384539127349854,2.11828690469265,-0.8076925540754223,1108
BPI17,gemma-2-2b,llm,RT,case_length_bucket,51-100,649,0.8900909107060061,1.3996470527734706,0.6487322188913822,2.1814215898513796,-0.8801044838927049,528
BPI17,llama32-1b,llm,RT,case_length_bucket,11-20,74,0.9690319160754616,1.1029512260570555,1.0403706729412079,1.401570051908493,-0.42615408812825745,68
BPI17,llama32-1b,llm,RT,case_length_bucket,21-50,1250,0.6233584139269195,0.5992888633729031,0.5683482065796852,1.174333643913269,-0.08778841146711493,1108
BPI17,llama32-1b,llm,RT,case_length_bucket,51-100,649,0.5549805719335097,0.6299262544588423,0.3367657959461212,1.4447653770446778,-0.3459664857192955,528
BPI17,rnn,sequence,RT,case_length_bucket,11-20,74,1.1586645082318903,1.5991171253396816,1.3407775461673737,1.6790692076086997,-0.8046776565622438,68
BPI17,rnn,sequence,RT,case_length_bucket,21-50,1250,0.6147776439212612,0.6783120296707922,0.4130379855632782,1.4227580249309542,-0.29719660973396383,1108
BPI17,rnn,sequence,RT,case_length_bucket,51-100,649,0.5769253265853822,0.713110200338548,0.32740241289138794,1.5488336607813837,-0.45422952451588205,528
BPI17,saprpt,tabular_fm,RT,case_length_bucket,11-20,74,1.3554369855571438,2.5720609494742854,1.8794872164726257,2.131540811061859,-1.2406684949591353,68
BPI17,saprpt,tabular_fm,RT,case_length_bucket,21-50,1250,0.8161823006285005,1.3880701491355616,0.41996239125728607,2.171788561344147,-0.7640750153196626,1108
BPI17,saprpt,tabular_fm,RT,case_length_bucket,51-100,649,0.7864801088446329,1.239694868570175,0.5303073823451996,2.0149054527282715,-0.7617720725629709,528
BPI17,tabpfn3,tabular_fm,RT,case_length_bucket,11-20,74,1.5703706572562255,3.592572195639947,2.0634149610996246,2.5938047587871553,-1.5539452393690276,68
