dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.2840318565569746,2.7950239502806147,0.9699054481461644,3.072984755039215,-1.2727890832104463,413
BPI12,gemma-2-2b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,1.1608218276801738,2.391358154137735,0.8874026350677013,2.929403024911882,-1.1235309043518533,420
BPI12,gemma-2-2b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,1.1296668481289869,2.279973785380505,0.876770906150341,2.8716548681259155,-1.0981892769253017,413
BPI12,gemma-2-2b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,0.9801868882184315,2.0030422255999687,0.5428940020501614,2.7536233454942702,-0.9485080092011511,472
BPI12,llama32-1b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.356576336997646,3.1852316059129655,1.0630607083439827,3.2289172649383544,-1.3497121046113647,413
BPI12,llama32-1b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,1.257937054523688,2.8164539309225756,1.0364291705191135,3.071936452388764,-1.2403182917693822,420
BPI12,llama32-1b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",481,1.2142552927077366,2.6950955226946283,0.9504776298999786,3.1084433794021606,-1.2003249532563454,413
BPI12,llama32-1b,llm,RT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",538,1.067099353520989,2.4141289690356023,0.5859508663415909,2.9802372336387637,-1.0502822972967403,472
BPI12,rnn,sequence,RT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",499,1.0501082287691879,2.0459896534361794,0.6646059574559331,2.6180238187313076,-0.953009695413906,413
BPI12,rnn,sequence,RT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",482,1.0114812388237473,1.8464351997828485,0.6567206084728241,2.563285878300667,-0.8612202477894523,420
