dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,RT,relative_prefix_bucket,0-20%,331,1.912205146036879,4.715948836577757,1.8864496946334839,3.240394651889801,-1.9044378756980196,299
BPI12,gemma-2-2b,llm,RT,relative_prefix_bucket,20-40%,404,1.6210562781019293,3.669732593484409,1.500797599554062,3.158788633346558,-1.5938548051266894,366
BPI12,gemma-2-2b,llm,RT,relative_prefix_bucket,40-60%,385,1.2561288800444332,2.4337349946438995,1.02566659450531,2.824467992782593,-1.240871159530656,342
BPI12,gemma-2-2b,llm,RT,relative_prefix_bucket,60-80%,423,0.8455892164879655,1.4408983717646684,0.48308125138282776,2.3475938439369206,-0.8029097827264531,377
BPI12,gemma-2-2b,llm,RT,relative_prefix_bucket,80-100%,457,0.3103234575326703,0.2880014721136236,0.1770470142364502,0.6397918790578846,-0.2703227285143901,402
BPI12,llama32-1b,llm,RT,relative_prefix_bucket,0-20%,331,2.076041786536839,5.437046686772538,2.035907030105591,3.4607128500938416,-2.0755130187868565,299
BPI12,llama32-1b,llm,RT,relative_prefix_bucket,20-40%,404,1.7438970863499845,4.173199682398889,1.650476485490799,3.28612402677536,-1.7351539695887863,366
BPI12,llama32-1b,llm,RT,relative_prefix_bucket,40-60%,385,1.4096333759718926,3.024928538484826,1.2162297368049622,3.128130793571472,-1.4033984378334015,342
BPI12,llama32-1b,llm,RT,relative_prefix_bucket,60-80%,423,0.9310967355753828,1.78301043286959,0.5701365768909454,2.6064218044281007,-0.9104817119330976,377
BPI12,llama32-1b,llm,RT,relative_prefix_bucket,80-100%,457,0.2475852895017583,0.301220289674324,0.09257137775421143,0.6111977994441992,-0.21949400361046537,402
BPI12,rnn,sequence,RT,relative_prefix_bucket,0-20%,331,1.628474078817839,3.7155455053525666,1.553972989320755,3.097468078136444,-1.5965014292121362,299
BPI12,rnn,sequence,RT,relative_prefix_bucket,20-40%,404,1.3345892671494235,2.641365090923564,1.2178329154849052,2.687114441394806,-1.2468860931730528,366
BPI12,rnn,sequence,RT,relative_prefix_bucket,40-60%,385,1.0659351334541238,1.8637780533744435,0.824396401643753,2.5286645472049725,-0.9655584259499953,342
BPI12,rnn,sequence,RT,relative_prefix_bucket,60-80%,423,0.7118116030952536,1.0632731449838007,0.397942453622818,2.0079298816621307,-0.5448734924024088,377
BPI12,rnn,sequence,RT,relative_prefix_bucket,80-100%,457,0.2398764512392629,0.195767157906616,0.12038129568099976,0.5508874863386157,-0.08519783711796565,402
BPI12,saprpt,tabular_fm,RT,relative_prefix_bucket,0-20%,331,1.8331771083534878,4.295698027367531,1.8438385725021362,3.2425501346588135,-1.8294952336461017,299
BPI12,saprpt,tabular_fm,RT,relative_prefix_bucket,20-40%,404,1.5468498973428308,3.37984585338212,1.4545181691646576,3.105855679512024,-1.536407692643173,366
BPI12,saprpt,tabular_fm,RT,relative_prefix_bucket,40-60%,385,1.211880687011297,2.290254013368065,1.0049664229154587,2.6392540216445934,-1.2049291796271702,342
BPI12,saprpt,tabular_fm,RT,relative_prefix_bucket,60-80%,423,0.7746745351498041,1.2767616486412077,0.4649386703968048,2.1317334413528446,-0.7459766764025068,377
BPI12,saprpt,tabular_fm,RT,relative_prefix_bucket,80-100%,457,0.19269068214249607,0.2242075698394592,0.05071377754211426,0.4839616298675537,-0.13073635184006355,402
BPI12,tabpfn3,tabular_fm,RT,relative_prefix_bucket,0-20%,331,1.8987801156655302,4.568222732427582,1.8789283633232117,3.274344563484192,-1.8972204324621933,299
BPI12,tabpfn3,tabular_fm,RT,relative_prefix_bucket,20-40%,404,1.631586962017014,3.659135507843549,1.5623922646045685,3.182834154367447,-1.6265108802760397,366
BPI12,tabpfn3,tabular_fm,RT,relative_prefix_bucket,40-60%,385,1.2750633638167705,2.480167998711674,1.1003876626491547,2.784773206710816,-1.2685023591657132,342
