dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,gemma-2-2b,llm,RT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.43252843109697886,0.2571927686136211,0.4128663241863251,0.8061682879924774,-0.42230607079674826,387
BPI12,gemma-2-2b,llm,RT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.15493649815370936,0.03752844168776792,0.13346964120864868,0.30468815565109253,-0.05374283169557948,444
BPI12,gemma-2-2b,llm,RT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,1.2618544463334338,1.694139854722759,1.2482943404465914,1.7125146389007568,-1.2618544463334338,372
BPI12,gemma-2-2b,llm,RT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,2.652031873436336,7.300502530785851,2.7050476670265198,3.2784018993377684,-2.652031873436336,357
BPI12,llama32-1b,llm,RT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.469499648129591,0.30477459991484107,0.43286193907260895,0.8751587439328432,-0.46821413636960996,387
BPI12,llama32-1b,llm,RT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.07971613641508563,0.00937981512048691,0.07737088203430176,0.137597918510437,-0.025768129827971466,444
BPI12,llama32-1b,llm,RT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,1.4269379513452247,2.1555968623037915,1.4191795587539673,1.9177328467369081,-1.4269379513452247,372
BPI12,llama32-1b,llm,RT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,2.8643358566346224,8.440533618617033,2.9505382776260376,3.4514614820480345,-2.8643358566346224,357
BPI12,rnn,sequence,RT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.28731412987314886,0.13261660752760476,0.2359769158065319,0.615207627415657,-0.14836145036092457,387
BPI12,rnn,sequence,RT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.19835210050978586,0.0719136068234104,0.13904941082000732,0.45978885889053345,0.11510594366880472,444
BPI12,rnn,sequence,RT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,0.934861134899286,1.0140296098561499,0.8987509370781481,1.4000319644808772,-0.934861134899286,372
BPI12,rnn,sequence,RT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,2.337894132260059,5.7603521985647514,2.3766640722751617,3.054635167121887,-2.337894132260059,357
BPI12,saprpt,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.37780759189310276,0.21400014850909344,0.35236798226833344,0.7612063590204343,-0.376635028621686,387
BPI12,saprpt,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.05352906826251519,0.004551122080251112,0.046719253063201904,0.10403001308441162,0.042248203963814616,444
BPI12,saprpt,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,1.2631365713264262,1.7115101183643742,1.2542986869812012,1.7150849878787995,-1.2631365713264262,372
BPI12,saprpt,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,2.4968469147561354,6.558577894624443,2.46159827709198,3.274025821685791,-2.4968469147561354,357
BPI12,tabpfn3,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.39662435954408964,0.23177682234220998,0.3783777356147766,0.7769482670992147,-0.39596252903614976,387
BPI12,tabpfn3,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.03342556679796078,0.0017646336640410865,0.033961474895477295,0.06554931402206421,0.031202475824755823,444
BPI12,tabpfn3,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(0.0929, 1.206]",490,1.332172058501794,1.8615358058933988,1.3299034535884857,1.7333036541938784,-1.332172058501794,372
BPI12,tabpfn3,tabular_fm,RT,rt_magnitude_bucket,"rt_mag_(1.206, 2.647]",513,2.5953728379205154,7.007480024361723,2.5587462782859802,3.2751723170280456,-2.5953728379205154,357
BPI12,transformer,sequence,RT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",496,0.7311501378929778,0.6457584319779769,0.7352926731109619,1.156938492320478,-0.730775867470173,387
BPI12,transformer,sequence,RT,rt_magnitude_bucket,"rt_mag_(-0.86, -0.802]",501,0.26007995967141645,0.09828964964848035,0.2256908416748047,0.48521488904953003,-0.2591759975322944,444
