dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,1,91,1.2987312404745883,3.227383882702714,0.9977790415287018,3.189196050167084,-1.2362575424978366,91,
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,11-20,536,1.4389888552017944,3.100186789331667,1.2310249209403992,2.994373977184296,-1.4226565527924728,461,
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,2,86,1.0145130959382758,2.2263154642077185,0.2640992105007171,3.1276192665100098,-0.8315717201614969,86,
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,21-50,672,0.7977012530036951,1.250594601964584,0.4734189063310623,2.1192686676979067,-0.7863782668991917,498,
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,3,89,1.193741613640607,2.949442658413969,0.7254077361430973,3.199071061611176,-1.110750387305017,89,
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,4-5,118,1.4677294009380926,3.571749784510258,1.2958550155162811,3.2418489694595336,-1.4193675317564758,116,
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,6-10,293,1.4881068716269088,3.4905390653212427,1.3152335286140442,3.222556817531585,-1.4733240217877928,269,
BPI12,gemma-2-2b,llm,RT,prefix_length_bucket,>50,115,0.3714955941166566,0.2409227605674629,0.2643763422966003,0.8282350689172748,-0.3666017044821511,72,
BPI12,llama32-1b,llm,RT,prefix_length_bucket,1,91,1.477592964625948,3.971287881477828,1.3044035136699677,3.4933879375457764,-1.4775727317965293,91,
BPI12,llama32-1b,llm,RT,prefix_length_bucket,11-20,536,1.5956929780105424,3.699055738152747,1.405865043401718,3.184501111507416,-1.58992176094903,461,
BPI12,llama32-1b,llm,RT,prefix_length_bucket,2,86,1.0256382294194124,2.4843259109595928,0.1042343080043792,3.327623188495636,-0.9598678916714392,86,
BPI12,llama32-1b,llm,RT,prefix_length_bucket,21-50,672,0.8552860265698699,1.5751263209725224,0.4745824337005615,2.420303535461425,-0.8493566303038408,498,
BPI12,llama32-1b,llm,RT,prefix_length_bucket,3,89,1.3088347537605238,3.472644644008396,0.9473390281200408,3.460714268684387,-1.2877003665192033,89,
