dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI12,activity_current,3,0.1176470588235294,0.5294117647058824,0.088235294117647,0.4117647058823529,0.5588235294117647,0.4117647058823529,0.25,0.4852941176470588,0.3235294117647059,-0.2352941176470588,-0.0735294117647059,0.088235294117647,-0.2352941176470588,A_ACCEPTED
BPI12,activity_current,7,0.9069767441860463,0.8837209302325582,0.9069767441860463,0.5348837209302325,0.7441860465116279,1.0,0.9534883720930232,0.6395348837209303,0.8953488372093024,0.3139534883720929,0.0581395348837208,0.1046511627906976,0.011627906976744,A_DECLINED
BPI12,activity_current,8,0.15,0.525,0.775,0.5,0.45,1.0,0.8875,0.475,0.3375,0.4125,0.5499999999999999,0.6625,0.4375,A_FINALIZED
BPI12,activity_current,9,0.2674418604651162,0.2209302325581395,0.2906976744186046,0.3953488372093023,0.3604651162790697,0.2790697674418604,0.2848837209302325,0.377906976744186,0.2441860465116279,-0.0930232558139534,0.0406976744186046,0.0348837209302325,0.0465116279069767,A_PARTLYSUBMITTED
BPI12,activity_current,10,1.0,0.9833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666668,0.0,0.0083333333333333,0.0083333333333333,0.0083333333333333,A_PREACCEPTED
BPI12,activity_current,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,A_SUBMITTED
BPI12,activity_current,14,0.1351351351351351,0.2432432432432432,0.5675675675675675,0.3243243243243243,0.3783783783783784,0.7027027027027027,0.6351351351351351,0.3513513513513513,0.1891891891891892,0.2837837837837837,0.4459459459459459,0.5135135135135136,0.3783783783783783,O_CANCELLED
BPI12,activity_current,15,1.0,0.8852459016393442,0.9836065573770492,1.0,1.0,1.0,0.9918032786885246,1.0,0.9426229508196722,-0.0081967213114754,0.0491803278688524,0.0573770491803278,0.0409836065573769,O_CREATED
BPI12,activity_current,17,0.2083333333333333,0.4375,0.75,0.3541666666666667,0.3125,0.75,0.75,0.3333333333333333,0.3229166666666667,0.4166666666666666,0.4270833333333333,0.4270833333333333,0.4270833333333333,O_SELECTED
BPI12,activity_current,18,0.8771929824561403,0.7017543859649122,0.6842105263157895,0.9649122807017544,0.9824561403508772,1.0,0.8421052631578947,0.9736842105263156,0.7894736842105263,-0.131578947368421,0.0526315789473683,0.2105263157894736,-0.1052631578947368,O_SENT
BPI12,activity_current,20,0.6495726495726496,0.6068376068376068,0.6923076923076923,0.4102564102564102,0.3675213675213675,0.7692307692307693,0.7307692307692308,0.3888888888888889,0.6282051282051282,0.3418803418803419,0.1025641025641026,0.141025641025641,0.0641025641025641,W_Afhandelen leads
BPI12,activity_current,22,0.6823027718550106,0.7718550106609808,0.8656716417910447,0.7398720682302772,0.7505330490405118,0.8635394456289979,0.8646055437100213,0.7452025586353945,0.7270788912579957,0.1194029850746267,0.1375266524520255,0.1364605543710021,0.1385927505330489,W_Completeren aanvraag
BPI12,activity_current,23,0.2222222222222222,0.1111111111111111,0.7469135802469136,0.6975308641975309,0.7037037037037037,0.7283950617283951,0.7376543209876543,0.7006172839506173,0.1666666666666666,0.0370370370370369,0.5709876543209876,0.5617283950617284,0.5802469135802469,W_Nabellen incomplete dossiers
BPI12,activity_current,24,0.5584415584415584,0.5818181818181818,0.7714285714285715,0.6675324675324675,0.6545454545454545,0.5662337662337662,0.6688311688311688,0.6610389610389611,0.57012987012987,0.0077922077922076,0.0987012987012987,-0.0038961038961038,0.2012987012987014,W_Nabellen offertes
BPI12,activity_current,25,0.3216374269005848,0.3040935672514619,0.6666666666666666,0.2748538011695906,0.3099415204678362,0.7251461988304093,0.695906432748538,0.2923976608187134,0.3128654970760234,0.4035087719298246,0.3830409356725146,0.4122807017543859,0.3538011695906432,W_Valideren aanvraag
BPI12,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",0.5895953757225434,0.5973025048169557,0.7283236994219653,0.630057803468208,0.6570327552986512,0.8342967244701349,0.7813102119460501,0.6435452793834296,0.5934489402697496,0.1377649325626204,0.1878612716763005,0.2408477842003853,0.1348747591522157,
BPI12,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",0.6823027718550106,0.7718550106609808,0.8656716417910447,0.7398720682302772,0.7505330490405118,0.8635394456289979,0.8646055437100213,0.7452025586353945,0.7270788912579957,0.1194029850746267,0.1375266524520255,0.1364605543710021,0.1385927505330489,
BPI12,activity_frequency_bucket,"act_freq_(1611.0, 4982.0]",0.4481658692185008,0.4003189792663477,0.6889952153110048,0.5311004784688995,0.529505582137161,0.7129186602870813,0.700956937799043,0.5303030303030303,0.4242424242424242,0.1706539074960127,0.2767145135566187,0.288676236044657,0.2647527910685806,
BPI12,activity_frequency_bucket,"act_freq_(4982.0, 10853.0]",0.5584415584415584,0.5818181818181818,0.7714285714285715,0.6675324675324675,0.6545454545454545,0.5662337662337662,0.6688311688311688,0.6610389610389611,0.57012987012987,0.0077922077922076,0.0987012987012987,-0.0038961038961038,0.2012987012987014,
BPI12,branching_degree_bucket,"branch_deg_(0.999, 5.0]",0.6131756756756757,0.606418918918919,0.7094594594594594,0.6790540540540541,0.6706081081081081,0.7719594594594594,0.7407094594594594,0.6748310810810811,0.6097972972972974,0.0658783783783782,0.130912162162162,0.162162162162162,0.099662162162162,
BPI12,branching_degree_bucket,"branch_deg_(11.0, 15.0]",0.2732732732732733,0.2102102102102102,0.7057057057057057,0.4804804804804805,0.5015015015015015,0.7267267267267268,0.7162162162162162,0.4909909909909909,0.2417417417417417,0.2252252252252252,0.4744744744744745,0.484984984984985,0.4639639639639639,
BPI12,branching_degree_bucket,"branch_deg_(5.0, 9.0]",0.6565217391304348,0.7159420289855073,0.8130434782608695,0.644927536231884,0.6681159420289855,0.8492753623188406,0.8311594202898551,0.6565217391304348,0.6862318840579711,0.1746376811594203,0.144927536231884,0.1630434782608695,0.1268115942028984,
BPI12,branching_degree_bucket,"branch_deg_(9.0, 11.0]",0.5584415584415584,0.5818181818181818,0.7714285714285715,0.6675324675324675,0.6545454545454545,0.5662337662337662,0.6688311688311688,0.6610389610389611,0.57012987012987,0.0077922077922076,0.0987012987012987,-0.0038961038961038,0.2012987012987014,
BPI12,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",0.6303939962476548,0.6060037523452158,0.8123827392120075,0.8292682926829268,0.8386491557223265,0.8799249530956847,0.8461538461538461,0.8339587242026266,0.6181988742964353,0.0121951219512195,0.2279549718574108,0.2617260787992495,0.1941838649155722,
BPI12,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",0.6335877862595419,0.7309160305343512,0.8473282442748091,0.6984732824427481,0.7041984732824428,0.8492366412213741,0.8482824427480916,0.7013358778625954,0.6822519083969465,0.1469465648854961,0.1660305343511451,0.1669847328244276,0.1650763358778626,
BPI12,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",0.505307855626327,0.5159235668789809,0.6836518046709129,0.6178343949044586,0.6008492569002123,0.5138004246284501,0.5987261146496815,0.6093418259023354,0.5106157112526539,-0.0106157112526539,0.0881104033970275,0.0031847133757961,0.1730360934182589,
BPI12,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",0.4576271186440678,0.4194915254237288,0.6652542372881356,0.3495762711864407,0.3771186440677966,0.7351694915254238,0.7002118644067796,0.3633474576271186,0.4385593220338983,0.336864406779661,0.2616525423728813,0.2966101694915254,0.2266949152542373,
BPI12,case_length_bucket,1-3,0.7903225806451613,0.8709677419354839,0.935483870967742,0.5483870967741935,0.7741935483870968,0.5645161290322581,0.75,0.6612903225806451,0.8306451612903225,0.0887096774193548,-0.0806451612903225,-0.2661290322580644,0.1048387096774193,
BPI12,case_length_bucket,11-20,0.5986842105263158,0.6973684210526315,0.7105263157894737,0.6118421052631579,0.6118421052631579,0.7960526315789473,0.7532894736842105,0.6118421052631579,0.6480263157894737,0.1414473684210526,0.1052631578947368,0.1480263157894736,0.0625,
BPI12,case_length_bucket,21-50,0.5803571428571429,0.5957792207792207,0.7613636363636364,0.6607142857142857,0.6607142857142857,0.7491883116883117,0.755275974025974,0.6607142857142857,0.5880681818181819,0.0945616883116883,0.1672077922077921,0.1611201298701298,0.1732954545454544,
BPI12,case_length_bucket,51-100,0.4308755760368664,0.391705069124424,0.7465437788018433,0.6152073732718893,0.6082949308755761,0.728110599078341,0.7373271889400921,0.6117511520737327,0.4112903225806452,0.1255760368663594,0.3260368663594469,0.3168202764976958,0.3352534562211981,
BPI12,case_length_bucket,6-10,0.6972477064220184,0.7247706422018348,0.6972477064220184,0.4220183486238532,0.4587155963302752,0.908256880733945,0.8027522935779816,0.4403669724770642,0.7110091743119267,0.3623853211009173,0.0917431192660549,0.1972477064220182,-0.0137614678899082,
BPI12,prefix_length_bucket,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
BPI12,prefix_length_bucket,11-20,0.5690298507462687,0.7201492537313433,0.8115671641791045,0.6305970149253731,0.628731343283582,0.7649253731343284,0.7882462686567164,0.6296641791044776,0.644589552238806,0.1585820895522388,0.1436567164179104,0.1203358208955224,0.1669776119402984,
BPI12,prefix_length_bucket,2,0.2674418604651162,0.2209302325581395,0.2906976744186046,0.3953488372093023,0.3604651162790697,0.2790697674418604,0.2848837209302325,0.377906976744186,0.2441860465116279,-0.0930232558139534,0.0406976744186046,0.0348837209302325,0.0465116279069767,
BPI12,prefix_length_bucket,21-50,0.4970238095238095,0.3824404761904761,0.7648809523809523,0.6160714285714286,0.6294642857142857,0.7023809523809523,0.7336309523809523,0.6227678571428572,0.4397321428571428,0.1108630952380951,0.2938988095238095,0.2626488095238095,0.3251488095238095,
BPI12,prefix_length_bucket,3,0.9887640449438202,0.898876404494382,1.0,0.9775280898876404,1.0,1.0,1.0,0.9887640449438202,0.9438202247191012,0.0112359550561798,0.0561797752808989,0.0561797752808989,0.0561797752808989,
BPI12,prefix_length_bucket,4-5,0.576271186440678,0.6779661016949152,0.6779661016949152,0.635593220338983,0.635593220338983,0.7372881355932204,0.7076271186440678,0.635593220338983,0.6271186440677966,0.0720338983050847,0.0805084745762712,0.1101694915254237,0.0508474576271186,
BPI12,prefix_length_bucket,6-10,0.5972696245733788,0.7337883959044369,0.7030716723549488,0.5699658703071673,0.590443686006826,0.8600682593856656,0.7815699658703072,0.5802047781569966,0.6655290102389079,0.2013651877133107,0.1160409556313993,0.1945392491467577,0.0375426621160409,
BPI12,prefix_length_bucket,>50,0.3304347826086956,0.1652173913043478,0.6347826086956522,0.5043478260869565,0.5043478260869565,0.6782608695652174,0.6565217391304348,0.5043478260869565,0.2478260869565217,0.1521739130434782,0.408695652173913,0.4304347826086956,0.3869565217391304,
BPI12,relative_prefix_bucket,0-20%,0.6797583081570997,0.716012084592145,0.7401812688821753,0.8006042296072508,0.7552870090634441,0.797583081570997,0.7688821752265862,0.7779456193353474,0.6978851963746224,-0.0090634441087612,0.0709969788519637,0.0996978851963745,0.0422960725075528,
BPI12,relative_prefix_bucket,20-40%,0.5594059405940595,0.6806930693069307,0.745049504950495,0.6361386138613861,0.655940594059406,0.8193069306930693,0.7821782178217822,0.6460396039603961,0.620049504950495,0.1361386138613861,0.1621287128712871,0.1992574257425742,0.125,
BPI12,relative_prefix_bucket,40-60%,0.5454545454545454,0.6181818181818182,0.8441558441558441,0.6805194805194805,0.6571428571428571,0.7714285714285715,0.8077922077922077,0.6688311688311688,0.5818181818181818,0.1389610389610389,0.2259740259740259,0.1896103896103896,0.2623376623376623,
BPI12,relative_prefix_bucket,60-80%,0.5200945626477541,0.5130023640661938,0.8156028368794326,0.6903073286052009,0.706855791962175,0.6879432624113475,0.75177304964539,0.698581560283688,0.5165484633569739,0.053191489361702,0.2352245862884161,0.1713947990543736,0.2990543735224586,
BPI12,relative_prefix_bucket,80-100%,0.5273522975929978,0.3938730853391685,0.649890590809628,0.4113785557986871,0.4595185995623632,0.700218818380744,0.675054704595186,0.4354485776805251,0.4606126914660832,0.2396061269146608,0.2144420131291028,0.2396061269146607,0.1892778993435447,
BPI12,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",0.2355212355212355,0.3185328185328185,0.4073359073359073,0.3359073359073359,0.3301158301158301,0.4768339768339768,0.4420849420849421,0.333011583011583,0.277027027027027,0.109073359073359,0.165057915057915,0.1998069498069498,0.1303088803088803,
BPI12,true_next_activity_frequency_bucket,"next_freq_(10853.0, 12647.0]",0.8024691358024691,0.8930041152263375,0.9958847736625516,0.8580246913580247,0.8703703703703703,0.9423868312757202,0.969135802469136,0.8641975308641976,0.8477366255144033,0.1049382716049383,0.1213991769547325,0.0946502057613168,0.1481481481481481,
BPI12,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",0.5739837398373984,0.4666666666666667,0.7967479674796748,0.5886178861788618,0.6211382113821138,0.8780487804878049,0.8373983739837398,0.6048780487804878,0.5203252032520325,0.232520325203252,0.3170731707317074,0.3577235772357724,0.2764227642276423,
BPI12,true_next_activity_frequency_bucket,"next_freq_(4982.0, 10853.0]",0.6745406824146981,0.6850393700787402,0.8608923884514436,0.8162729658792651,0.7900262467191601,0.6771653543307087,0.7690288713910761,0.8031496062992126,0.6797900262467191,-0.0341207349081364,0.0892388451443569,-0.0026246719160104,0.1811023622047244,
BPI12,y_true_na,2,0.8105263157894737,0.9052631578947368,0.6842105263157895,0.3368421052631579,0.3473684210526316,0.9789473684210528,0.8315789473684211,0.3421052631578947,0.8578947368421053,0.4894736842105263,-0.0263157894736841,0.1210526315789474,-0.1736842105263157,<EOS>
BPI12,y_true_na,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A_ACCEPTED
BPI12,y_true_na,6,0.2580645161290322,0.0,0.1935483870967742,0.0,0.3225806451612903,0.5806451612903226,0.3870967741935484,0.1612903225806451,0.1290322580645161,0.2258064516129032,0.2580645161290322,0.4516129032258065,0.064516129032258,A_CANCELLED
BPI12,y_true_na,7,0.2456140350877192,0.5263157894736842,0.4385964912280701,0.0701754385964912,0.2456140350877192,0.2631578947368421,0.3508771929824561,0.1578947368421052,0.3859649122807017,0.1929824561403508,-0.0350877192982456,-0.1228070175438596,0.0526315789473684,A_DECLINED
BPI12,y_true_na,8,0.054054054054054,0.2702702702702703,0.3783783783783784,0.054054054054054,0.1891891891891892,0.4594594594594595,0.4189189189189189,0.1216216216216216,0.1621621621621621,0.2972972972972973,0.2567567567567568,0.2972972972972973,0.2162162162162162,A_FINALIZED
BPI12,y_true_na,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,A_PARTLYSUBMITTED
BPI12,y_true_na,10,0.0,0.0,0.0,0.6415094339622641,0.1132075471698113,0.0,0.0,0.3773584905660377,0.0,-0.3773584905660377,0.0,0.0,0.0,A_PREACCEPTED
BPI12,y_true_na,15,0.1555555555555555,0.9555555555555556,0.9777777777777776,0.4888888888888889,0.6222222222222222,0.9777777777777776,0.9777777777777776,0.5555555555555556,0.5555555555555556,0.4222222222222221,0.4222222222222221,0.4222222222222221,0.4222222222222221,O_CREATED
BPI12,y_true_na,17,0.1071428571428571,0.1964285714285714,0.2857142857142857,0.6785714285714286,0.375,0.625,0.4553571428571428,0.5267857142857143,0.1517857142857142,-0.0714285714285714,0.3035714285714286,0.4732142857142857,0.1339285714285714,O_SELECTED
BPI12,y_true_na,18,1.0,0.8852459016393442,0.9836065573770492,1.0,1.0,1.0,0.9918032786885246,1.0,0.9426229508196722,-0.0081967213114754,0.0491803278688524,0.0573770491803278,0.0409836065573769,O_SENT
BPI12,y_true_na,19,0.032258064516129,0.0,0.1290322580645161,0.0,0.032258064516129,0.3225806451612903,0.2258064516129032,0.0161290322580645,0.0161290322580645,0.2096774193548387,0.2096774193548387,0.3064516129032258,0.1129032258064516,O_SENT_BACK
BPI12,y_true_na,20,0.7676767676767676,0.3838383838383838,0.5959595959595959,0.4444444444444444,0.5959595959595959,0.9191919191919192,0.7575757575757576,0.5202020202020201,0.5757575757575757,0.2373737373737374,0.1818181818181818,0.3434343434343435,0.0202020202020202,W_Afhandelen leads
BPI12,y_true_na,22,0.8024691358024691,0.8930041152263375,0.9958847736625516,0.8580246913580247,0.8703703703703703,0.9423868312757202,0.969135802469136,0.8641975308641976,0.8477366255144033,0.1049382716049383,0.1213991769547325,0.0946502057613168,0.1481481481481481,W_Completeren aanvraag
BPI12,y_true_na,23,0.0177514792899408,0.0,0.8106508875739645,0.7337278106508875,0.7633136094674556,0.7692307692307693,0.7899408284023669,0.7485207100591715,0.0088757396449704,0.0414201183431953,0.7810650887573964,0.7603550295857988,0.8017751479289941,W_Nabellen incomplete dossiers
BPI12,y_true_na,24,0.6745406824146981,0.6850393700787402,0.8608923884514436,0.8162729658792651,0.7900262467191601,0.6771653543307087,0.7690288713910761,0.8031496062992126,0.6797900262467191,-0.0341207349081364,0.0892388451443569,-0.0026246719160104,0.1811023622047244,W_Nabellen offertes
BPI12,y_true_na,25,0.6583850931677019,0.4472049689440994,0.8571428571428571,0.4409937888198758,0.4347826086956521,0.8385093167701864,0.8478260869565217,0.4378881987577639,0.5527950310559007,0.4099378881987577,0.295031055900621,0.2857142857142857,0.3043478260869564,W_Valideren aanvraag
BPI17,activity_current,3,1.0,1.0,1.0,0.9814814814814816,1.0,1.0,1.0,0.9907407407407408,1.0,0.0092592592592593,0.0,0.0,0.0,A_Accepted
BPI17,activity_current,5,0.9833333333333332,0.9166666666666666,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.95,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,A_Complete
BPI17,activity_current,6,0.9074074074074074,0.6296296296296297,0.9074074074074074,0.6296296296296297,0.7037037037037037,0.925925925925926,0.9166666666666669,0.6666666666666667,0.7685185185185186,0.25,0.1481481481481481,0.1574074074074073,0.1388888888888888,A_Concept
BPI17,activity_current,7,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.7441860465116279,0.7209302325581395,0.4651162790697674,0.5930232558139534,0.7325581395348837,0.7209302325581395,-0.1395348837209302,-0.127906976744186,-0.255813953488372,0.0,A_Create Application
