dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI17,y_true_na,5,0.9814814814814816,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9907407407407408,1.0,0.0092592592592593,0.0092592592592593,0.0092592592592593,A_Complete
BPI17,y_true_na,9,0.7959183673469388,0.979591836734694,1.0,0.0,0.0,0.979591836734694,0.9897959183673468,0.0,0.8877551020408163,0.9897959183673468,0.1020408163265306,0.0918367346938775,0.1122448979591836,A_Incomplete
BPI17,y_true_na,12,0.85,1.0,1.0,0.0,0.0,0.85,0.925,0.0,0.925,0.925,0.0,-0.075,0.0749999999999999,A_Validating
BPI20RequestForPayment,y_true_na,4,1.0,1.0,0.994413407821229,0.1703910614525139,0.0670391061452514,1.0,0.9972067039106144,0.1187150837988826,1.0,0.8784916201117319,-0.0027932960893854,0.0,-0.0055865921787709,Request For Payment APPROVED by ADMINISTRATION
BPI20RequestForPayment,true_next_activity_frequency_bucket,"next_freq_(1196.0, 1219.0]",1.0,1.0,0.994413407821229,0.1703910614525139,0.0670391061452514,1.0,0.9972067039106144,0.1187150837988826,1.0,0.8784916201117319,-0.0027932960893854,0.0,-0.0055865921787709,
BPI20RequestForPayment,relative_prefix_bucket,0-20%,0.930835734870317,0.9279538904899136,0.92507204610951,0.0806916426512968,0.0605187319884726,0.9279538904899136,0.9265129682997116,0.0706051873198847,0.9293948126801151,0.855907780979827,-0.0028818443804035,-0.0014409221902017,-0.0043227665706051,
BPI20TravelPermitData,y_true_na,4,0.1136363636363636,0.0,0.7727272727272727,0.0,0.0,0.9090909090909092,0.8409090909090908,0.0,0.0568181818181818,0.8409090909090908,0.7840909090909091,0.8522727272727273,0.7159090909090909,Declaration APPROVED by BUDGET OWNER
BPI20RequestForPayment,prefix_length_bucket,1,0.8828337874659401,0.8828337874659401,0.8801089918256131,0.0762942779291553,0.0517711171662125,0.8828337874659401,0.8814713896457766,0.0640326975476839,0.8828337874659401,0.8174386920980927,-0.0013623978201634,0.0,-0.002724795640327,
BPI20RequestForPayment,branching_degree_bucket,"branch_deg_(2.0, 3.0]",0.8774509803921569,0.8774509803921569,0.8725490196078431,0.1495098039215686,0.0588235294117647,0.8774509803921569,0.875,0.1041666666666666,0.8774509803921569,0.7708333333333334,-0.0024509803921568,0.0,-0.0049019607843137,
BPI20RequestForPayment,activity_current,17,0.8774509803921569,0.8774509803921569,0.8725490196078431,0.1495098039215686,0.0588235294117647,0.8774509803921569,0.875,0.1041666666666666,0.8774509803921569,0.7708333333333334,-0.0024509803921568,0.0,-0.0049019607843137,Request For Payment SUBMITTED by EMPLOYEE
BPI20RequestForPayment,activity_frequency_bucket,"act_freq_(1219.0, 1405.0]",0.8774509803921569,0.8774509803921569,0.8725490196078431,0.1495098039215686,0.0588235294117647,0.8774509803921569,0.875,0.1041666666666666,0.8774509803921569,0.7708333333333334,-0.0024509803921568,0.0,-0.0049019607843137,
BPI20PrepaidTravelCosts,y_true_na,17,0.0821256038647343,0.6376811594202898,0.9516908212560388,0.3381642512077294,0.0579710144927536,0.9710144927536232,0.961352657004831,0.1980676328502415,0.359903381642512,0.7632850241545894,0.6014492753623188,0.6111111111111112,0.5917874396135265,Request For Payment APPROVED by ADMINISTRATION
BPI17,y_true_na,6,0.926829268292683,0.926829268292683,0.926829268292683,0.2682926829268293,0.2439024390243902,0.926829268292683,0.926829268292683,0.2560975609756097,0.926829268292683,0.6707317073170732,0.0,0.0,0.0,A_Concept
BPI20PrepaidTravelCosts,y_true_na,18,0.1935483870967742,0.0,0.8494623655913979,0.043010752688172,0.010752688172043,0.5161290322580645,0.6827956989247312,0.0268817204301075,0.0967741935483871,0.6559139784946237,0.5860215053763441,0.4193548387096774,0.7526881720430108,Request For Payment APPROVED by BUDGET OWNER
BPI20PrepaidTravelCosts,activity_current,30,0.06640625,0.515625,0.76953125,0.2734375,0.046875,0.78515625,0.77734375,0.16015625,0.291015625,0.6171875,0.486328125,0.494140625,0.478515625,Request For Payment SUBMITTED by EMPLOYEE
