dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI20TravelPermitData,y_true_na,4,0.1136363636363636,0.0,0.7727272727272727,0.0,0.0,0.9090909090909092,0.8409090909090908,0.0,0.0568181818181818,0.8409090909090908,0.7840909090909091,0.8522727272727273,0.7159090909090909,Declaration APPROVED by BUDGET OWNER
BPI12,y_true_na,23,0.0177514792899408,0.0,0.8106508875739645,0.7337278106508875,0.7633136094674556,0.7692307692307693,0.7899408284023669,0.7485207100591715,0.0088757396449704,0.0414201183431953,0.7810650887573964,0.7603550295857988,0.8017751479289941,W_Nabellen incomplete dossiers
BPI20PrepaidTravelCosts,y_true_na,17,0.0821256038647343,0.6376811594202898,0.9516908212560388,0.3381642512077294,0.0579710144927536,0.9710144927536232,0.961352657004831,0.1980676328502415,0.359903381642512,0.7632850241545894,0.6014492753623188,0.6111111111111112,0.5917874396135265,Request For Payment APPROVED by ADMINISTRATION
BPI20PrepaidTravelCosts,y_true_na,18,0.1935483870967742,0.0,0.8494623655913979,0.043010752688172,0.010752688172043,0.5161290322580645,0.6827956989247312,0.0268817204301075,0.0967741935483871,0.6559139784946237,0.5860215053763441,0.4193548387096774,0.7526881720430108,Request For Payment APPROVED by BUDGET OWNER
BPI12,activity_current,23,0.2222222222222222,0.1111111111111111,0.7469135802469136,0.6975308641975309,0.7037037037037037,0.7283950617283951,0.7376543209876543,0.7006172839506173,0.1666666666666666,0.0370370370370369,0.5709876543209876,0.5617283950617284,0.5802469135802469,W_Nabellen incomplete dossiers
BPI12,activity_current,8,0.15,0.525,0.775,0.5,0.45,1.0,0.8875,0.475,0.3375,0.4125,0.5499999999999999,0.6625,0.4375,A_FINALIZED
BPI20PrepaidTravelCosts,activity_current,30,0.06640625,0.515625,0.76953125,0.2734375,0.046875,0.78515625,0.77734375,0.16015625,0.291015625,0.6171875,0.486328125,0.494140625,0.478515625,Request For Payment SUBMITTED by EMPLOYEE
BPI12,branching_degree_bucket,"branch_deg_(11.0, 15.0]",0.2732732732732733,0.2102102102102102,0.7057057057057057,0.4804804804804805,0.5015015015015015,0.7267267267267268,0.7162162162162162,0.4909909909909909,0.2417417417417417,0.2252252252252252,0.4744744744744745,0.484984984984985,0.4639639639639639,
BPI20PrepaidTravelCosts,relative_prefix_bucket,40-60%,0.2845070422535211,0.4507042253521127,0.8422535211267606,0.4169014084507042,0.3154929577464789,0.819718309859155,0.8309859154929577,0.3661971830985915,0.3676056338028169,0.4647887323943662,0.4633802816901408,0.452112676056338,0.4746478873239436,
BPI12,activity_current,14,0.1351351351351351,0.2432432432432432,0.5675675675675675,0.3243243243243243,0.3783783783783784,0.7027027027027027,0.6351351351351351,0.3513513513513513,0.1891891891891892,0.2837837837837837,0.4459459459459459,0.5135135135135136,0.3783783783783783,O_CANCELLED
BPI12,activity_current,17,0.2083333333333333,0.4375,0.75,0.3541666666666667,0.3125,0.75,0.75,0.3333333333333333,0.3229166666666667,0.4166666666666666,0.4270833333333333,0.4270833333333333,0.4270833333333333,O_SELECTED
BPI12,y_true_na,15,0.1555555555555555,0.9555555555555556,0.9777777777777776,0.4888888888888889,0.6222222222222222,0.9777777777777776,0.9777777777777776,0.5555555555555556,0.5555555555555556,0.4222222222222221,0.4222222222222221,0.4222222222222221,0.4222222222222221,O_CREATED
BPI12,prefix_length_bucket,>50,0.3304347826086956,0.1652173913043478,0.6347826086956522,0.5043478260869565,0.5043478260869565,0.6782608695652174,0.6565217391304348,0.5043478260869565,0.2478260869565217,0.1521739130434782,0.408695652173913,0.4304347826086956,0.3869565217391304,
BPI20RequestForPayment,y_true_na,9,0.7390029325513197,0.4340175953079179,0.9912023460410556,0.9912023460410556,0.9941348973607038,0.9941348973607038,0.9926686217008798,0.9926686217008798,0.5865102639296188,0.0,0.4061583577712609,0.407624633431085,0.4046920821114369,Request For Payment FINAL_APPROVED by SUPERVISOR
BPI20PrepaidTravelCosts,activity_current,23,0.8048780487804879,0.024390243902439,0.8292682926829268,0.8048780487804879,0.8048780487804879,0.8048780487804879,0.8170731707317074,0.8048780487804879,0.4146341463414634,0.0121951219512195,0.4024390243902439,0.3902439024390244,0.4146341463414633,Request For Payment REJECTED by ADMINISTRATION
BPI20PrepaidTravelCosts,activity_current,25,0.2195121951219512,0.3414634146341463,0.5853658536585366,0.7560975609756098,0.7073170731707317,0.7804878048780488,0.6829268292682926,0.7317073170731707,0.2804878048780488,-0.048780487804878,0.4024390243902438,0.5,0.3048780487804877,Request For Payment REJECTED by EMPLOYEE
BPI20TravelPermitData,y_true_na,3,0.2325581395348837,0.9457364341085271,0.9767441860465116,0.7829457364341085,0.0387596899224806,0.9844961240310076,0.9806201550387597,0.4108527131782945,0.5891472868217055,0.5697674418604651,0.3914728682170542,0.3953488372093022,0.3875968992248061,Declaration APPROVED by ADMINISTRATION
