dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI12,NT,activity_current,3,0.1326755703810383,0.1178584484493031,0.1447751993203864,0.0060499796972555,0.0018512760015094,0.0272819053600816,0.086028552340234,0.0039506278493825,0.1252670094151707,-0.0820779244908515,0.0392384570749366,0.0459222867514751,1.456109698553948,A_ACCEPTED
BPI12,NT,activity_current,7,0.0684761464552477,0.1231004314193891,0.0735781485604685,0.0027449591908344,0.0022554671348527,0.0402826620049254,0.056930405282697,0.0025002131628435,0.0957882889373184,-0.0544301921198534,0.0388578836546214,0.0439170097319413,1.6825506240762986,A_DECLINED
BPI12,NT,activity_current,8,0.1615973498672246,0.0614983800798654,0.1400070171803236,0.0045363150537014,0.0023071516305208,0.0989285016432404,0.119467759411782,0.0034217333421111,0.111547864973545,-0.1160460260696709,-0.0079198944382369,0.0286414791652454,0.9337068471256866,A_FINALIZED
BPI12,NT,activity_current,9,0.1510810874142619,0.0794128196877102,0.1419825202590504,0.0046726212252018,0.0022776665729145,0.0652045933313148,0.1035935567951826,0.0034751438990581,0.115246953550986,-0.1001184128961244,0.0116533967558034,0.0335459463558045,1.1124915208659518,A_PARTLYSUBMITTED
BPI12,NT,activity_current,10,0.093009578436613,0.1194772678116957,0.1494026798134048,0.0041787726183732,0.0022945744295914,0.0391859526435534,0.0942943162284791,0.0032366735239823,0.1062434231241544,-0.0910576427044967,0.0119491068956752,0.0343252239736249,1.1267213907858675,A_PREACCEPTED
BPI12,NT,activity_current,12,0.1239997506714784,0.0435045286194308,0.1954217266219739,0.0037364329283054,0.0021432764255083,0.0482416970061731,0.1218317118140735,0.0029398546769068,0.0837521396454546,-0.1188918571371666,-0.0380795721686189,0.024130455307017,0.6874412121309446,A_SUBMITTED
BPI12,NT,activity_current,14,0.3188193951280335,0.2626367964454599,0.215917310199222,0.0032630027145952,0.0023935735225677,0.1078197672157674,0.1618685387074947,0.0028282881185815,0.2907280957867467,-0.1590402505889132,0.128859557079252,0.017472747583719,1.7960753714599738,O_CANCELLED
BPI12,NT,activity_current,15,0.1360405689662658,0.0749960588138611,0.1366896245811806,0.0017756218792962,0.0020023550166458,0.0632399188690498,0.0999647717251152,0.001888988447971,0.1055183138900635,-0.0980757832771442,0.0055535421649482,0.0188965414052602,1.0555549927150285,O_CREATED
BPI12,NT,activity_current,17,0.1279407086937377,0.1270216619595885,0.1111752164239684,0.0025571544344226,0.0015970962122082,0.1039313646033406,0.1075532905136545,0.0020771253233154,0.1274811853266631,-0.1054761651903391,0.0199278948130085,0.0193125223170346,1.1852839157020365,O_SELECTED
BPI12,NT,activity_current,18,0.1488181622535513,0.2992872702970839,0.1202786417122472,0.0058089591432036,0.0012577372161965,0.1613010021678188,0.140789821940033,0.0035333481797,0.2240527162753176,-0.1372564737603329,0.0832628943352845,0.0250966165807429,1.591398534268684,O_SENT
