dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI20PrepaidTravelCosts,NT,activity_current,3,0.1291465051659387,0.4453025967325552,0.1888855626024469,0.0359550593186862,0.0008638498172089,0.5043806125639222,0.3466330875831845,0.0184094545679475,0.287224550949247,-0.328223633015237,-0.0594085366339375,0.0531093401853327,0.8286126201969084,Payment Handled
BPI20PrepaidTravelCosts,NT,rt_magnitude_bucket,"rt_mag_(-0.79, -0.562]",0.2348436265074564,0.4671750718542422,0.2762237766998548,0.112467269908643,0.080217546885454,0.5039470280168383,0.3900854023583465,0.0963424083970485,0.3510093491808493,-0.293742993961298,-0.0390760531774972,0.2469777331184131,0.8998269277925951,
BPI20PrepaidTravelCosts,NT,relative_prefix_bucket,80-100%,0.2076496010275142,0.4347695101329032,0.2501342108926262,0.0959786883264641,0.0723743631727161,0.4516772645281197,0.350905737710373,0.0841765257495901,0.3212095555802087,-0.2667292119607828,-0.0296961821301642,0.2398835832632264,0.9153727655639688,
BPI20PrepaidTravelCosts,NT,prefix_length_bucket,11-20,0.1966033425786473,0.4083321953311245,0.2275174926555259,0.1076070858918605,0.0801718687400856,0.4771980744628037,0.3523577835591648,0.0938894773159731,0.3024677689548859,-0.2584683062431918,-0.0498900146042789,0.2664606309178011,0.8584109194343884,
BPI20PrepaidTravelCosts,NT,nt_magnitude_bucket,"nt_mag_(-0.27855, 0.061119]",0.2786360634869275,0.6097956634047718,0.3316535964248194,0.1720488569829483,0.1432545524376004,0.4861640355489592,0.4089088159868893,0.1576517047102743,0.4442158634458496,-0.251257111276615,0.0353070474589602,0.3855424450308967,1.0863445493923818,
BPI20PrepaidTravelCosts,NT,nt_magnitude_bucket,"nt_mag_(-0.36785, -0.27855]",0.2948039923291349,0.5396346551354577,0.3645639303208421,0.2081100055348803,0.1570764582043197,0.502780328244452,0.433672129282647,0.1825932318696,0.4172193237322963,-0.2510788974130469,-0.0164528055503507,0.4210398122001389,0.9620616487908368,
BPI20PrepaidTravelCosts,NT,nt_magnitude_bucket,"nt_mag_(-0.36789, -0.36785]",0.1695180720093854,0.3797772240947438,0.2006525030929892,0.0638336730546339,0.0202644682001499,0.3781864936482816,0.2894194983706354,0.0420490706273919,0.2746476480520646,-0.2473704277432434,-0.0147718503185707,0.1452876218227122,0.9489604176576464,
BPI20PrepaidTravelCosts,NT,activity_current,31,0.2210118533217269,0.4363520591724718,0.2651674811444715,0.0730310907374506,0.0687946016718521,0.3654084121082032,0.3152879466263373,0.0709128462046513,0.3286819562470993,-0.2443751004216859,0.013394009620762,0.2249145486322492,1.0424818321286349,Request Payment
BPI20PrepaidTravelCosts,NT,branching_entropy_bucket,"branch_ent_(-0.001, 0.128]",0.1923836309476266,0.4592819344714263,0.2232442350551364,0.0809630618690041,0.0540426430652615,0.3909760485244092,0.3071101417897728,0.0675028524671328,0.3258327827095265,-0.2396072893226399,0.0187226409197537,0.2198001409974302,1.060963929131881,
BPI12,RT,activity_current,14,0.7341443598270416,0.8626990978782242,0.682466684966474,0.6420628831193254,0.6648144406845441,1.0849851667881012,0.8837259258772876,0.6534386619019348,0.798421728852633,-0.2302872639753528,-0.0853041970246546,0.739413253326541,0.9034721121936398,O_CANCELLED
BPI20PrepaidTravelCosts,NT,activity_current,22,0.4495568795142591,0.4803455654379731,0.4367467061215494,0.3188985047137572,0.3073168586991313,0.6492327391583886,0.542989722639969,0.3131076817064442,0.4649512224761161,-0.2298820409335247,-0.0780385001638529,0.5766364788345197,0.8562799682755753,Request For Payment FINAL_APPROVED by SUPERVISOR
BPI20PrepaidTravelCosts,NT,activity_current,4,0.2493414288240506,0.9883705990345673,0.4367200213646906,0.1929766123984442,0.184644880570298,0.3944118372798182,0.4155659293222544,0.1888107464843711,0.618856013929309,-0.2267551828378833,0.2032900846070545,0.4543460692080849,1.4891885264477769,Permit APPROVED by ADMINISTRATION
BPI20PrepaidTravelCosts,NT,branching_degree_bucket,"branch_deg_(0.999, 4.0]",0.2699366166569781,0.5000493033150957,0.3005544229076944,0.1823225965056793,0.1428528412989997,0.4760635939160285,0.3883090084118614,0.1625877189023395,0.3849929599860369,-0.2257212895095219,-0.0033160484258245,0.4187070487169596,0.9914602845826658,
BPI20PrepaidTravelCosts,NT,prefix_length_bucket,2,0.2614376554292197,0.9758435394699988,0.4305932477943718,0.2034188551683676,0.196363374267675,0.4009875203339281,0.4157903840641499,0.1998911147180213,0.6186405974496092,-0.2158992693461285,0.2028502133854592,0.4807497296214077,1.4878665336189272,
BPI20PrepaidTravelCosts,NT,branching_entropy_bucket,"branch_ent_(1.285, 1.937]",0.2518393080516773,0.6446504182688314,0.3483842709041934,0.1987045890668653,0.1873968673687105,0.4627637002049928,0.4055739855545931,0.1930507282177879,0.4482448631602543,-0.2125232573368052,0.0426708776056612,0.4759938632498951,1.1052110813944636,
BPI20PrepaidTravelCosts,NT,prefix_length_bucket,6-10,0.2903588175598764,0.4368243269302935,0.3271632696546388,0.2092663125272557,0.1867752629909026,0.4935817584230675,0.4103725140388532,0.1980207877590792,0.363591572245085,-0.212351726279774,-0.0467809417937682,0.4825391101615812,0.8860037156646922,
BPI20PrepaidTravelCosts,NT,rt_magnitude_bucket,"rt_mag_(-0.562, -0.263]",0.2756727952328013,0.3844206544623661,0.2977918248040652,0.1898544969293333,0.155309081398433,0.4597428304522645,0.3787673276281649,0.1725817891638831,0.3300467248475837,-0.2061855384642817,-0.0487206027805812,0.4556406442038906,0.8713706298648596,
BPI20PrepaidTravelCosts,NT,activity_current,17,0.2542475772621694,0.3132610063198035,0.2632175159759113,0.2042270777830561,0.1900501281833234,0.5286634783615513,0.3959404971687313,0.1971386029831898,0.2837542917909865,-0.1988018941855415,-0.1121862053777448,0.4978995692354716,0.7166589268338057,Request For Payment APPROVED by ADMINISTRATION
BPI12,RT,relative_prefix_bucket,80-100%,0.3103234575326703,0.2475852895017583,0.2398764512392629,0.192690682142496,0.1804352592635101,0.5227594559954141,0.3813179536173385,0.1865629707030031,0.2789543735172143,-0.1947549829143354,-0.1023635801001242,0.4892582920190099,0.7315532113579722,
BPI20PrepaidTravelCosts,NT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",0.3282337304403046,0.3920269534469712,0.3522513387193872,0.1959385674405016,0.1833299419138841,0.4144347881643463,0.3833430634418668,0.1896342546771929,0.3601303419436379,-0.1937088087646739,-0.0232127214982288,0.4946854991311211,0.9394466113725596,
BPI20PrepaidTravelCosts,NT,case_length_bucket,4-5,0.495418001876937,0.9913401300708452,0.5630015763143699,0.4570114579465654,0.4278259820408291,0.6970305879910786,0.6300160821527243,0.4424187199936972,0.7433790659738911,-0.187597362159027,0.1133629838211668,0.7022340104112597,1.1799366508769311,
